,Ticker,Price,Date,Time,Transaction Type,Shares before,Shares After,Balance Before,Balance After
0,MMMStock,227.49,2018-02-12,Open,Buy,0,4,1000,90.03999999999996
1,MMMStock,236.67,2018-02-16,Close,Sell,4,0,90.03999999999996,1036.7199999999998
2,MMMStock,231.34,2018-03-01,Close,Buy,0,4,1036.7199999999998,111.35999999999979
3,MMMStock,230.37,2018-03-02,Close,Sell,4,0,111.35999999999979,1032.8399999999997
4,MMMStock,231.56,2018-03-19,Close,Buy,0,4,1032.8399999999997,106.59999999999968
5,MMMStock,215.36,2018-03-23,Close,Sell,4,0,106.59999999999968,968.0399999999997
6,MMMStock,221.02,2018-03-27,Open,Buy,0,4,968.0399999999997,83.9599999999997
7,MMMStock,219.52,2018-03-29,Close,Sell,4,0,83.9599999999997,962.0399999999997
8,MMMStock,218.05,2018-04-02,Open,Buy,0,4,962.0399999999997,89.83999999999969
9,MMMStock,212.25,2018-04-06,Close,Sell,4,0,89.83999999999969,938.8399999999997
10,MMMStock,212.81,2018-04-09,Close,Buy,0,4,938.8399999999997,87.59999999999968
11,MMMStock,218.09,2018-04-13,Open,Sell,4,0,87.59999999999968,959.9599999999997
12,MMMStock,206.5,2018-04-24,Open,Buy,0,4,959.9599999999997,133.9599999999997
13,MMMStock,196.12,2018-04-27,Close,Sell,4,0,133.9599999999997,918.4399999999997
14,MMMStock,194.03,2018-05-01,Open,Buy,0,4,918.4399999999997,142.3199999999997
15,MMMStock,199.36,2018-05-04,Close,Sell,4,0,142.3199999999997,939.7599999999998
16,MMMStock,199.27,2018-05-17,Open,Buy,0,4,939.7599999999998,142.67999999999972
17,MMMStock,200.28,2018-05-18,Open,Sell,4,0,142.67999999999972,943.7999999999997
18,MMMStock,198.0,2018-05-29,Open,Buy,0,4,943.7999999999997,151.79999999999973
19,MMMStock,199.59,2018-06-01,Close,Sell,4,0,151.79999999999973,950.1599999999997
20,MMMStock,195.52,2018-06-21,Close,Buy,0,4,950.1599999999997,168.0799999999997
21,MMMStock,197.39,2018-06-22,Open,Sell,4,0,168.0799999999997,957.6399999999996
22,MMMStock,195.98,2018-06-25,Open,Buy,0,4,957.6399999999996,173.7199999999997
23,MMMStock,196.72,2018-06-29,Close,Sell,4,0,173.7199999999997,960.5999999999997
