Date,Open,High,Low,Close,Volume,Currency
2018-01-15,19.21,19.22,18.58,18.59,1988120,USD
2018-01-16,18.71,18.97,18.5,18.86,1598955,USD
2018-01-17,18.86,19.04,18.7,18.95,918038,USD
2018-01-18,19.28,20.08,19.28,19.92,2789583,USD
2018-01-21,20.96,22.5,20.83,22.43,7673640,USD
2018-01-22,22.64,23.53,22.41,23.06,4304705,USD
2018-01-23,23.09,23.09,21.4,21.85,4068432,USD
2018-01-24,22.04,22.1,21.12,21.51,2292489,USD
2018-01-25,21.66,22.48,21.29,22.21,1943520,USD
2018-01-28,22.05,22.44,21.68,21.87,1632322,USD
2018-01-29,21.65,21.72,20.98,21.34,2004576,USD
2018-01-30,21.46,21.57,20.22,20.71,2052359,USD
2018-01-31,20.47,21.06,20.11,20.52,1710928,USD
2018-02-01,20.31,21.14,20.19,20.54,2705084,USD
2018-02-04,20.16,21.03,19.83,19.83,2738707,USD
2018-02-05,19.31,20.66,19.15,20.38,3380631,USD
2018-02-06,20.45,21.7,20.32,21.55,3783346,USD
2018-02-07,21.58,21.66,20.11,20.13,3116213,USD
2018-02-08,20.6,20.99,19.66,20.65,2373815,USD
2018-02-11,20.74,20.9,19.78,20.19,1409804,USD
2018-02-12,20.14,20.93,20.13,20.91,1486632,USD
2018-02-13,20.75,22.03,20.38,22.0,2370306,USD
2018-02-14,22.15,22.23,21.03,22.09,1836875,USD
2018-02-15,22.02,22.6,21.66,21.92,1802115,USD
2018-02-19,21.73,22.07,21.32,21.5,1422788,USD
2018-02-20,21.63,22.05,21.37,21.39,1013355,USD
2018-02-21,21.57,21.91,21.14,21.43,2548997,USD
2018-02-22,21.62,21.71,20.46,20.93,2569896,USD
2018-02-25,20.97,21.42,20.94,21.12,1914223,USD
2018-02-26,21.46,22.4,20.75,20.91,3439203,USD
2018-02-27,21.1,21.51,20.54,20.63,1875299,USD
2018-02-28,20.54,20.85,19.81,20.28,2382480,USD
2018-03-01,20.02,20.75,19.81,20.68,1659796,USD
2018-03-04,20.63,20.97,20.3,20.68,2358393,USD
2018-03-05,20.79,21.59,20.5,21.35,4596510,USD
2018-03-06,22.9,24.52,22.16,23.89,13973044,USD
2018-03-07,23.72,23.79,22.22,22.35,7520386,USD
2018-03-08,22.42,22.82,21.78,22.3,3793201,USD
2018-03-11,22.3,22.69,21.74,21.88,3571745,USD
2018-03-12,21.9,22.4,21.83,22.15,3223383,USD
2018-03-13,22.33,22.61,21.75,22.05,2219334,USD
2018-03-14,22.1,22.3,21.78,22.05,2234919,USD
2018-03-15,22.03,22.86,21.79,22.48,2814656,USD
2018-03-18,22.48,23.09,22.36,22.64,2642563,USD
2018-03-19,22.47,23.08,22.24,22.93,1858877,USD
2018-03-20,22.94,23.72,22.85,23.5,2609484,USD
2018-03-21,23.17,23.65,22.62,23.08,3089745,USD
2018-03-22,23.17,23.94,23.17,23.25,2225891,USD
2018-03-25,23.57,24.42,23.51,24.35,2354897,USD
2018-03-26,24.3,24.3,23.53,23.59,2753940,USD
2018-03-27,23.65,24.36,23.31,23.64,1809421,USD
2018-03-28,23.64,24.32,23.64,24.21,2114424,USD
2018-04-01,24.12,24.32,23.27,23.78,2351330,USD
2018-04-02,23.93,24.95,23.89,24.87,3900423,USD
2018-04-03,24.58,26.35,24.56,26.3,3785191,USD
2018-04-04,26.42,26.81,26.01,26.67,3434463,USD
2018-04-05,26.49,27.54,26.29,27.35,4715248,USD
2018-04-08,27.34,27.86,27.17,27.36,3079407,USD
