Date,Open,High,Low,Close,Volume,Currency
2018-01-16,16.36,16.56,16.32,16.46,193595,USD
2018-01-17,16.57,16.57,16.19,16.38,154311,USD
2018-01-18,16.41,16.54,16.15,16.43,133440,USD
2018-01-19,16.42,16.79,16.33,16.77,372688,USD
2018-01-22,16.71,16.88,16.41,16.52,155616,USD
2018-01-23,16.55,16.67,16.31,16.4,144532,USD
2018-01-24,16.45,16.68,16.23,16.52,151615,USD
2018-01-25,16.75,17.36,16.65,17.2,890178,USD
2018-01-26,17.21,17.3,16.94,17.21,172266,USD
2018-01-29,17.26,17.3,16.97,17.1,184167,USD
2018-01-30,16.99,17.28,16.93,17.25,255523,USD
2018-01-31,17.34,17.44,17.17,17.41,443697,USD
2018-02-01,17.3,17.74,17.03,17.7,381066,USD
2018-02-02,17.61,17.7,17.12,17.25,218516,USD
2018-02-05,17.15,17.31,16.21,16.67,402706,USD
2018-02-06,16.31,16.82,16.24,16.6,362667,USD
2018-02-07,16.58,16.81,16.38,16.65,202002,USD
2018-02-08,16.63,16.64,16.39,16.4,193998,USD
2018-02-09,16.53,16.66,16.0,16.13,235537,USD
2018-02-12,16.19,16.26,15.97,16.13,137872,USD
2018-02-13,16.03,16.26,15.83,16.21,152034,USD
2018-02-14,16.12,16.36,16.11,16.3,121018,USD
2018-02-15,16.39,16.47,16.26,16.42,110315,USD
2018-02-16,16.37,16.69,16.37,16.54,93254,USD
2018-02-20,16.48,16.84,16.48,16.77,162176,USD
2018-02-21,16.77,17.31,16.77,16.84,149139,USD
2018-02-22,16.93,17.21,16.67,16.73,115318,USD
2018-02-23,16.82,17.25,16.74,17.24,155499,USD
2018-02-26,17.25,17.28,17.0,17.18,90049,USD
2018-02-27,17.25,17.33,16.99,17.0,443395,USD
2018-02-28,17.1,17.15,16.28,16.29,199877,USD
2018-03-01,16.28,16.32,15.9,16.13,133824,USD
2018-03-02,16.05,16.35,16.05,16.3,93610,USD
2018-03-05,16.19,16.59,16.13,16.54,103490,USD
2018-03-06,16.59,16.85,16.44,16.69,86516,USD
2018-03-07,16.57,16.82,16.36,16.69,120133,USD
2018-03-08,16.76,16.96,16.54,16.65,105800,USD
2018-03-09,16.79,16.91,16.64,16.9,121073,USD
2018-03-12,16.94,17.47,16.94,17.46,211620,USD
2018-03-13,17.48,17.61,17.16,17.2,259424,USD
2018-03-14,17.28,17.43,16.8,16.99,179577,USD
2018-03-15,17.0,17.09,16.59,16.81,150834,USD
2018-03-16,16.79,16.93,16.75,16.86,743468,USD
2018-03-19,16.8,17.15,16.42,16.68,127269,USD
2018-03-20,16.69,16.91,16.56,16.79,181398,USD
2018-03-21,16.76,16.92,16.63,16.7,252499,USD
2018-03-22,16.6,16.98,16.56,16.61,132328,USD
2018-03-23,16.58,16.81,16.45,16.54,229139,USD
2018-03-26,16.71,16.91,16.51,16.81,290417,USD
2018-03-27,16.86,16.89,16.53,16.58,110110,USD
2018-03-28,16.62,16.91,16.36,16.88,455470,USD
2018-03-29,16.11,17.36,15.26,17.25,943775,USD
2018-04-02,17.29,17.54,17.17,17.42,392945,USD
2018-04-03,18.12,19.25,18.0,18.39,681725,USD
2018-04-04,18.2,19.09,18.13,18.95,325153,USD
2018-04-05,19.1,19.14,18.87,19.04,313645,USD
2018-04-06,18.94,19.08,18.65,18.88,264003,USD
2018-04-09,18.87,19.07,18.66,18.97,382134,USD
2018-04-10,19.2,19.5,18.92,19.36,441817,USD
2018-04-11,19.29,19.94,19.14,19.89,339116,USD
2018-04-12,19.97,20.18,19.62,19.79,454258,USD
2018-04-13,19.89,20.01,19.72,19.78,307283,USD
2018-04-16,19.94,20.39,19.79,20.34,202863,USD
2018-04-17,20.34,20.7,20.08,20.63,296939,USD
2018-04-18,20.63,20.71,20.43,20.45,153632,USD
2018-04-19,20.46,20.59,20.09,20.14,129234,USD
2018-04-20,20.06,20.17,19.9,19.97,246305,USD
2018-04-23,19.9,20.06,19.61,19.9,163282,USD
2018-04-24,19.91,20.05,19.64,19.76,88850,USD
2018-04-25,19.71,19.84,19.39,19.77,120851,USD
2018-04-26,19.83,19.86,18.77,19.7,179239,USD
2018-04-27,19.74,19.75,19.5,19.64,131247,USD
2018-04-30,19.64,19.66,19.11,19.38,98738,USD
2018-05-01,19.3,19.55,19.13,19.47,316664,USD
