Date,Open,High,Low,Close,Volume,Currency
2018-01-16,9.14,9.16,9.12,9.15,3769391,USD
2018-01-17,9.06,9.13,8.97,9.1,2353471,USD
2018-01-18,9.06,9.1,9.0,9.09,2560602,USD
2018-01-19,9.05,9.11,9.01,9.1,2238994,USD
2018-01-22,9.21,9.27,9.17,9.26,2290025,USD
2018-01-23,9.23,9.25,9.19,9.24,2015757,USD
2018-01-24,9.28,9.34,9.25,9.3,2918099,USD
2018-01-25,9.44,9.52,9.39,9.46,3155439,USD
2018-01-26,9.47,9.54,9.46,9.54,1668201,USD
2018-01-29,9.43,9.51,9.42,9.51,2562870,USD
2018-01-30,9.4,9.43,9.36,9.39,2952548,USD
2018-01-31,9.4,9.43,9.37,9.39,3125883,USD
2018-02-01,9.3,9.37,9.25,9.35,3407973,USD
2018-02-02,9.19,9.2,9.08,9.1,3260702,USD
2018-02-05,9.0,9.08,8.69,8.74,10520707,USD
2018-02-06,8.75,8.97,8.73,8.97,6841138,USD
2018-02-07,8.85,8.94,8.8,8.83,4365906,USD
2018-02-08,8.84,8.85,8.6,8.61,5356618,USD
2018-02-09,8.62,8.68,8.36,8.61,8613082,USD
2018-02-12,8.67,8.82,8.65,8.75,3409390,USD
2018-02-13,8.65,8.7,8.63,8.67,2461753,USD
2018-02-14,8.55,8.8,8.54,8.8,3273676,USD
2018-02-15,8.81,8.82,8.7,8.79,2222839,USD
2018-02-16,8.72,8.82,8.72,8.78,3096561,USD
2018-02-20,8.72,8.74,8.61,8.63,5261538,USD
2018-02-21,8.6,8.62,8.51,8.51,9673828,USD
2018-02-22,8.55,8.6,8.47,8.49,12410362,USD
2018-02-23,8.5,8.51,8.44,8.48,16492055,USD
2018-02-26,8.5,8.61,8.46,8.6,10686795,USD
2018-02-27,8.53,8.54,8.41,8.42,6757894,USD
2018-02-28,8.43,8.43,8.3,8.32,6003771,USD
2018-03-01,8.27,8.32,8.13,8.21,3657599,USD
2018-03-02,8.18,8.25,8.15,8.25,3060776,USD
2018-03-05,8.11,8.19,8.07,8.18,3223095,USD
2018-03-06,8.28,8.29,8.21,8.26,2948871,USD
2018-03-07,8.19,8.27,8.16,8.26,3058540,USD
2018-03-08,8.26,8.3,8.16,8.21,2354755,USD
2018-03-09,8.2,8.23,8.17,8.2,1979905,USD
2018-03-12,8.19,8.25,8.17,8.23,3214296,USD
2018-03-13,8.28,8.3,8.18,8.2,2286259,USD
2018-03-14,8.21,8.21,8.08,8.12,3225360,USD
2018-03-15,8.02,8.05,8.0,8.01,4244603,USD
2018-03-16,8.14,8.18,8.12,8.13,2416790,USD
2018-03-19,8.14,8.14,8.0,8.07,1672106,USD
2018-03-20,8.07,8.13,8.04,8.09,5730479,USD
2018-03-21,8.06,8.08,7.98,8.02,3308668,USD
2018-03-22,7.92,7.93,7.82,7.82,5013617,USD
2018-03-23,7.76,7.78,7.65,7.65,4994919,USD
2018-03-26,7.82,7.84,7.72,7.82,2648829,USD
2018-03-27,7.79,7.8,7.62,7.66,6594518,USD
2018-03-28,7.72,7.85,7.71,7.78,3097873,USD
2018-03-29,7.95,7.97,7.86,7.9,2561705,USD
2018-04-02,7.9,7.91,7.71,7.79,2393205,USD
2018-04-03,7.81,7.83,7.76,7.8,2613615,USD
2018-04-04,7.71,7.83,7.71,7.82,2099479,USD
2018-04-05,7.93,7.97,7.9,7.92,3637801,USD
2018-04-06,7.78,7.82,7.7,7.73,3498815,USD
2018-04-09,7.83,7.92,7.82,7.82,2174719,USD
2018-04-10,7.94,7.94,7.86,7.89,2276450,USD
2018-04-11,7.86,7.87,7.81,7.82,1287915,USD
2018-04-12,7.76,7.81,7.76,7.79,1549270,USD
2018-04-13,7.96,7.97,7.83,7.85,1393884,USD
2018-04-16,7.92,7.96,7.91,7.96,2855942,USD
2018-04-17,7.91,7.92,7.86,7.89,1502255,USD
2018-04-18,7.98,8.04,7.98,8.0,1250705,USD
2018-04-19,8.05,8.06,8.01,8.05,2087529,USD
2018-04-20,8.04,8.08,8.0,8.08,1428104,USD
2018-04-23,8.01,8.05,7.98,8.02,1142444,USD
2018-04-24,7.98,8.03,7.92,7.95,1735166,USD
2018-04-25,7.94,7.97,7.9,7.95,1314081,USD
2018-04-26,7.93,7.93,7.86,7.87,1644966,USD
2018-04-27,8.11,8.13,8.06,8.07,2279559,USD
2018-04-30,8.07,8.12,8.05,8.06,1645765,USD
2018-05-01,8.07,8.07,7.87,7.97,3084876,USD
2018-05-02,8.09,8.1,8.02,8.03,1684945,USD
2018-05-03,8.01,8.01,7.91,7.97,2157351,USD
2018-05-04,7.93,8.07,7.93,8.05,1614879,USD
2018-05-07,8.04,8.08,8.02,8.04,1352911,USD
2018-05-08,7.98,8.0,7.95,7.97,1248666,USD
2018-05-09,8.02,8.09,8.02,8.06,1116557,USD
2018-05-10,8.1,8.15,8.08,8.15,805098,USD
2018-05-11,8.17,8.18,8.14,8.15,760736,USD
2018-05-14,8.15,8.17,8.12,8.14,1024193,USD
2018-05-15,7.93,7.98,7.88,7.95,2723919,USD
2018-05-16,7.78,7.84,7.74,7.81,2102300,USD
2018-05-17,7.85,7.89,7.84,7.87,1078143,USD
2018-05-18,7.74,7.76,7.68,7.71,1299071,USD
2018-05-21,7.67,7.67,7.61,7.65,1466428,USD
2018-05-22,7.75,7.8,7.75,7.77,1944098,USD
2018-05-23,7.52,7.6,7.49,7.57,4178650,USD
2018-05-24,7.51,7.51,7.42,7.48,3417279,USD
2018-05-25,7.18,7.24,7.1,7.23,3319931,USD
2018-05-29,6.82,6.91,6.65,6.69,5487138,USD
2018-05-30,6.87,6.93,6.8,6.89,5156803,USD
2018-05-31,6.81,6.89,6.73,6.88,5746284,USD
2018-06-01,7.0,7.03,6.91,6.98,4956994,USD
2018-06-04,7.08,7.09,7.01,7.03,4266363,USD
2018-06-05,6.99,7.01,6.88,6.91,2387394,USD
2018-06-06,6.92,7.11,6.92,7.1,4182177,USD
2018-06-07,7.2,7.21,7.1,7.14,4403583,USD
2018-06-08,7.11,7.15,7.07,7.12,1862459,USD
2018-06-11,7.22,7.33,7.21,7.3,1983507,USD
2018-06-12,7.34,7.35,7.21,7.23,2572064,USD
2018-06-13,7.2,7.21,7.15,7.17,2065771,USD
2018-06-14,7.07,7.1,7.04,7.06,2118711,USD
2018-06-15,6.9,6.97,6.88,6.95,2620303,USD
2018-06-18,6.87,6.87,6.81,6.84,6193549,USD
2018-06-19,6.83,6.93,6.79,6.91,2267902,USD
2018-06-20,6.99,7.0,6.92,6.96,2395474,USD
2018-06-21,6.9,6.93,6.82,6.89,2134521,USD
2018-06-22,6.99,7.03,6.95,6.99,2963213,USD
2018-06-25,6.99,7.01,6.92,6.94,2403437,USD
2018-06-26,7.01,7.03,6.94,7.01,2622234,USD
2018-06-27,6.9,6.95,6.81,6.81,3165652,USD
2018-06-28,6.87,6.91,6.84,6.87,2661054,USD
2018-06-29,7.04,7.09,6.99,7.0,2920342,USD
2018-07-02,6.87,6.91,6.84,6.89,2373076,USD
2018-07-03,6.98,7.03,6.95,6.95,1772666,USD
2018-07-05,7.36,7.39,7.33,7.37,4388779,USD
2018-07-06,7.39,7.46,7.38,7.43,2009143,USD
2018-07-09,7.46,7.5,7.44,7.47,2570858,USD
2018-07-10,7.26,7.29,7.21,7.29,2206900,USD
2018-07-11,7.12,7.15,7.02,7.06,2885149,USD
2018-07-12,7.08,7.1,7.05,7.1,1915723,USD
2018-07-13,7.0,7.04,6.97,7.02,2211127,USD
2018-07-16,7.03,7.08,7.0,7.05,2091821,USD
2018-07-17,6.95,6.96,6.8,6.85,31381654,USD
2018-07-18,6.87,6.98,6.86,6.95,8525527,USD
2018-07-19,6.89,6.94,6.86,6.92,7448591,USD
2018-07-20,6.95,6.99,6.92,6.97,3052766,USD
2018-07-23,7.01,7.05,7.0,7.02,2976793,USD
2018-07-24,7.17,7.21,7.13,7.14,3021233,USD
2018-07-25,7.06,7.1,7.01,7.1,3550506,USD
2018-07-26,7.11,7.12,7.04,7.05,2470499,USD
2018-07-27,7.16,7.21,7.14,7.18,4505405,USD
2018-07-30,7.21,7.29,7.21,7.27,2390259,USD
2018-07-31,7.35,7.37,7.28,7.3,1780757,USD
2018-08-01,7.27,7.29,7.17,7.19,3096073,USD
2018-08-02,7.01,7.05,6.96,7.04,3369176,USD
2018-08-03,6.99,7.04,6.97,7.04,1835477,USD
2018-08-06,6.96,6.97,6.91,6.92,1892825,USD
2018-08-07,6.98,7.0,6.96,6.98,1933334,USD
2018-08-08,6.92,6.97,6.9,6.94,1344004,USD
2018-08-09,6.86,6.87,6.81,6.81,1599140,USD
2018-08-10,6.39,6.46,6.36,6.4,7096301,USD
2018-08-13,6.21,6.25,6.14,6.14,4714086,USD
2018-08-14,6.15,6.22,6.1,6.19,4418547,USD
2018-08-15,6.07,6.14,6.0,6.12,3947415,USD
2018-08-16,6.21,6.28,6.16,6.17,7599237,USD
2018-08-17,6.16,6.23,6.14,6.22,4493802,USD
2018-08-20,6.17,6.22,6.15,6.17,2325478,USD
2018-08-21,6.32,6.35,6.28,6.31,2765134,USD
2018-08-22,6.41,6.43,6.36,6.37,3106589,USD
2018-08-23,6.35,6.4,6.3,6.31,3616318,USD
2018-08-24,6.4,6.42,6.35,6.37,2928692,USD
2018-08-27,6.41,6.49,6.41,6.46,2906252,USD
2018-08-28,6.46,6.47,6.36,6.37,1925805,USD
2018-08-29,6.35,6.45,6.33,6.41,3179354,USD
2018-08-30,6.27,6.27,6.22,6.23,3327322,USD
2018-08-31,6.25,6.28,6.17,6.2,17243624,USD
2018-09-04,6.13,6.24,6.11,6.23,3917844,USD
2018-09-05,6.25,6.29,6.21,6.24,2746007,USD
2018-09-06,6.13,6.16,6.04,6.08,2676434,USD
2018-09-07,5.97,6.01,5.96,6.01,3166075,USD
2018-09-10,6.07,6.08,6.01,6.01,2659301,USD
2018-09-11,5.99,6.08,5.98,6.08,2984062,USD
2018-09-12,5.99,6.08,5.98,6.06,2293227,USD
2018-09-13,6.34,6.39,6.32,6.35,4522614,USD
2018-09-14,6.32,6.37,6.28,6.31,9063014,USD
2018-09-17,6.43,6.46,6.41,6.43,3546939,USD
2018-09-18,6.39,6.46,6.39,6.44,4379154,USD
2018-09-19,6.48,6.59,6.48,6.58,7234296,USD
2018-09-20,6.75,6.78,6.67,6.75,4094705,USD
2018-09-21,6.62,6.64,6.59,6.61,2589178,USD
2018-09-24,6.64,6.64,6.55,6.56,3053585,USD
2018-09-25,6.62,6.63,6.58,6.59,1276049,USD
2018-09-26,6.56,6.57,6.48,6.49,2961637,USD
2018-09-27,6.46,6.54,6.46,6.49,3148453,USD
2018-09-28,6.3,6.4,6.29,6.3,2482622,USD
2018-10-01,6.45,6.45,6.35,6.37,1863926,USD
2018-10-02,6.25,6.25,6.16,6.17,2386364,USD
2018-10-03,6.22,6.23,6.14,6.17,3238548,USD
2018-10-04,6.15,6.15,6.07,6.1,2783559,USD
2018-10-05,5.98,5.98,5.92,5.95,2117658,USD
2018-10-08,5.9,6.05,5.9,6.04,2946213,USD
2018-10-09,6.03,6.08,5.97,6.04,5015603,USD
2018-10-10,6.12,6.12,5.98,5.98,4255903,USD
2018-10-11,6.15,6.17,6.02,6.05,4817575,USD
2018-10-12,6.17,6.19,5.98,6.07,3533720,USD
2018-10-15,6.1,6.2,6.08,6.14,6675341,USD
2018-10-16,6.2,6.22,6.16,6.19,2854466,USD
2018-10-17,6.13,6.16,6.07,6.1,2316205,USD
2018-10-18,5.98,6.0,5.81,5.81,4328167,USD
2018-10-19,5.94,6.04,5.9,5.98,3792216,USD
2018-10-22,5.88,5.89,5.81,5.82,2651548,USD
2018-10-23,5.79,5.88,5.76,5.85,4457757,USD
2018-10-24,5.73,5.74,5.59,5.59,4303334,USD
2018-10-25,5.77,5.82,5.74,5.77,5780278,USD
2018-10-26,5.75,5.82,5.68,5.77,4680293,USD
2018-10-29,5.81,5.87,5.71,5.76,3695994,USD
2018-10-30,5.68,5.71,5.58,5.62,3685236,USD
2018-10-31,5.54,5.54,5.46,5.47,3869438,USD
2018-11-01,5.66,5.76,5.66,5.75,3444961,USD
2018-11-02,5.89,5.93,5.84,5.89,4096375,USD
2018-11-05,5.93,5.97,5.87,5.9,2748929,USD
2018-11-06,5.88,6.04,5.85,6.03,6177774,USD
2018-11-07,6.02,6.03,5.98,6.0,4651407,USD
2018-11-08,5.96,5.98,5.76,5.77,5831208,USD
2018-11-09,5.58,5.78,5.53,5.77,10150457,USD
2018-11-12,5.63,5.63,5.45,5.46,7578648,USD
2018-11-13,5.58,5.64,5.55,5.58,5436564,USD
2018-11-14,5.66,5.66,5.5,5.59,3183171,USD
2018-11-15,5.56,5.69,5.54,5.64,3375267,USD
2018-11-16,5.6,5.63,5.56,5.58,3218153,USD
2018-11-19,5.63,5.63,5.54,5.59,2890684,USD
2018-11-20,5.51,5.52,5.43,5.44,3275906,USD
2018-11-21,5.6,5.61,5.53,5.55,2820094,USD
