Date,Open,High,Low,Close,Volume,Currency
2018-01-16,4.6,4.75,4.55,4.75,1942,USD
2018-01-17,4.65,4.75,4.65,4.75,851,USD
2018-01-18,4.6,4.677,4.55,4.677,2700,USD
2018-01-19,4.65,4.65,4.55,4.55,1406,USD
2018-01-22,4.55,4.65,4.55,4.65,200,USD
2018-01-23,4.6,4.7,4.6,4.7,601,USD
2018-01-24,4.7,4.7,4.7,4.7,3,USD
2018-01-25,4.65,4.65,4.6,4.625,700,USD
2018-01-26,4.7,4.7,4.65,4.7,504,USD
2018-01-29,4.55,4.6,4.55,4.6,1345,USD
2018-01-30,4.55,4.6,4.55,4.6,250,USD
2018-01-31,4.6,4.6,4.55,4.55,1455,USD
2018-02-01,4.65,4.65,4.65,4.65,6,USD
2018-02-02,4.6,4.6,4.55,4.55,226,USD
2018-02-05,4.4,4.45,4.4,4.45,941,USD
2018-02-06,4.25,4.35,4.25,4.3,327,USD
2018-02-07,4.4,4.6,4.4,4.6,2223,USD
2018-02-08,4.6,4.65,4.6,4.65,1602,USD
2018-02-09,4.65,4.85,4.6,4.6,2726,USD
2018-02-12,4.55,4.7,4.55,4.6,530,USD
2018-02-13,5.05,5.05,4.7,4.75,739,USD
2018-02-14,4.85,4.85,4.823,4.823,200,USD
2018-02-15,4.7,4.85,4.7,4.8,400,USD
2018-02-16,4.9,4.95,4.9,4.925,1469,USD
2018-02-20,4.9,4.95,4.9,4.95,300,USD
2018-02-21,5.0,5.05,4.9,4.905,212,USD
2018-02-22,5.0,5.0,4.983,4.983,100,USD
2018-02-23,5.1,5.15,5.1,5.15,552,USD
2018-02-26,5.15,5.15,5.05,5.05,5341,USD
2018-02-27,5.15,5.2,5.1,5.2,1095,USD
2018-02-28,5.2,5.2,5.05,5.05,795,USD
2018-03-01,5.15,5.15,5.15,5.15,320,USD
2018-03-02,5.15,5.25,5.15,5.25,581,USD
2018-03-05,5.25,5.25,5.1,5.1,315,USD
2018-03-06,5.2,5.25,5.2,5.2,4007,USD
2018-03-07,5.25,5.4,5.15,5.15,3870,USD
2018-03-08,5.2,5.4,5.2,5.35,910,USD
2018-03-09,5.45,5.55,5.325,5.325,1619,USD
2018-03-12,5.15,5.5,5.15,5.461,103,USD
2018-03-13,5.5,5.5,5.3,5.4,2245,USD
2018-03-14,5.25,5.35,5.25,5.35,9,USD
2018-03-15,5.3,5.3,5.2,5.3,873,USD
2018-03-16,5.15,5.15,4.85,4.85,2599,USD
2018-03-19,4.5,4.85,4.5,4.75,1526,USD
2018-03-20,4.85,4.85,4.8,4.8,969,USD
2018-03-21,4.85,4.85,4.8,4.8,23,USD
2018-03-22,4.75,4.75,4.65,4.65,410,USD
2018-03-23,4.7,4.7,4.55,4.55,1927,USD
2018-03-26,4.55,4.55,4.5,4.5,14,USD
2018-03-27,4.65,4.65,4.65,4.65,19,USD
2018-03-28,4.55,4.55,4.2,4.2,471,USD
2018-03-29,4.35,4.45,4.35,4.45,244,USD
2018-04-02,4.5,4.5,4.35,4.35,5,USD
2018-04-03,4.4,4.4,4.4,4.4,1829,USD
2018-04-04,4.4,4.45,4.4,4.45,11400,USD
2018-04-05,4.45,4.45,4.4,4.45,423,USD
2018-04-06,4.6,4.6,4.6,4.6,108,USD
2018-04-09,4.5,4.6,4.5,4.6,213,USD
2018-04-10,4.7,4.7,4.7,4.7,0,USD
2018-04-11,4.628,4.628,4.628,4.628,0,USD
2018-04-12,4.65,4.7,4.65,4.7,500,USD
2018-04-13,4.7,4.8,4.7,4.8,311,USD
2018-04-16,4.9,4.9,4.9,4.9,110,USD
2018-04-17,4.9,5.0,4.9,5.0,448,USD
2018-04-18,4.95,4.95,4.65,4.65,533,USD
2018-04-19,4.3,4.8,4.3,4.65,690,USD
2018-04-20,4.75,4.75,4.7,4.7,410,USD
2018-04-23,4.55,4.7,4.35,4.7,3800,USD
2018-04-24,4.65,4.708,4.65,4.708,600,USD
2018-04-25,4.8,4.85,4.75,4.75,3221,USD
2018-04-26,4.75,4.9,4.65,4.9,1053,USD
2018-04-27,4.95,4.95,4.75,4.9,786,USD
2018-04-30,4.85,4.9,4.75,4.75,300,USD
2018-05-01,4.85,4.95,4.85,4.95,1269,USD
2018-05-02,5.0,5.0,4.9,4.9,121,USD
2018-05-03,4.95,4.95,4.9,4.95,793,USD
2018-05-04,5.1,5.2,5.1,5.15,1006,USD
2018-05-07,5.1,5.15,5.075,5.075,352,USD
2018-05-08,5.15,5.15,5.11,5.11,100,USD
2018-05-09,5.0,5.05,5.0,5.05,2648,USD
2018-05-10,5.1,5.1,5.01,5.01,101,USD
2018-05-11,5.0,5.125,5.0,5.125,3458,USD
2018-05-14,5.15,5.15,5.1,5.1,1,USD
2018-05-15,5.1,5.15,5.1,5.1,401,USD
2018-05-16,5.15,5.15,5.05,5.05,975,USD
2018-05-17,5.1,5.15,5.1,5.15,1814,USD
2018-05-18,5.15,5.2,5.15,5.2,705,USD
2018-05-21,5.25,5.25,5.2,5.25,301,USD
2018-05-22,5.25,5.25,5.25,5.25,100,USD
2018-05-23,5.2,5.25,5.2,5.25,145,USD
2018-05-25,5.25,5.25,5.25,5.25,278,USD
2018-05-29,5.4,5.4,5.35,5.35,26,USD
2018-05-30,5.4,5.4,5.25,5.25,2406,USD
2018-05-31,5.325,5.325,5.325,5.325,71,USD
2018-06-01,5.3,5.5,5.3,5.5,1072,USD
2018-06-04,5.55,5.55,5.45,5.45,1473,USD
2018-06-05,5.5,5.5,5.5,5.5,4,USD
2018-06-06,5.4,5.5,5.25,5.25,2195,USD
2018-06-07,5.35,5.35,4.95,5.35,1018,USD
2018-06-08,5.3,5.3,5.3,5.3,954,USD
2018-06-11,5.45,5.45,5.3,5.4,1391,USD
