Date,Open,High,Low,Close,Volume,Currency
2018-01-16,14.1,14.7,14.1,14.2,104807,USD
2018-01-17,14.3,14.4,14.15,14.4,60420,USD
2018-01-18,14.4,14.65,14.3,14.3,66789,USD
2018-01-19,14.25,14.3,13.95,14.12,124410,USD
2018-01-22,14.15,14.2,13.95,14.15,48106,USD
2018-01-23,14.1,14.25,14.1,14.15,19285,USD
2018-01-24,14.2,14.4,14.15,14.2,44117,USD
2018-01-25,14.25,14.3,13.95,14.3,22707,USD
2018-01-26,14.35,14.4,14.1,14.3,41690,USD
2018-01-29,14.3,14.4,14.1,14.35,28731,USD
2018-01-30,14.3,14.45,13.9,14.4,78715,USD
2018-01-31,14.45,14.7,14.25,14.55,59125,USD
2018-02-01,14.55,14.7,14.55,14.7,31715,USD
2018-02-02,14.7,14.75,14.5,14.6,40191,USD
2018-02-05,14.55,14.6,14.1,14.25,100115,USD
2018-02-06,14.1,14.5,13.8,14.3,150966,USD
2018-02-07,14.25,14.4,14.0,14.25,60654,USD
2018-02-08,14.25,14.25,14.0,14.0,143409,USD
2018-02-09,14.0,14.15,13.9,14.05,147614,USD
2018-02-12,14.0,14.15,13.6,13.9,73365,USD
2018-02-13,13.85,14.0,13.15,13.5,230489,USD
2018-02-14,13.4,13.9,13.3,13.8,125034,USD
2018-02-15,13.9,14.25,13.8,14.1,26166,USD
2018-02-16,14.05,14.35,13.8,14.1,79934,USD
2018-02-20,13.95,14.1,13.7,13.95,83997,USD
2018-02-21,14.0,14.25,14.0,14.05,47444,USD
2018-02-22,14.0,14.2,13.95,13.95,43259,USD
2018-02-23,14.0,14.15,13.95,14.05,39679,USD
2018-02-26,14.05,14.15,14.05,14.1,31215,USD
2018-02-27,14.1,14.2,13.9,13.95,33233,USD
2018-02-28,13.9,14.15,13.5,13.85,129003,USD
2018-03-01,13.85,14.05,13.6,13.95,45761,USD
2018-03-02,13.9,14.15,13.85,14.1,38500,USD
2018-03-05,13.95,14.1,13.9,13.95,51373,USD
2018-03-06,14.0,14.2,13.7,14.0,74933,USD
2018-03-07,14.0,14.2,13.95,14.0,75777,USD
2018-03-08,14.05,14.18,13.75,14.0,55990,USD
2018-03-09,14.05,14.22,13.55,14.05,56610,USD
2018-03-12,14.1,14.15,13.7,14.1,43479,USD
2018-03-13,14.1,14.3,13.95,14.0,65920,USD
2018-03-14,14.0,14.3,13.5,14.2,104575,USD
2018-03-15,14.2,14.2,13.9,14.05,110758,USD
2018-03-16,14.0,14.2,13.6,14.05,88254,USD
2018-03-19,14.0,14.05,13.65,13.9,61095,USD
2018-03-20,14.0,14.1,13.85,13.85,50912,USD
2018-03-21,13.85,14.05,13.65,14.05,54725,USD
2018-03-22,13.9,14.12,11.95,13.85,840429,USD
2018-03-23,13.7,13.93,13.05,13.8,178295,USD
2018-03-26,13.75,13.85,13.1,13.75,135520,USD
2018-03-27,13.65,13.8,13.3,13.7,164544,USD
2018-03-28,13.75,13.8,12.65,13.6,294310,USD
2018-03-29,13.5,13.7,13.05,13.5,225027,USD
2018-04-02,13.4,13.65,12.95,13.5,136056,USD
2018-04-03,13.5,13.68,13.3,13.5,115575,USD
2018-04-04,13.45,13.7,13.3,13.65,92190,USD
2018-04-05,13.65,13.85,13.6,13.65,83955,USD
2018-04-06,13.6,13.8,13.55,13.6,98687,USD
2018-04-09,13.65,13.65,13.25,13.45,77555,USD
2018-04-10,13.5,13.7,13.3,13.65,62190,USD
2018-04-11,13.6,13.7,13.35,13.4,51790,USD
2018-04-12,13.35,13.75,13.15,13.65,133053,USD
2018-04-13,13.6,13.65,13.25,13.5,71681,USD
2018-04-16,13.5,13.65,13.45,13.5,69218,USD
2018-04-17,13.55,13.65,13.45,13.6,91693,USD
2018-04-18,13.55,13.7,13.5,13.5,95081,USD
2018-04-19,13.55,13.6,13.45,13.5,105573,USD
2018-04-20,13.5,13.62,13.25,13.55,184098,USD
2018-04-23,13.5,13.6,13.05,13.35,371195,USD
2018-04-24,13.4,13.6,13.3,13.55,196193,USD
2018-04-25,13.5,13.6,13.35,13.45,235455,USD
2018-04-26,13.5,13.59,13.3,13.35,109757,USD
2018-04-27,13.35,13.6,13.25,13.45,133415,USD
2018-04-30,13.35,13.53,13.3,13.45,135220,USD
2018-05-01,13.4,13.5,13.28,13.4,80093,USD
2018-05-02,13.4,13.45,13.25,13.3,217972,USD
2018-05-03,13.3,13.35,13.05,13.3,328510,USD
2018-05-04,13.25,13.3,13.01,13.15,147066,USD
