Date,Open,High,Low,Close,Volume,Currency
2016-01-03,49.7,49.7,48.69,49.4,250867,USD
2016-01-04,49.46,50.03,48.95,49.81,239601,USD
2016-01-05,48.45,48.46,46.02,46.45,581463,USD
2016-01-06,45.64,45.98,44.36,44.84,243457,USD
2016-01-07,45.11,45.93,45.11,45.52,342281,USD
2016-01-10,45.78,45.99,44.72,45.32,175334,USD
2016-01-11,45.64,45.74,44.41,45.21,233334,USD
2016-01-12,45.4,45.4,42.5,42.89,248745,USD
2016-01-13,41.36,42.88,41.34,42.41,260300,USD
2016-01-14,40.78,42.13,40.78,41.98,335801,USD
2016-01-18,42.35,42.72,41.65,41.85,638641,USD
2016-01-19,41.27,43.33,41.15,42.88,461242,USD
2016-01-20,42.93,44.05,42.69,43.43,177300,USD
2016-01-21,44.22,44.65,43.63,44.25,179312,USD
2016-01-24,44.05,44.13,43.22,43.32,312355,USD
2016-01-25,43.58,44.15,43.31,43.74,143002,USD
2016-01-26,43.58,44.11,43.21,43.44,208814,USD
2016-01-27,43.83,43.87,42.83,42.98,215039,USD
2016-01-28,43.08,44.01,43.08,43.72,200730,USD
2016-01-31,43.46,43.69,42.51,43.62,323279,USD
2016-02-01,43.17,43.17,42.05,42.13,104888,USD
2016-02-02,42.47,42.72,41.17,42.39,151747,USD
2016-02-03,41.99,43.81,41.7,43.72,291683,USD
2016-02-04,43.56,43.8,42.6,43.09,247720,USD
2016-02-07,42.44,43.77,42.1,43.24,269632,USD
2016-02-08,42.89,44.16,42.89,43.3,209272,USD
2016-02-09,43.64,44.58,43.44,43.47,188906,USD
2016-02-10,42.71,43.63,42.44,43.09,177151,USD
2016-02-11,43.54,44.92,43.36,44.92,119474,USD
2016-02-15,45.5,45.91,45.08,45.48,184401,USD
2016-02-16,45.81,48.0,45.81,47.74,299042,USD
2016-02-17,46.55,49.6,44.24,49.59,360853,USD
2016-02-18,49.88,53.01,49.7,52.45,651503,USD
2016-02-21,52.9,53.55,51.9,52.41,290260,USD
2016-02-22,52.39,52.88,51.91,52.14,247531,USD
2016-02-23,51.52,51.97,49.78,50.34,426378,USD
2016-02-24,50.47,51.43,50.4,50.81,212398,USD
2016-02-25,51.34,52.0,51.06,51.49,292001,USD
2016-02-28,51.49,52.03,51.33,51.83,372145,USD
2016-02-29,52.23,52.72,51.93,52.2,165032,USD
2016-03-01,52.03,52.42,51.69,52.35,204551,USD
2016-03-02,52.33,52.97,52.02,52.95,124270,USD
2016-03-03,52.95,52.95,51.95,52.36,145812,USD
2016-03-06,52.12,52.82,51.37,52.64,148335,USD
2016-03-07,52.35,52.35,51.04,51.1,164955,USD
2016-03-08,51.52,51.85,50.89,51.39,122599,USD
2016-03-09,51.53,51.53,49.92,50.6,83856,USD
2016-03-10,50.99,52.39,50.0,52.11,153056,USD
2016-03-13,52.28,52.81,52.27,52.32,94288,USD
2016-03-14,51.84,52.43,51.39,51.53,92256,USD
2016-03-15,51.41,51.84,51.05,51.49,210037,USD
2016-03-16,51.19,51.87,51.13,51.61,388542,USD
2016-03-17,51.78,52.89,51.78,52.19,422659,USD
2016-03-20,52.17,53.19,51.8,53.16,180470,USD
2016-03-21,52.61,52.61,52.01,52.28,107836,USD
2016-03-22,52.22,52.22,51.23,51.5,146032,USD
2016-03-23,51.4,51.63,50.78,51.48,130109,USD
2016-03-27,51.75,52.56,51.51,52.04,128807,USD
2016-03-28,52.31,53.33,52.09,53.12,226850,USD
2016-03-29,53.54,54.32,53.25,53.84,238262,USD
2016-03-30,53.8,54.26,53.28,54.05,220938,USD
2016-03-31,53.42,53.65,52.27,52.58,263871,USD
2016-04-03,52.61,53.25,52.4,52.9,231952,USD
2016-04-04,52.49,52.96,51.48,51.65,463298,USD
2016-04-05,51.62,52.46,51.23,52.1,153074,USD
2016-04-06,52.0,52.4,51.26,51.67,141447,USD
2016-04-07,52.02,52.41,51.84,52.24,81205,USD
2016-04-10,52.44,52.92,52.44,52.78,131039,USD
2016-04-11,52.78,53.02,52.56,52.74,108502,USD
2016-04-12,52.97,53.7,52.85,53.49,122904,USD
2016-04-13,53.76,53.76,53.22,53.23,71359,USD
2016-04-14,53.15,53.58,53.13,53.19,61446,USD
2016-04-17,53.19,53.19,52.55,52.86,103874,USD
2016-04-18,53.08,53.42,52.07,52.92,116872,USD
2016-04-19,52.9,52.96,52.11,52.61,113817,USD
2016-04-20,52.58,52.72,52.35,52.54,74722,USD
2016-04-21,52.44,52.69,51.2,51.45,197204,USD
2016-04-24,51.35,51.74,51.33,51.55,235122,USD
2016-04-25,51.57,51.94,51.2,51.39,245091,USD
2016-04-26,51.51,52.08,50.98,51.62,299695,USD
2016-04-27,51.5,52.06,51.38,51.47,359168,USD
2016-04-28,51.41,51.57,50.5,50.66,282558,USD
2016-05-01,50.93,51.34,50.82,51.08,300879,USD
