Date,Open,High,Low,Close,Volume,Currency
2018-01-15,36.72,36.91,36.64,36.64,77242,USD
2018-01-16,36.61,36.81,36.58,36.79,101411,USD
2018-01-17,36.48,36.48,36.26,36.34,82741,USD
2018-01-18,36.83,37.02,36.77,36.91,129616,USD
2018-01-21,36.86,37.0,36.79,37.0,65762,USD
2018-01-22,37.06,37.11,36.95,37.06,39714,USD
2018-01-23,37.1,37.2,36.95,37.07,95415,USD
2018-01-24,37.28,37.28,37.1,37.19,50990,USD
2018-01-25,37.07,37.37,37.05,37.37,91269,USD
2018-01-28,37.4,37.4,37.13,37.16,205222,USD
2018-01-29,36.83,36.98,36.59,36.66,116533,USD
2018-01-30,36.9,37.19,36.89,37.05,137417,USD
2018-01-31,37.06,37.31,37.06,37.31,96056,USD
2018-02-01,37.19,37.19,37.01,37.1,130580,USD
2018-02-04,37.03,37.07,36.41,36.43,116065,USD
2018-02-05,36.2,36.81,36.18,36.8,189793,USD
2018-02-06,36.86,37.05,36.64,36.64,152890,USD
2018-02-07,36.68,36.72,36.19,36.21,192667,USD
2018-02-08,36.39,36.8,35.9,36.47,242092,USD
2018-02-11,36.72,37.01,36.55,36.8,128511,USD
2018-02-12,36.77,37.0,36.43,36.5,249253,USD
2018-02-13,36.4,36.9,36.32,36.86,181734,USD
2018-02-14,37.19,37.19,36.62,36.99,143090,USD
2018-02-15,36.85,37.14,36.67,37.01,72800,USD
2018-02-19,36.86,36.93,36.67,36.79,95031,USD
2018-02-20,37.17,37.3,36.92,36.94,131651,USD
2018-02-21,36.86,37.05,36.82,36.96,103558,USD
2018-02-22,37.04,37.5,37.04,37.5,74118,USD
2018-02-25,37.49,37.68,37.49,37.63,64020,USD
2018-02-26,37.23,37.46,37.23,37.23,101074,USD
2018-02-27,37.28,37.36,37.0,37.01,53372,USD
2018-02-28,36.96,37.09,36.74,36.96,70653,USD
2018-03-01,36.81,37.06,36.75,37.05,109097,USD
2018-03-04,36.8,37.17,36.8,37.16,45760,USD
2018-03-05,37.57,37.67,37.35,37.4,100457,USD
2018-03-06,37.26,37.5,37.26,37.45,72666,USD
