Date,Open,High,Low,Close,Volume,Currency
2016-01-03,22.62,22.94,22.07,22.3,164945,USD
2016-01-04,22.33,22.33,21.9,22.12,189558,USD
2016-01-05,21.78,21.8,21.24,21.49,158095,USD
2016-01-06,21.06,21.24,20.69,20.71,128455,USD
2016-01-07,20.73,21.09,20.16,20.16,269256,USD
2016-01-10,20.31,20.77,20.31,20.63,112384,USD
2016-01-11,20.84,20.99,20.08,20.5,141330,USD
2016-01-12,20.51,20.92,19.74,19.94,248299,USD
2016-01-13,20.04,20.57,19.72,20.24,144517,USD
2016-01-14,19.58,19.89,19.09,19.34,169362,USD
2016-01-18,19.61,19.97,18.83,19.04,113774,USD
2016-01-19,18.84,19.49,18.6,19.35,174690,USD
2016-01-20,19.49,19.97,19.05,19.46,275813,USD
2016-01-21,19.73,19.91,19.34,19.54,135607,USD
2016-01-24,19.45,19.45,18.6,19.21,136213,USD
2016-01-25,19.39,19.39,18.67,19.25,106668,USD
2016-01-26,19.12,19.22,18.53,18.56,208347,USD
2016-01-27,18.61,18.73,18.21,18.27,201189,USD
2016-01-28,18.47,19.17,18.3,19.13,609914,USD
2016-01-31,19.02,19.21,18.86,19.04,271705,USD
2016-02-01,18.79,18.81,18.15,18.22,94811,USD
2016-02-02,18.41,18.64,17.66,18.03,211222,USD
2016-02-03,18.0,18.44,17.5,18.36,168040,USD
2016-02-04,18.23,18.39,17.96,17.98,161184,USD
2016-02-07,17.78,18.06,17.55,17.94,102578,USD
2016-02-08,17.7,18.32,17.28,18.0,168953,USD
2016-02-09,18.04,18.32,17.73,17.75,136015,USD
2016-02-10,17.51,17.79,17.4,17.66,180960,USD
2016-02-11,17.84,18.2,17.52,18.15,116592,USD
2016-02-15,18.32,18.87,18.15,18.57,131835,USD
2016-02-16,19.79,19.96,16.58,17.43,629230,USD
2016-02-17,17.49,17.71,16.59,17.24,226581,USD
2016-02-18,17.19,17.61,16.85,17.41,172376,USD
2016-02-21,17.5,17.85,17.45,17.62,258487,USD
