Date,Open,High,Low,Close,Volume,Currency
2016-01-03,59.52,59.97,58.99,59.91,2164097,USD
2016-01-04,60.19,61.09,59.67,60.29,2283615,USD
2016-01-05,59.36,59.73,58.9,59.18,1743722,USD
2016-01-06,58.5,59.61,58.08,59.19,2160638,USD
2016-01-07,59.52,59.66,58.04,58.13,1960841,USD
2016-01-10,58.61,59.27,58.07,58.94,1726304,USD
2016-01-11,59.96,60.19,58.94,59.99,2757544,USD
2016-01-12,60.21,60.7,58.93,59.12,2533031,USD
2016-01-13,59.41,60.62,58.93,60.3,3068265,USD
2016-01-14,58.57,59.27,57.62,58.46,2995296,USD
2016-01-18,59.15,59.34,58.3,58.71,1383415,USD
2016-01-19,57.92,58.35,56.8,57.89,2399669,USD
2016-01-20,58.14,58.94,57.67,58.05,2661905,USD
2016-01-21,59.06,59.55,58.93,59.45,1972818,USD
2016-01-24,59.17,59.65,58.76,58.85,1271781,USD
2016-01-25,59.01,60.09,58.72,60.04,1269184,USD
2016-01-26,59.87,60.38,58.45,58.81,2111509,USD
2016-01-27,59.3,59.46,58.06,58.21,1657123,USD
2016-01-28,58.6,59.76,58.31,59.73,2198769,USD
2016-01-31,59.38,61.03,59.21,60.67,1810216,USD
2016-02-01,60.0,60.12,59.3,59.52,1614279,USD
2016-02-02,59.6,59.95,58.86,59.65,1523243,USD
2016-02-03,59.46,60.26,59.46,60.15,1453571,USD
2016-02-04,59.85,60.4,58.29,58.54,1919437,USD
2016-02-07,57.74,57.74,55.1,56.04,4212421,USD
2016-02-08,57.65,59.33,56.38,57.93,5576212,USD
2016-02-09,57.89,58.68,57.32,57.4,3098642,USD
2016-02-10,56.2,56.88,55.99,56.44,1965321,USD
2016-02-11,57.1,57.63,56.83,57.57,1538457,USD
2016-02-15,58.5,58.97,58.22,58.65,2774697,USD
2016-02-16,59.11,59.55,58.83,59.54,2644273,USD
2016-02-17,59.51,59.76,58.93,59.17,1233499,USD
2016-02-18,59.17,59.75,58.66,59.71,1690068,USD
2016-02-21,59.91,60.7,59.66,59.99,1767476,USD
2016-02-22,59.66,59.99,58.9,58.98,1753088,USD
2016-02-23,58.51,59.23,57.8,59.18,1605831,USD
2016-02-24,59.33,60.07,58.93,60.04,1556002,USD
2016-02-25,60.18,60.61,59.4,59.49,1806578,USD
2016-02-28,59.43,59.69,58.23,58.25,2735727,USD
2016-02-29,58.81,60.01,58.7,60.0,2165345,USD
2016-03-01,59.96,59.99,59.13,59.92,1565640,USD
2016-03-02,59.85,60.47,59.43,60.33,2195541,USD
2016-03-03,60.33,60.84,59.95,60.81,3087666,USD
2016-03-06,60.44,60.66,59.84,60.07,1848524,USD
2016-03-07,59.53,59.76,59.13,59.18,1470808,USD
2016-03-08,59.52,60.05,59.11,60.02,1873594,USD
2016-03-09,60.24,61.75,60.07,61.56,4338544,USD
2016-03-10,61.82,63.01,61.26,62.81,3870986,USD
2016-03-13,62.74,62.92,62.17,62.8,2386499,USD
2016-03-14,62.04,62.7,61.82,62.43,1397450,USD
2016-03-15,62.32,63.0,62.21,62.76,1528202,USD
2016-03-16,62.73,63.37,62.53,63.06,2297701,USD
2016-03-17,61.93,62.84,61.25,62.54,9141239,USD
2016-03-20,62.36,62.93,62.19,62.75,2248771,USD
2016-03-21,62.5,62.75,62.37,62.45,1448056,USD
2016-03-22,62.49,63.03,62.2,62.89,2280015,USD
2016-03-23,62.67,62.72,61.95,62.62,1567778,USD
2016-03-27,63.0,63.0,62.25,62.42,1044979,USD
2016-03-28,62.23,62.95,62.05,62.92,1105290,USD
2016-03-29,63.0,63.41,62.92,63.18,1397306,USD
2016-03-30,63.03,63.74,62.84,63.31,1665455,USD
2016-03-31,63.64,65.11,63.39,65.01,2804135,USD
2016-04-03,65.11,65.35,64.25,64.34,1468557,USD
2016-04-04,63.99,64.18,63.37,63.44,1204903,USD
2016-04-05,63.34,64.58,63.3,64.5,1454011,USD
2016-04-06,64.05,64.38,63.48,63.89,1483973,USD
2016-04-07,64.4,64.44,63.75,63.98,1746614,USD
2016-04-10,64.23,64.82,63.91,64.11,1737560,USD
2016-04-11,64.1,64.39,63.74,64.03,1417215,USD
2016-04-12,64.37,64.51,63.77,64.28,1815373,USD
2016-04-13,64.18,64.48,63.93,64.19,1176389,USD
2016-04-14,64.25,64.57,63.99,64.06,1641675,USD
2016-04-17,64.04,65.04,63.92,65.01,1086518,USD
2016-04-18,65.23,65.84,65.0,65.49,1658193,USD
2016-04-19,65.56,66.79,65.32,66.45,2881011,USD
2016-04-20,66.22,66.68,64.99,65.24,2024393,USD
2016-04-21,64.91,65.44,64.36,65.24,1436830,USD
2016-04-24,64.96,65.86,64.69,65.7,1575260,USD
2016-04-25,65.83,66.22,65.13,66.0,1375326,USD
2016-04-26,65.41,66.62,65.41,66.4,1473002,USD
2016-04-27,66.02,66.46,65.51,65.67,1617682,USD
2016-04-28,65.29,66.11,64.84,65.8,2995260,USD
2016-05-01,66.0,67.36,65.72,67.18,4016680,USD
2016-05-02,69.57,72.23,69.52,71.29,8604527,USD
2016-05-03,71.05,71.4,70.51,71.05,3866172,USD
2016-05-04,70.89,71.5,69.93,70.39,2919982,USD
2016-05-05,70.14,71.27,70.05,71.25,2242113,USD
2016-05-08,71.83,72.98,71.54,71.72,2666675,USD
2016-05-09,71.95,73.9,71.95,73.85,3698456,USD
2016-05-10,74.13,74.19,73.19,73.43,2757887,USD
2016-05-11,72.05,72.98,71.3,71.77,4720101,USD
2016-05-12,71.82,73.03,71.8,72.31,7523660,USD
2016-05-15,72.28,72.98,71.92,72.79,2619559,USD
2016-05-16,72.67,73.0,71.91,72.13,2094523,USD
2016-05-17,72.05,72.86,71.6,72.39,2440025,USD
2016-05-18,72.05,72.74,71.73,72.61,1753941,USD
2016-05-19,73.1,73.1,72.65,72.98,2399678,USD
2016-05-22,72.87,72.9,72.47,72.54,1378354,USD
2016-05-23,72.99,73.97,72.82,73.91,5103261,USD
2016-05-24,73.97,74.11,73.43,73.68,2135954,USD
2016-05-25,73.5,74.5,73.26,74.03,1813925,USD
2016-05-26,73.9,74.57,73.88,74.41,1476358,USD
2016-05-30,74.48,74.59,73.85,74.27,3217920,USD
2016-05-31,74.19,74.75,73.66,74.72,1354537,USD
2016-06-01,74.65,75.46,74.26,75.38,1346818,USD
2016-06-02,74.97,75.15,74.27,74.99,1256001,USD
2016-06-05,74.95,75.8,74.75,75.28,1800928,USD
2016-06-06,75.28,75.75,75.14,75.45,1589821,USD
2016-06-07,75.31,75.71,75.08,75.38,1210521,USD
2016-06-08,75.07,75.4,74.92,75.14,1190063,USD
2016-06-09,74.56,74.63,74.06,74.34,1794884,USD
2016-06-12,74.13,74.65,73.4,73.44,1796049,USD
2016-06-13,73.11,73.89,72.9,73.75,1533426,USD
2016-06-14,73.78,74.0,73.43,73.62,1902419,USD
