Date,Open,High,Low,Close,Currency,Exchange
2016-01-03,9.44,9.6,9.32,9.58,USD,NASDAQ
2016-01-04,9.71,9.79,9.35,9.67,USD,NASDAQ
2016-01-05,9.46,9.5,9.24,9.34,USD,NASDAQ
2016-01-06,9.22,9.45,9.03,9.03,USD,NASDAQ
2016-01-07,9.1,9.47,8.88,8.92,USD,NASDAQ
2016-01-10,9.02,9.04,8.71,8.79,USD,NASDAQ
2016-01-11,8.67,8.8,8.67,8.73,USD,NASDAQ
2016-01-12,8.77,8.82,8.57,8.65,USD,NASDAQ
2016-01-13,8.54,8.97,8.54,8.84,USD,NASDAQ
2016-01-14,8.5,8.54,8.2,8.43,USD,NASDAQ
2016-01-18,8.38,8.7,8.22,8.52,USD,NASDAQ
2016-01-19,8.12,8.49,8.0,8.41,USD,NASDAQ
2016-01-20,8.2,8.7,8.2,8.51,USD,NASDAQ
2016-01-21,8.93,9.03,8.73,8.86,USD,NASDAQ
2016-01-24,8.68,8.77,8.5,8.55,USD,NASDAQ
2016-01-25,8.7,8.91,8.7,8.87,USD,NASDAQ
2016-01-26,8.6,9.1,8.6,8.77,USD,NASDAQ
2016-01-27,8.85,9.33,8.85,9.06,USD,NASDAQ
2016-01-28,9.29,9.34,9.18,9.33,USD,NASDAQ
2016-01-31,9.17,9.27,9.08,9.15,USD,NASDAQ
2016-02-01,8.89,9.2,8.72,8.73,USD,NASDAQ
2016-02-02,8.8,9.06,8.68,9.05,USD,NASDAQ
2016-02-03,9.24,9.35,9.24,9.3,USD,NASDAQ
2016-02-04,9.3,9.38,9.11,9.14,USD,NASDAQ
2016-02-07,9.09,9.12,8.92,9.06,USD,NASDAQ
2016-02-08,9.0,9.2,8.8,8.83,USD,NASDAQ
2016-02-09,9.0,9.0,8.58,8.89,USD,NASDAQ
2016-02-10,8.36,8.8,8.36,8.61,USD,NASDAQ
2016-02-11,8.5,9.03,8.5,8.88,USD,NASDAQ
2016-02-15,9.1,9.27,8.9,9.22,USD,NASDAQ
2016-02-16,9.39,9.47,9.39,9.42,USD,NASDAQ
2016-02-17,9.28,9.53,9.27,9.41,USD,NASDAQ
2016-02-18,9.3,9.31,9.25,9.3,USD,NASDAQ
2016-02-21,9.54,9.64,9.54,9.64,USD,NASDAQ
2016-02-22,9.46,9.46,9.33,9.34,USD,NASDAQ
2016-02-23,9.05,9.3,9.05,9.15,USD,NASDAQ
2016-02-24,9.14,9.23,9.1,9.23,USD,NASDAQ
2016-02-25,9.35,9.35,9.21,9.27,USD,NASDAQ
