Date,Open,High,Low,Close,Currency,Exchange
2016-01-03,42.73,42.73,42.15,42.63,USD,NASDAQ
2016-01-04,42.75,42.77,42.42,42.59,USD,NASDAQ
2016-01-05,41.98,42.28,41.73,42.05,USD,NASDAQ
2016-01-06,41.17,41.68,40.88,40.94,USD,NASDAQ
2016-01-07,41.26,41.32,40.43,40.5,USD,NASDAQ
2016-01-10,40.51,40.62,39.84,40.4,USD,NASDAQ
2016-01-11,40.73,41.03,40.29,40.84,USD,NASDAQ
2016-01-12,40.95,40.99,39.31,39.37,USD,NASDAQ
2016-01-13,39.56,40.38,38.87,40.05,USD,NASDAQ
2016-01-14,38.88,39.17,38.33,38.89,USD,NASDAQ
2016-01-18,39.38,39.47,38.47,38.88,USD,NASDAQ
2016-01-19,38.27,39.16,37.41,38.82,USD,NASDAQ
2016-01-20,38.95,39.36,38.62,38.92,USD,NASDAQ
2016-01-21,39.63,39.87,39.51,39.79,USD,NASDAQ
2016-01-24,39.67,39.68,39.1,39.15,USD,NASDAQ
2016-01-25,39.29,39.81,39.09,39.67,USD,NASDAQ
2016-01-26,39.56,39.81,38.74,38.92,USD,NASDAQ
2016-01-27,39.28,39.28,38.42,38.87,USD,NASDAQ
2016-01-28,38.95,39.92,38.95,39.88,USD,NASDAQ
2016-01-31,39.73,40.27,39.56,40.25,USD,NASDAQ
2016-02-01,39.84,39.84,38.92,39.07,USD,NASDAQ
2016-02-02,39.35,39.35,38.28,39.1,USD,NASDAQ
2016-02-03,39.05,39.56,38.87,39.25,USD,NASDAQ
2016-02-04,39.16,39.16,37.82,37.95,USD,NASDAQ
2016-02-07,37.39,37.39,36.38,37.0,USD,NASDAQ
2016-02-08,36.47,37.31,36.43,36.76,USD,NASDAQ
2016-02-09,37.15,37.71,36.95,37.02,USD,NASDAQ
2016-02-10,36.27,37.03,36.27,36.79,USD,NASDAQ
2016-02-11,37.16,37.6,36.73,37.58,USD,NASDAQ
2016-02-15,38.04,38.57,38.01,38.57,USD,NASDAQ
2016-02-16,38.85,39.51,38.85,39.49,USD,NASDAQ
2016-02-17,39.61,39.61,39.09,39.13,USD,NASDAQ
2016-02-18,39.01,39.33,38.81,39.31,USD,NASDAQ
2016-02-21,39.66,39.98,39.66,39.98,USD,NASDAQ
2016-02-22,39.81,39.84,39.4,39.4,USD,NASDAQ
2016-02-23,38.96,39.87,38.74,39.82,USD,NASDAQ
2016-02-24,39.88,40.24,39.64,40.24,USD,NASDAQ
2016-02-25,40.53,40.53,40.2,40.3,USD,NASDAQ
2016-02-28,40.26,40.48,39.98,39.99,USD,NASDAQ
2016-02-29,40.3,41.09,40.19,41.09,USD,NASDAQ
2016-03-01,41.1,41.1,40.8,41.07,USD,NASDAQ
2016-03-02,41.08,41.16,40.82,41.14,USD,NASDAQ
2016-03-03,41.2,41.45,40.99,41.18,USD,NASDAQ
2016-03-06,40.93,41.51,40.93,41.26,USD,NASDAQ
2016-03-07,41.02,41.02,40.6,40.6,USD,NASDAQ
2016-03-08,40.78,40.87,40.59,40.84,USD,NASDAQ
2016-03-09,41.09,41.23,40.33,40.74,USD,NASDAQ
2016-03-10,41.28,41.61,41.19,41.61,USD,NASDAQ
2016-03-13,41.5,41.69,41.47,41.64,USD,NASDAQ
2016-03-14,41.3,41.37,41.22,41.31,USD,NASDAQ
2016-03-15,41.31,41.74,41.21,41.67,USD,NASDAQ
2016-03-16,41.65,41.81,41.43,41.74,USD,NASDAQ
2016-03-17,41.82,42.09,41.8,42.07,USD,NASDAQ
2016-03-20,41.93,42.21,41.93,42.2,USD,NASDAQ
2016-03-21,41.87,42.34,41.87,42.27,USD,NASDAQ
2016-03-22,41.95,41.95,41.51,41.54,USD,NASDAQ
2016-03-23,41.27,41.49,41.16,41.48,USD,NASDAQ
2016-03-27,41.6,41.6,41.38,41.48,USD,NASDAQ
2016-03-28,41.33,42.03,41.27,42.0,USD,NASDAQ
2016-03-29,42.22,42.4,42.1,42.14,USD,NASDAQ
2016-03-30,42.11,42.38,42.11,42.23,USD,NASDAQ
2016-03-31,42.01,42.58,41.95,42.57,USD,NASDAQ
2016-04-03,42.62,42.65,42.34,42.36,USD,NASDAQ
2016-04-04,42.04,42.15,41.92,41.97,USD,NASDAQ
2016-04-05,42.06,42.72,42.02,42.72,USD,NASDAQ
2016-04-06,42.49,42.55,41.87,42.01,USD,NASDAQ
2016-04-07,42.36,42.38,41.92,42.02,USD,NASDAQ
2016-04-10,42.28,42.4,41.79,41.8,USD,NASDAQ
2016-04-11,41.79,42.16,41.6,42.06,USD,NASDAQ
2016-04-12,42.32,42.8,42.32,42.75,USD,NASDAQ
2016-04-13,42.65,42.67,42.51,42.6,USD,NASDAQ
2016-04-14,42.53,42.53,42.33,42.47,USD,NASDAQ
2016-04-17,42.3,42.76,42.23,42.74,USD,NASDAQ
2016-04-18,42.72,42.72,42.18,42.34,USD,NASDAQ
2016-04-19,42.31,42.68,42.31,42.52,USD,NASDAQ
2016-04-20,42.61,42.72,42.38,42.57,USD,NASDAQ
2016-04-21,42.47,42.63,42.2,42.45,USD,NASDAQ
2016-04-24,42.3,42.4,42.18,42.31,USD,NASDAQ
2016-04-25,42.41,42.6,42.22,42.36,USD,NASDAQ
2016-04-26,42.3,42.55,42.11,42.43,USD,NASDAQ
2016-04-27,42.29,42.56,41.82,41.89,USD,NASDAQ
2016-04-28,41.74,41.74,41.0,41.28,USD,NASDAQ
2016-05-01,41.28,41.65,41.21,41.59,USD,NASDAQ
2016-05-02,41.29,41.38,41.0,41.12,USD,NASDAQ
2016-05-03,40.8,40.92,40.61,40.73,USD,NASDAQ
2016-05-04,40.96,40.96,40.7,40.71,USD,NASDAQ
2016-05-05,40.42,40.78,40.29,40.78,USD,NASDAQ
2016-05-08,40.81,41.06,40.76,40.88,USD,NASDAQ
2016-05-09,41.03,41.44,40.94,41.43,USD,NASDAQ
2016-05-10,41.28,41.39,40.9,40.9,USD,NASDAQ
2016-05-11,41.05,41.05,40.43,40.67,USD,NASDAQ
2016-05-12,40.78,40.98,40.53,40.63,USD,NASDAQ
2016-05-15,40.66,41.3,40.66,41.14,USD,NASDAQ
2016-05-16,41.14,41.25,40.7,40.78,USD,NASDAQ
2016-05-17,40.66,41.13,40.63,40.93,USD,NASDAQ
2016-05-18,40.76,40.87,40.37,40.68,USD,NASDAQ
2016-05-19,40.86,41.32,40.86,41.21,USD,NASDAQ
2016-05-22,41.22,41.44,41.16,41.17,USD,NASDAQ
2016-05-23,41.38,42.11,41.38,42.11,USD,NASDAQ
2016-05-24,42.27,42.41,42.14,42.31,USD,NASDAQ
2016-05-25,42.36,42.47,42.28,42.4,USD,NASDAQ
2016-05-26,42.59,42.78,42.59,42.78,USD,NASDAQ
2016-05-30,42.84,42.95,42.73,42.94,USD,NASDAQ
2016-05-31,42.77,43.01,42.74,43.01,USD,NASDAQ
2016-06-01,42.87,43.28,42.86,43.27,USD,NASDAQ
2016-06-02,43.19,43.19,42.73,43.02,USD,NASDAQ
2016-06-05,43.09,43.26,43.0,43.2,USD,NASDAQ
2016-06-06,43.09,43.25,43.06,43.11,USD,NASDAQ
2016-06-07,43.14,43.18,43.0,43.1,USD,NASDAQ
2016-06-08,42.89,43.0,42.8,42.94,USD,NASDAQ
2016-06-09,42.35,42.44,42.08,42.21,USD,NASDAQ
2016-06-12,42.08,42.39,41.92,41.96,USD,NASDAQ
2016-06-13,41.9,42.1,41.63,41.93,USD,NASDAQ
2016-06-14,42.09,42.14,41.85,41.85,USD,NASDAQ
2016-06-15,41.7,42.03,41.35,42.0,USD,NASDAQ
2016-06-16,41.8,41.84,41.63,41.7,USD,NASDAQ
2016-06-19,42.14,42.54,42.13,42.13,USD,NASDAQ
2016-06-20,42.21,42.21,41.99,42.13,USD,NASDAQ
2016-06-21,42.1,42.35,42.0,42.0,USD,NASDAQ
2016-06-22,42.33,42.76,42.31,42.76,USD,NASDAQ
2016-06-23,41.15,41.65,40.69,40.79,USD,NASDAQ
2016-06-26,40.36,40.36,39.42,39.59,USD,NASDAQ
2016-06-27,40.13,40.54,40.12,40.54,USD,NASDAQ
2016-06-28,40.88,41.52,40.88,41.42,USD,NASDAQ
