Date,Open,High,Low,Close,Currency,Exchange
2018-01-15,31.29,31.29,31.05,31.05,USD,NYSE
2018-01-16,31.35,31.35,31.35,31.35,USD,NYSE
2018-01-17,31.39,31.39,31.32,31.32,USD,NYSE
2018-01-23,31.86,31.87,31.86,31.87,USD,NYSE
2018-01-25,32.01,32.01,32.01,32.01,USD,NYSE
2018-01-29,31.72,31.72,31.65,31.65,USD,NYSE
2018-02-01,31.38,31.38,31.19,31.19,USD,NYSE
2018-02-04,31.25,31.25,31.25,31.25,USD,NYSE
2018-02-06,30.31,30.31,30.31,30.31,USD,NYSE
2018-02-11,29.71,29.85,29.71,29.73,USD,NYSE
2018-02-12,29.68,29.88,29.68,29.84,USD,NYSE
2018-02-15,30.64,30.64,30.64,30.64,USD,NYSE
2018-02-19,30.4,30.41,30.4,30.41,USD,NYSE
2018-02-20,30.33,30.33,30.3,30.3,USD,NYSE
2018-02-21,30.28,30.28,30.28,30.28,USD,NYSE
2018-02-22,30.44,30.46,30.43,30.43,USD,NYSE
2018-02-26,30.85,30.85,30.85,30.85,USD,NYSE
2018-03-04,30.34,30.4,30.34,30.4,USD,NYSE
2018-03-08,31.11,31.11,31.11,31.11,USD,NYSE
2018-03-11,31.19,31.23,31.14,31.19,USD,NYSE
2018-03-12,31.13,31.13,31.13,31.13,USD,NYSE
2018-03-19,30.39,30.63,30.39,30.58,USD,NYSE
2018-03-21,30.11,30.11,30.11,30.11,USD,NYSE
2018-03-22,29.47,29.47,29.47,29.47,USD,NYSE
2018-03-28,30.05,30.05,30.05,30.05,USD,NYSE
2018-04-03,29.99,29.99,29.99,29.99,USD,NYSE
2018-04-04,30.27,30.27,30.27,30.27,USD,NYSE
2018-04-05,30.2,30.2,29.62,29.62,USD,NYSE
2018-04-11,30.23,30.23,30.23,30.23,USD,NYSE
2018-04-18,30.7,30.7,30.62,30.62,USD,NYSE
2018-04-19,30.22,30.22,30.22,30.22,USD,NYSE
2018-04-22,30.22,30.22,30.22,30.22,USD,NYSE
2018-04-23,30.34,30.34,30.0,30.0,USD,NYSE
2018-04-24,29.97,29.97,29.97,29.97,USD,NYSE
2018-05-01,29.97,29.97,29.97,29.97,USD,NYSE
2018-05-02,29.89,29.89,29.89,29.89,USD,NYSE
2018-05-03,29.94,30.27,29.91,30.27,USD,NYSE
2018-05-07,30.26,30.3,30.26,30.3,USD,NYSE
2018-05-09,30.52,30.78,30.52,30.78,USD,NYSE
2018-05-14,30.64,30.68,30.64,30.68,USD,NYSE
2018-05-15,30.66,30.66,30.66,30.66,USD,NYSE
2018-05-23,30.95,30.95,30.95,30.95,USD,NYSE
2018-05-28,30.54,30.54,30.52,30.52,USD,NYSE
2018-05-30,30.72,30.72,30.72,30.72,USD,NYSE
2018-05-31,31.0,31.0,31.0,31.0,USD,NYSE
2018-06-04,31.51,31.51,31.24,31.24,USD,NYSE
2018-06-05,31.39,31.39,31.39,31.39,USD,NYSE
2018-06-06,31.56,31.56,31.45,31.45,USD,NYSE
2018-06-07,31.03,31.55,31.03,31.52,USD,NYSE
2018-06-10,31.32,31.32,31.32,31.32,USD,NYSE
2018-06-14,31.4,31.4,31.4,31.4,USD,NYSE
2018-06-24,31.2,31.2,30.75,30.75,USD,NYSE
2018-06-25,30.54,30.54,30.54,30.54,USD,NYSE
2018-07-01,31.09,31.09,31.09,31.09,USD,NYSE
2018-07-05,31.18,31.21,31.18,31.2,USD,NYSE
2018-07-08,31.32,31.36,31.32,31.34,USD,NYSE
2018-07-09,31.5,31.5,31.5,31.5,USD,NYSE
2018-07-12,31.67,31.72,31.66,31.72,USD,NYSE
2018-07-16,31.76,31.76,31.75,31.75,USD,NYSE
2018-07-17,31.76,31.88,31.76,31.88,USD,NYSE
