Date,Open,High,Low,Close,Volume,Currency
2016-01-03,7.49,7.56,7.47,7.56,25304,USD
2016-01-04,7.55,7.91,7.53,7.69,31848,USD
2016-01-05,7.71,8.03,7.67,7.92,16073,USD
2016-01-06,7.92,8.42,7.92,8.19,111822,USD
2016-01-07,8.27,8.28,7.78,8.13,59948,USD
2016-01-10,8.09,8.29,8.04,8.1,24239,USD
2016-01-11,8.13,8.33,8.1,8.24,25539,USD
2016-01-12,8.24,8.24,8.0,8.1,51815,USD
2016-01-13,7.94,8.07,7.64,7.64,32210,USD
2016-01-14,7.48,7.58,7.11,7.21,24380,USD
2016-01-18,7.11,7.39,7.01,7.01,26024,USD
2016-01-19,7.07,7.37,7.0,7.26,29904,USD
2016-01-20,7.35,7.44,7.18,7.43,19853,USD
2016-01-21,7.46,7.81,7.46,7.65,32601,USD
2016-01-24,7.66,7.94,7.6,7.87,29856,USD
2016-01-25,7.73,7.94,7.7,7.8,18296,USD
2016-01-26,7.81,7.89,7.74,7.79,12278,USD
2016-01-27,7.81,7.89,7.74,7.82,33765,USD
2016-01-28,7.82,7.97,7.8,7.86,9689,USD
2016-01-31,7.86,7.9,7.86,7.89,6038,USD
2016-02-01,7.8,8.09,7.8,7.96,26141,USD
2016-02-02,7.95,7.99,7.8,7.8,5789,USD
2016-02-03,7.82,8.05,7.79,7.85,24482,USD
2016-02-04,7.86,7.99,7.8,7.87,19913,USD
2016-02-07,7.78,7.97,7.78,7.9,22158,USD
2016-02-08,7.94,7.95,7.8,7.95,13445,USD
2016-02-09,8.31,8.66,8.31,8.4,102861,USD
2016-02-10,8.51,8.57,8.1,8.51,40733,USD
2016-02-11,8.61,8.61,8.51,8.53,12492,USD
2016-02-15,8.48,8.57,8.33,8.37,30789,USD
2016-02-16,8.37,8.66,8.37,8.45,31493,USD
2016-02-17,8.55,8.67,8.07,8.33,76830,USD
2016-02-18,8.32,8.32,8.22,8.27,8882,USD
2016-02-21,8.27,8.63,8.27,8.46,45737,USD
2016-02-22,8.46,8.48,8.41,8.45,8250,USD
2016-02-23,8.51,8.66,8.4,8.66,58437,USD
2016-02-24,8.67,8.67,8.47,8.63,52782,USD
2016-02-25,8.66,9.0,8.64,8.91,478947,USD
2016-02-28,8.91,9.27,8.91,9.05,100219,USD
2016-02-29,9.11,9.11,8.93,8.93,101818,USD
2016-03-01,8.93,8.99,8.9,8.9,45065,USD
2016-03-02,8.83,9.11,8.8,9.1,81932,USD
2016-03-03,9.11,9.32,8.87,9.31,108015,USD
2016-03-06,9.33,10.28,9.29,9.67,322183,USD
2016-03-07,9.7,9.94,9.14,9.46,159669,USD
2016-03-08,9.51,9.51,9.33,9.34,36080,USD
2016-03-09,9.45,9.57,8.91,9.22,79611,USD
2016-03-10,9.25,9.55,8.88,9.17,21893,USD
2016-03-13,9.21,9.21,8.9,8.95,35613,USD
2016-03-14,8.89,9.13,8.7,9.01,40881,USD
2016-03-15,8.99,9.19,8.89,9.0,51521,USD
2016-03-16,8.93,9.21,8.85,9.2,50265,USD
2016-03-17,9.24,9.33,8.87,9.15,36795,USD
2016-03-20,9.15,9.32,9.01,9.02,53463,USD
2016-03-21,9.0,9.15,8.73,8.79,69581,USD
2016-03-22,8.81,8.98,8.67,8.91,67734,USD
2016-03-23,8.91,8.91,8.71,8.87,69374,USD
2016-03-27,8.93,9.41,8.87,9.37,73955,USD
2016-03-28,9.37,9.79,9.34,9.73,72180,USD
2016-03-29,9.73,9.83,9.64,9.77,36041,USD
2016-03-30,9.77,9.97,9.66,9.75,57288,USD
2016-03-31,9.72,10.04,9.72,9.87,63701,USD
