Date,Open,High,Low,Close,Volume,Currency
2016-01-03,13.93,14.51,13.66,14.23,249644,USD
2016-01-04,14.2,14.3,13.73,14.17,162596,USD
2016-01-05,13.71,13.93,13.02,13.64,380232,USD
2016-01-06,13.21,13.31,11.73,11.81,273847,USD
2016-01-07,11.89,12.01,11.55,11.56,191697,USD
2016-01-10,11.68,11.99,10.08,11.0,318226,USD
2016-01-11,11.26,11.71,10.26,10.77,258810,USD
2016-01-12,10.89,11.1,9.56,9.61,269545,USD
2016-01-13,9.71,9.81,9.39,9.42,262217,USD
2016-01-14,9.0,9.39,8.57,9.34,255554,USD
2016-01-18,9.44,9.49,8.06,8.4,222920,USD
2016-01-19,8.24,8.99,7.62,8.9,348980,USD
2016-01-20,8.81,9.61,8.71,9.48,262439,USD
2016-01-21,9.83,10.3,9.77,10.15,273364,USD
2016-01-24,9.85,10.45,9.5,9.57,156619,USD
2016-01-25,9.82,10.18,9.27,9.39,115358,USD
2016-01-26,9.3,10.19,9.19,9.8,167447,USD
2016-01-27,10.16,10.53,9.96,10.03,143103,USD
2016-01-28,10.06,10.84,10.06,10.81,179348,USD
2016-01-31,10.58,10.78,10.02,10.02,212876,USD
2016-02-01,9.65,9.82,9.06,9.24,204304,USD
2016-02-02,9.47,9.49,8.73,9.32,213079,USD
2016-02-03,9.08,11.5,9.08,10.01,327725,USD
2016-02-04,9.84,10.54,9.52,10.19,204485,USD
2016-02-07,10.0,10.22,9.14,9.81,183627,USD
2016-02-08,9.66,10.39,9.24,9.68,121047,USD
2016-02-09,9.65,9.82,9.0,9.17,165613,USD
2016-02-10,9.08,9.52,8.63,9.41,139088,USD
2016-02-11,9.63,10.67,9.34,10.28,213080,USD
2016-02-15,10.51,10.9,8.9,9.47,238508,USD
2016-02-16,9.63,10.54,9.37,10.1,162470,USD
2016-02-17,10.29,10.32,9.09,9.49,154371,USD
2016-02-18,9.27,9.46,8.97,9.18,111616,USD
2016-02-21,9.45,10.34,9.45,9.89,140204,USD
2016-02-22,9.79,10.29,9.46,9.56,161378,USD
2016-02-23,9.32,10.4,9.24,10.09,188615,USD
2016-02-24,10.01,10.3,9.3,10.04,193444,USD
2016-02-25,10.26,11.28,10.19,10.58,429320,USD
2016-02-26,10.52,10.52,10.52,10.52,414548,USD
2016-02-28,10.64,11.79,10.58,11.17,316066,USD
2016-02-29,11.45,12.73,10.61,12.7,347893,USD
2016-03-01,12.61,13.81,12.23,13.81,241270,USD
2016-03-02,13.7,14.69,13.7,13.98,454184,USD
2016-03-03,14.17,14.4,13.26,13.65,328821,USD
2016-03-06,13.72,14.36,13.63,14.12,405134,USD
2016-03-07,14.01,14.57,11.96,12.01,297607,USD
2016-03-08,12.23,12.65,11.75,12.15,170092,USD
2016-03-09,12.14,12.15,11.35,11.62,244412,USD
