Date,Open,High,Low,Close,Currency,Exchange
2018-01-16,118.33,118.33,118.2,118.25,USD,NYSE
2018-01-17,118.53,118.99,118.3,118.3,USD,NYSE
2018-01-18,118.75,118.75,118.64,118.64,USD,NYSE
2018-01-19,118.17,118.25,118.16,118.16,USD,NYSE
2018-01-24,119.82,119.91,119.77,119.91,USD,NYSE
2018-01-25,120.98,121.15,120.95,120.96,USD,NYSE
2018-01-26,120.66,121.01,120.59,121.01,USD,NYSE
2018-01-29,120.44,120.44,120.36,120.36,USD,NYSE
2018-01-30,120.64,120.66,120.64,120.66,USD,NYSE
2018-01-31,121.26,121.26,120.5,120.5,USD,NYSE
2018-02-01,120.76,121.32,120.69,121.32,USD,NYSE
2018-02-02,120.46,120.55,120.19,120.3,USD,NYSE
2018-02-05,120.0,120.01,119.49,119.49,USD,NYSE
2018-02-06,119.0,119.61,118.88,119.61,USD,NYSE
2018-02-07,118.3,118.31,118.3,118.3,USD,NYSE
2018-02-08,117.33,117.33,117.33,117.33,USD,NYSE
2018-02-09,117.0,117.0,116.86,116.86,USD,NYSE
2018-02-12,117.59,117.59,117.59,117.59,USD,NYSE
2018-02-14,119.13,119.13,119.13,119.13,USD,NYSE
2018-02-15,119.24,119.65,119.24,119.65,USD,NYSE
2018-02-16,119.18,119.34,119.18,119.27,USD,NYSE
2018-02-20,117.55,117.55,117.55,117.55,USD,NYSE
2018-02-21,117.42,117.42,117.42,117.42,USD,NYSE
2018-02-23,116.2,116.2,116.2,116.2,USD,NYSE
2018-02-27,115.7,115.76,115.7,115.76,USD,NYSE
2018-03-01,114.68,114.68,114.29,114.29,USD,NYSE
2018-03-02,115.21,115.54,114.78,115.12,USD,NYSE
2018-03-06,115.52,115.52,115.52,115.52,USD,NYSE
2018-03-07,115.32,115.32,115.02,115.25,USD,NYSE
2018-03-08,115.1,115.1,114.79,114.79,USD,NYSE
2018-03-09,115.05,115.24,115.05,115.24,USD,NYSE
2018-03-13,115.54,115.54,115.51,115.51,USD,NYSE
2018-03-14,116.18,116.18,116.18,116.18,USD,NYSE
2018-03-20,115.72,115.72,115.66,115.66,USD,NYSE
2018-03-21,115.32,115.9,115.11,115.85,USD,NYSE
2018-03-22,114.98,114.98,114.88,114.88,USD,NYSE
2018-03-23,115.05,115.05,115.05,115.05,USD,NYSE
2018-03-26,115.68,115.97,115.64,115.97,USD,NYSE
2018-03-27,115.08,115.1,115.08,115.1,USD,NYSE
2018-03-28,114.0,114.0,113.35,113.41,USD,NYSE
2018-03-29,113.1,113.39,113.1,113.39,USD,NYSE
2018-04-02,112.94,112.94,112.94,112.94,USD,NYSE
2018-04-03,113.18,113.19,113.11,113.11,USD,NYSE
2018-04-04,112.8,112.9,112.8,112.9,USD,NYSE
2018-04-05,112.61,112.61,112.51,112.51,USD,NYSE
2018-04-09,113.39,113.45,113.36,113.4,USD,NYSE
2018-04-10,114.12,114.12,113.85,113.99,USD,NYSE
2018-04-11,113.97,113.97,113.77,113.77,USD,NYSE
2018-04-12,112.35,112.35,112.1,112.35,USD,NYSE
2018-04-16,112.46,112.46,112.46,112.46,USD,NYSE
2018-04-18,112.74,112.74,112.74,112.74,USD,NYSE
2018-04-19,112.93,112.93,112.93,112.93,USD,NYSE
2018-04-23,111.19,111.19,111.16,111.19,USD,NYSE
2018-04-24,111.25,111.52,111.25,111.36,USD,NYSE
2018-04-25,110.72,110.72,110.72,110.72,USD,NYSE
2018-04-26,109.77,109.77,109.02,109.27,USD,NYSE
2018-04-27,108.73,109.27,108.73,109.27,USD,NYSE
2018-04-30,108.66,108.66,108.11,108.16,USD,NYSE
2018-05-01,107.0,107.11,107.0,107.1,USD,NYSE
2018-05-02,106.88,106.88,106.17,106.24,USD,NYSE
