Date,Open,High,Low,Close,Currency,Exchange
2018-01-16,52.66,52.79,52.58,52.72,USD,NYSE
2018-01-17,52.77,52.8,52.71,52.72,USD,NYSE
2018-01-18,52.7,52.73,52.6,52.65,USD,NYSE
2018-01-19,52.55,52.71,52.53,52.56,USD,NYSE
2018-01-22,52.55,52.68,52.54,52.58,USD,NYSE
2018-01-23,52.66,52.82,52.66,52.77,USD,NYSE
2018-01-24,52.7,52.73,52.6,52.69,USD,NYSE
2018-01-25,52.73,52.83,52.59,52.81,USD,NYSE
2018-01-26,52.75,52.8,52.62,52.62,USD,NYSE
2018-01-29,52.58,52.74,52.58,52.69,USD,NYSE
2018-01-30,52.78,52.78,52.55,52.67,USD,NYSE
2018-01-31,52.73,52.73,52.5,52.65,USD,NYSE
2018-02-01,52.58,52.7,52.54,52.64,USD,NYSE
2018-02-02,52.35,52.45,52.22,52.41,USD,NYSE
2018-02-05,52.31,52.69,52.17,52.58,USD,NYSE
2018-02-06,52.45,52.45,52.16,52.16,USD,NYSE
2018-02-07,52.32,52.36,52.1,52.17,USD,NYSE
2018-02-08,52.0,52.26,52.0,52.12,USD,NYSE
2018-02-09,52.01,52.21,52.01,52.17,USD,NYSE
2018-02-12,53.54,53.54,50.85,52.19,USD,NYSE
2018-02-13,52.19,52.29,52.13,52.24,USD,NYSE
2018-02-14,52.12,52.12,51.94,52.01,USD,NYSE
2018-02-15,52.17,52.24,52.1,52.1,USD,NYSE
2018-02-16,52.2,52.29,52.18,52.26,USD,NYSE
2018-02-20,52.16,52.16,52.06,52.13,USD,NYSE
2018-02-21,52.22,52.22,51.96,51.96,USD,NYSE
2018-02-22,52.08,52.15,52.08,52.13,USD,NYSE
2018-02-23,52.18,52.2,52.13,52.13,USD,NYSE
2018-02-26,52.29,52.29,52.16,52.16,USD,NYSE
2018-02-27,52.26,52.27,52.05,52.06,USD,NYSE
2018-02-28,52.1,52.25,52.1,52.24,USD,NYSE
2018-03-01,52.22,52.34,52.16,52.33,USD,NYSE
2018-03-02,52.13,52.15,51.99,52.09,USD,NYSE
2018-03-05,52.23,52.23,51.97,52.01,USD,NYSE
2018-03-06,52.07,52.19,52.02,52.03,USD,NYSE
2018-03-07,52.09,52.18,52.08,52.12,USD,NYSE
2018-03-08,52.22,52.23,52.11,52.21,USD,NYSE
2018-03-09,52.07,52.11,51.96,51.98,USD,NYSE
2018-03-12,52.18,52.2,52.05,52.12,USD,NYSE
2018-03-13,52.14,52.18,52.13,52.16,USD,NYSE
2018-03-14,52.15,52.25,52.03,52.22,USD,NYSE
