Date,Open,High,Low,Close,Volume,Currency
2016-01-03,7.41,7.54,7.07,7.12,163605,USD
2016-01-04,7.16,7.64,6.92,7.13,430525,USD
2016-01-05,7.04,7.17,7.02,7.06,122924,USD
2016-01-06,6.92,7.14,6.88,6.93,174730,USD
2016-01-07,6.93,7.0,6.77,6.81,133835,USD
2016-01-10,6.77,7.13,6.77,6.98,306835,USD
2016-01-11,6.98,7.1,6.87,7.0,188452,USD
2016-01-12,7.02,7.12,6.74,6.83,195860,USD
2016-01-13,6.81,6.95,6.75,6.85,208605,USD
2016-01-14,6.66,6.87,6.65,6.83,182737,USD
2016-01-18,6.9,6.92,6.4,6.59,314795,USD
2016-01-19,6.52,6.79,6.44,6.72,328284,USD
2016-01-20,6.74,6.89,6.6,6.67,150114,USD
2016-01-21,6.73,6.86,6.25,6.71,119421,USD
2016-01-24,6.69,6.7,6.52,6.57,232097,USD
2016-01-25,6.64,6.85,6.59,6.84,192852,USD
2016-01-26,6.8,6.96,6.06,6.74,72959,USD
2016-01-27,6.8,6.93,6.33,6.8,172471,USD
2016-01-28,6.8,7.06,6.55,7.06,164182,USD
2016-01-31,6.97,7.12,6.43,6.98,118299,USD
2016-02-01,6.92,7.13,6.85,6.99,345420,USD
2016-02-02,7.05,7.08,6.81,6.82,122084,USD
2016-02-03,6.8,6.92,6.74,6.85,58673,USD
2016-02-04,6.81,6.82,6.55,6.63,146086,USD
2016-02-07,6.55,6.84,6.5,6.82,106288,USD
2016-02-08,6.73,6.94,6.65,6.68,92610,USD
2016-02-09,6.73,6.81,6.53,6.53,74101,USD
2016-02-10,6.45,6.73,6.31,6.42,69877,USD
2016-02-11,6.47,6.53,6.4,6.47,96015,USD
2016-02-15,6.54,6.65,6.47,6.59,123555,USD
2016-02-16,6.6,6.8,6.5,6.54,219374,USD
2016-02-17,6.52,6.68,6.39,6.53,229424,USD
2016-02-18,6.95,7.36,6.78,7.01,334405,USD
2016-02-21,7.01,7.1,7.01,7.08,273156,USD
2016-02-22,7.05,7.21,6.84,7.18,226426,USD
2016-02-23,7.11,7.29,6.99,6.99,267321,USD
2016-02-24,6.99,7.12,6.95,6.96,194831,USD
2016-02-25,6.98,7.07,6.67,6.97,170603,USD
2016-02-26,6.98,6.98,6.98,6.98,0,USD
2016-02-28,6.9,6.9,6.86,6.88,226595,USD
2016-02-29,6.9,6.9,6.83,6.89,242475,USD
2016-03-01,6.87,6.91,6.79,6.88,142426,USD
2016-03-02,6.83,6.83,6.58,6.61,524816,USD
2016-03-03,6.64,7.02,6.57,7.0,666048,USD
2016-03-06,7.0,7.41,6.98,7.39,245130,USD
2016-03-07,7.35,7.47,7.2,7.27,262036,USD
2016-03-08,7.27,7.43,7.25,7.37,205632,USD
2016-03-09,7.38,7.52,7.24,7.38,226953,USD
2016-03-10,7.43,7.51,7.25,7.5,162761,USD
2016-03-13,7.5,7.5,7.33,7.35,146157,USD
2016-03-14,7.3,7.39,6.84,7.3,121712,USD
2016-03-15,7.28,7.54,7.21,7.45,122966,USD
2016-03-16,7.43,7.61,7.39,7.56,146042,USD
2016-03-17,7.6,7.72,7.52,7.61,244772,USD
2016-03-20,7.6,7.82,7.48,7.59,201438,USD
2016-03-21,7.58,7.65,7.38,7.41,138838,USD
2016-03-22,7.42,7.47,7.23,7.35,149466,USD
2016-03-23,7.34,7.59,7.28,7.53,250835,USD
2016-03-27,7.54,7.6,7.25,7.4,122695,USD
2016-03-28,7.39,7.86,7.3,7.69,217162,USD
2016-03-29,7.69,7.85,7.59,7.81,165127,USD
2016-03-30,7.82,8.02,7.78,7.95,198905,USD
2016-03-31,7.88,8.04,7.73,8.02,167526,USD
2016-04-03,8.06,8.17,8.0,8.08,291856,USD
2016-04-04,8.08,8.14,7.94,8.0,235293,USD
2016-04-05,7.99,8.14,7.74,8.08,91970,USD
2016-04-06,8.01,8.11,7.96,8.01,176848,USD
2016-04-07,8.05,8.05,7.83,8.0,93382,USD
2016-04-10,8.02,8.4,7.9,7.93,116671,USD
2016-04-11,7.93,8.11,7.85,8.03,65933,USD
2016-04-12,8.05,8.17,7.91,8.17,106376,USD
2016-04-13,8.15,8.28,8.11,8.19,81611,USD
2016-04-14,8.14,8.28,8.09,8.18,70162,USD
2016-04-17,8.12,8.33,8.1,8.28,107111,USD
2016-04-18,8.27,8.38,8.27,8.32,60991,USD
2016-04-19,8.29,8.4,8.2,8.25,82426,USD
2016-04-20,8.27,8.38,8.26,8.34,163099,USD
2016-04-21,8.31,8.46,8.25,8.27,75861,USD
2016-04-24,8.23,8.32,8.16,8.28,103933,USD
2016-04-25,8.26,8.48,8.12,8.4,105770,USD
2016-04-26,8.39,8.62,8.33,8.49,96597,USD
2016-04-27,8.5,8.63,8.25,8.26,78341,USD
2016-04-28,8.21,8.4,8.07,8.17,73185,USD
2016-05-01,8.22,8.31,8.11,8.25,98469,USD
2016-05-02,8.16,8.29,7.98,8.12,58602,USD
2016-05-03,8.07,8.26,8.05,8.19,64738,USD
2016-05-04,8.24,8.45,7.89,7.95,142286,USD
2016-05-05,7.89,8.06,7.89,8.03,41538,USD
2016-05-08,8.0,8.14,7.99,8.08,67434,USD
2016-05-09,8.58,8.58,8.21,8.57,214960,USD
2016-05-10,8.55,8.67,8.36,8.37,114170,USD
2016-05-11,8.39,8.44,8.11,8.11,74241,USD
2016-05-12,8.11,8.29,8.04,8.08,94238,USD
2016-05-15,8.08,8.25,7.92,8.15,94833,USD
2016-05-16,8.12,8.12,7.9,7.96,154856,USD
