Date,Open,High,Low,Close,Volume,Currency
2018-01-15,16.36,16.37,16.02,16.13,948162,USD
2018-01-16,16.75,16.9,16.69,16.82,881811,USD
2018-01-17,16.65,16.75,16.59,16.69,491043,USD
2018-01-18,16.53,16.6,16.43,16.57,425655,USD
2018-01-21,16.57,16.62,16.54,16.61,314905,USD
2018-01-22,16.83,16.84,16.76,16.8,644619,USD
2018-01-23,17.21,17.32,17.08,17.21,789447,USD
2018-01-24,16.82,16.91,16.68,16.78,578273,USD
2018-01-25,17.0,17.08,16.94,17.08,603598,USD
2018-01-28,16.53,16.54,16.37,16.39,1118522,USD
2018-01-29,16.4,16.51,16.35,16.38,712185,USD
2018-01-30,16.94,16.95,16.68,16.76,811150,USD
2018-01-31,16.62,16.73,16.59,16.65,620436,USD
2018-02-01,16.75,16.87,16.57,16.62,963112,USD
2018-02-04,16.65,16.79,15.93,16.06,1919411,USD
2018-02-05,15.68,16.46,15.66,16.3,1896523,USD
2018-02-06,15.71,15.84,15.51,15.51,1500477,USD
2018-02-07,15.46,15.46,14.89,14.89,1783896,USD
2018-02-08,14.75,14.94,14.34,14.86,1677949,USD
2018-02-11,14.87,14.95,14.62,14.82,838291,USD
2018-02-12,14.47,14.63,14.45,14.6,686384,USD
2018-02-13,14.48,14.93,14.41,14.89,1007113,USD
2018-02-14,15.05,15.09,14.74,14.92,784129,USD
2018-02-15,14.9,15.12,14.89,14.96,819923,USD
2018-02-19,14.78,14.85,14.71,14.74,543977,USD
2018-02-20,15.12,15.28,15.02,15.03,949920,USD
2018-02-21,15.08,15.2,15.01,15.04,613144,USD
2018-02-22,15.12,15.25,15.08,15.25,412504,USD
2018-02-25,15.26,15.29,15.14,15.29,346985,USD
2018-02-26,15.2,15.2,14.87,14.87,553281,USD
2018-02-27,14.95,14.95,14.65,14.66,411510,USD
2018-02-28,14.75,14.86,14.53,14.65,1265856,USD
2018-03-01,14.5,14.62,14.39,14.6,650896,USD
2018-03-04,14.51,14.71,14.45,14.68,575027,USD
2018-03-05,14.87,14.88,14.7,14.75,517382,USD
2018-03-06,14.57,14.63,14.46,14.59,541259,USD
2018-03-07,14.69,14.73,14.57,14.67,440675,USD
2018-03-08,14.83,14.98,14.8,14.98,684978,USD
2018-03-11,15.01,15.01,14.79,14.84,393638,USD
2018-03-12,14.9,15.0,14.7,14.72,646071,USD
2018-03-13,14.81,14.81,14.62,14.7,507791,USD
2018-03-14,14.79,14.84,14.7,14.75,609522,USD
2018-03-15,14.65,14.74,14.6,14.72,793150,USD
2018-03-18,14.65,14.7,14.47,14.55,361431,USD
2018-03-19,14.62,14.78,14.62,14.69,451701,USD
2018-03-20,14.4,14.53,14.32,14.42,443394,USD
2018-03-21,14.12,14.19,13.97,13.99,729288,USD
2018-03-22,14.01,14.12,13.84,13.85,848117,USD
2018-03-25,14.08,14.15,13.87,14.15,779104,USD
2018-03-26,14.13,14.13,13.78,13.83,702137,USD
2018-03-27,13.83,13.97,13.76,13.92,530200,USD
2018-03-28,13.87,14.06,13.8,13.99,564381,USD
2018-04-01,13.92,13.94,13.55,13.71,755974,USD
2018-04-02,13.83,13.88,13.72,13.83,660999,USD
2018-04-03,13.59,14.0,13.59,13.93,862996,USD
2018-04-04,13.99,14.04,13.8,13.8,664258,USD
2018-04-05,13.66,13.78,13.48,13.55,518455,USD
2018-04-08,13.73,13.82,13.64,13.7,677908,USD
2018-04-09,13.93,14.02,13.88,13.98,500549,USD
2018-04-10,13.91,14.09,13.91,13.99,386079,USD
2018-04-11,14.04,14.06,13.97,14.04,281113,USD
2018-04-12,13.99,14.05,13.75,13.78,556995,USD
2018-04-15,13.75,13.79,13.67,13.77,493798,USD
2018-04-16,13.88,13.94,13.83,13.92,930424,USD
2018-04-17,13.81,13.93,13.79,13.84,390349,USD
2018-04-18,13.9,13.93,13.78,13.84,559470,USD
2018-04-19,14.17,14.17,13.93,14.0,481829,USD
2018-04-22,13.84,13.88,13.78,13.82,408757,USD
2018-04-23,13.93,14.01,13.76,13.85,636934,USD
