Date,Open,High,Low,Close,Currency,Exchange
2018-01-16,26.94,26.94,26.75,26.75,USD,NYSE
2018-01-17,26.99,26.99,26.98,26.98,USD,NYSE
2018-01-18,27.01,27.01,26.95,26.95,USD,NYSE
2018-01-19,27.12,27.16,27.12,27.16,USD,NYSE
2018-01-22,27.26,27.26,27.26,27.26,USD,NYSE
2018-01-23,27.32,27.36,27.32,27.34,USD,NYSE
2018-01-24,27.38,27.38,27.38,27.38,USD,NYSE
2018-01-25,27.31,27.31,27.31,27.31,USD,NYSE
2018-01-26,27.41,27.47,27.41,27.47,USD,NYSE
2018-01-29,27.32,27.33,27.29,27.29,USD,NYSE
2018-01-30,27.0,27.0,27.0,27.0,USD,NYSE
2018-01-31,27.04,27.04,27.03,27.03,USD,NYSE
2018-02-01,26.94,27.04,26.94,26.94,USD,NYSE
2018-02-02,26.72,26.72,26.44,26.44,USD,NYSE
2018-02-05,26.45,26.45,25.53,25.53,USD,NYSE
2018-02-06,25.87,25.87,25.8,25.8,USD,NYSE
2018-02-07,25.8,25.8,25.8,25.8,USD,NYSE
2018-02-08,25.2,25.33,25.2,25.32,USD,NYSE
2018-02-09,24.85,24.86,24.74,24.83,USD,NYSE
2018-02-12,25.36,25.36,25.36,25.36,USD,NYSE
2018-02-13,25.36,25.36,25.36,25.36,USD,NYSE
2018-02-14,25.36,25.36,25.36,25.36,USD,NYSE
2018-02-15,26.03,26.03,26.03,26.03,USD,NYSE
2018-02-16,26.03,26.03,26.03,26.03,USD,NYSE
2018-02-20,26.03,26.03,26.03,26.03,USD,NYSE
2018-02-21,26.29,26.29,26.25,26.25,USD,NYSE
2018-02-22,26.25,26.25,26.25,26.25,USD,NYSE
2018-02-23,26.25,26.25,26.25,26.25,USD,NYSE
2018-02-26,26.25,26.25,26.25,26.25,USD,NYSE
2018-02-27,26.45,26.49,26.4,26.4,USD,NYSE
2018-02-28,26.18,26.18,26.16,26.16,USD,NYSE
2018-03-01,26.16,26.16,26.16,26.16,USD,NYSE
2018-03-02,25.7,25.7,25.69,25.69,USD,NYSE
2018-03-05,25.83,26.06,25.83,26.06,USD,NYSE
2018-03-06,26.06,26.06,26.06,26.06,USD,NYSE
2018-03-07,26.32,26.32,26.32,26.32,USD,NYSE
2018-03-08,26.32,26.32,26.32,26.32,USD,NYSE
2018-03-09,26.74,26.76,26.74,26.76,USD,NYSE
2018-03-12,26.88,26.88,26.87,26.87,USD,NYSE
2018-03-13,26.87,26.87,26.87,26.87,USD,NYSE
2018-03-14,26.87,26.87,26.87,26.87,USD,NYSE
2018-03-15,26.87,26.87,26.87,26.87,USD,NYSE
2018-03-16,26.81,26.81,26.81,26.81,USD,NYSE
2018-03-19,26.39,26.39,26.39,26.39,USD,NYSE
2018-03-20,26.39,26.39,26.39,26.39,USD,NYSE
2018-03-21,26.39,26.39,26.39,26.39,USD,NYSE
2018-03-22,26.27,26.27,26.27,26.27,USD,NYSE
2018-03-23,26.27,26.27,26.27,26.27,USD,NYSE
2018-03-26,25.67,25.78,25.67,25.71,USD,NYSE
2018-03-27,25.71,25.71,25.71,25.71,USD,NYSE
2018-03-28,25.71,25.71,25.71,25.71,USD,NYSE
2018-03-29,25.71,25.71,25.71,25.71,USD,NYSE
2018-04-02,25.72,25.72,25.2,25.21,USD,NYSE
2018-04-03,25.63,25.63,25.63,25.63,USD,NYSE
2018-04-04,25.8,25.9,25.8,25.89,USD,NYSE
2018-04-05,26.12,26.12,26.11,26.11,USD,NYSE
2018-04-06,25.88,25.93,25.83,25.83,USD,NYSE
2018-04-09,25.73,25.88,25.73,25.73,USD,NYSE
2018-04-10,25.93,25.93,25.84,25.9,USD,NYSE
2018-04-11,25.76,25.88,25.76,25.77,USD,NYSE
2018-04-12,25.96,25.97,25.96,25.97,USD,NYSE
2018-04-13,25.89,25.89,25.82,25.82,USD,NYSE
2018-04-16,25.82,25.82,25.82,25.82,USD,NYSE
2018-04-17,25.82,25.82,25.82,25.82,USD,NYSE
2018-04-18,26.44,26.44,26.39,26.41,USD,NYSE
2018-04-19,26.12,26.12,26.02,26.02,USD,NYSE
2018-04-20,26.17,26.17,25.93,25.95,USD,NYSE
2018-04-23,25.94,25.94,25.94,25.94,USD,NYSE
2018-04-24,25.89,25.9,25.47,25.47,USD,NYSE
2018-04-25,25.46,25.6,25.46,25.6,USD,NYSE
2018-04-26,25.87,25.9,25.86,25.86,USD,NYSE
2018-04-27,25.95,25.95,25.91,25.91,USD,NYSE
2018-04-30,25.92,25.92,25.78,25.78,USD,NYSE
2018-05-01,25.5,25.6,25.5,25.6,USD,NYSE
2018-05-02,25.63,25.63,25.54,25.55,USD,NYSE
2018-05-03,25.37,25.37,25.23,25.23,USD,NYSE
2018-05-04,25.7,25.83,25.7,25.83,USD,NYSE
2018-05-07,25.88,25.88,25.8,25.81,USD,NYSE
2018-05-08,25.75,25.8,25.75,25.77,USD,NYSE
2018-05-09,26.01,26.01,25.98,25.98,USD,NYSE
2018-05-10,26.23,26.23,26.23,26.23,USD,NYSE
2018-05-11,26.34,26.34,26.34,26.34,USD,NYSE
2018-05-14,26.46,26.46,26.36,26.39,USD,NYSE
2018-05-15,26.19,26.19,26.15,26.19,USD,NYSE
2018-05-16,26.29,26.29,26.29,26.29,USD,NYSE
2018-05-17,26.24,26.24,26.24,26.24,USD,NYSE
2018-05-18,26.28,26.28,26.28,26.28,USD,NYSE
2018-05-21,26.5,26.5,26.5,26.5,USD,NYSE
2018-05-22,26.4,26.4,26.4,26.4,USD,NYSE
2018-05-23,26.24,26.24,26.24,26.24,USD,NYSE
