Date,Open,High,Low,Close,Volume,Currency
2018-01-16,3.74,3.78,3.54,3.54,4321266,USD
2018-01-17,3.55,3.65,3.47,3.59,2743845,USD
2018-01-18,3.61,3.67,3.51,3.6,3687994,USD
2018-01-19,3.57,3.78,3.52,3.75,4258200,USD
2018-01-22,3.78,3.88,3.71,3.79,3948354,USD
2018-01-23,3.81,3.89,3.715,3.8,3182996,USD
2018-01-24,3.84,3.89,3.7,3.79,2851977,USD
2018-01-25,3.82,3.885,3.74,3.74,2322890,USD
2018-01-26,3.77,3.93,3.71,3.82,1788033,USD
2018-01-29,3.8,3.86,3.67,3.75,2637473,USD
2018-01-30,3.7,3.71,3.565,3.61,2628533,USD
2018-01-31,3.62,3.69,3.53,3.63,4009320,USD
2018-02-01,3.64,3.83,3.61,3.7,3232828,USD
2018-02-02,3.6,3.725,3.53,3.57,3906849,USD
2018-02-05,3.47,3.605,3.35,3.44,5927633,USD
2018-02-06,3.34,3.626,3.34,3.59,5073341,USD
2018-02-07,3.59,3.75,3.39,3.48,3974946,USD
2018-02-08,3.52,3.6,3.4,3.41,7422224,USD
2018-02-09,3.44,3.48,3.1,3.28,6270615,USD
2018-02-12,3.36,3.4,3.24,3.3,3678437,USD
2018-02-13,3.27,3.28,3.13,3.26,3427304,USD
2018-02-14,3.15,3.46,3.11,3.42,3817551,USD
2018-02-15,3.36,3.46,3.2,3.37,3529007,USD
2018-02-16,3.32,3.49,3.3,3.41,2481568,USD
2018-02-20,3.41,3.55,3.35,3.49,2733619,USD
2018-02-21,3.49,3.515,3.36,3.41,2483336,USD
2018-02-22,3.44,3.51,3.38,3.42,2636831,USD
2018-02-23,3.42,3.5,3.38,3.46,1979819,USD
2018-02-26,3.49,3.5,3.375,3.48,2026899,USD
2018-02-27,3.48,3.585,3.35,3.37,2782477,USD
2018-02-28,3.37,3.4,3.115,3.15,2824109,USD
2018-03-01,3.14,3.16,3.01,3.1,3950293,USD
2018-03-02,3.04,3.08,2.93,3.08,2463899,USD
2018-03-05,3.07,3.25,3.05,3.22,2067348,USD
2018-03-06,3.24,3.3,3.06,3.09,2898486,USD
2018-03-07,3.06,3.12,2.92,2.97,2293962,USD
2018-03-08,2.99,2.99,2.82,2.86,4143673,USD
2018-03-09,2.91,2.94,2.854,2.87,1923373,USD
2018-03-12,2.87,2.94,2.832,2.94,1748755,USD
2018-03-13,2.93,2.985,2.87,2.9,1893694,USD
2018-03-14,2.95,2.95,2.84,2.89,2058187,USD
2018-03-15,2.9,2.91,2.785,2.8,2162082,USD
2018-03-16,2.81,2.85,2.74,2.84,2356195,USD
2018-03-19,2.8,2.83,2.7,2.72,1441255,USD
2018-03-20,2.73,2.789,2.65,2.71,2018925,USD
2018-03-21,2.74,3.03,2.73,2.98,3123837,USD
2018-03-22,2.92,2.97,2.86,2.86,1957714,USD
2018-03-23,2.91,2.975,2.85,2.88,1868931,USD
2018-03-26,2.9,2.9,2.77,2.84,1192585,USD
2018-03-27,2.85,2.87,2.74,2.75,1420618,USD
2018-03-28,2.77,2.77,2.66,2.66,1102342,USD
2018-03-29,2.67,2.8,2.67,2.77,1110463,USD
2018-04-02,2.77,2.775,2.6,2.65,1278502,USD
2018-04-03,2.7,2.73,2.615,2.72,969272,USD
2018-04-04,2.65,2.746,2.625,2.69,1555734,USD
2018-04-05,2.71,2.92,2.7,2.82,2986721,USD
2018-04-06,2.79,2.87,2.73,2.79,1615799,USD
2018-04-09,2.8,2.925,2.74,2.74,2686637,USD
2018-04-10,2.8,3.025,2.8,2.97,2216510,USD
2018-04-11,3.0,3.13,2.97,3.08,1832462,USD
2018-04-12,3.08,3.177,3.0,3.11,1668070,USD
2018-04-13,3.11,3.21,3.08,3.09,1108776,USD
2018-04-16,3.1,3.15,3.01,3.04,1588193,USD
2018-04-17,3.02,3.14,3.0,3.12,1084438,USD
2018-04-18,3.2,3.31,3.15,3.27,1602641,USD
2018-04-19,3.29,3.41,3.23,3.26,2050319,USD
2018-04-20,3.21,3.26,3.163,3.2,1272404,USD
2018-04-23,3.15,3.305,3.11,3.19,1628860,USD
2018-04-24,3.22,3.29,3.09,3.16,1905053,USD
2018-04-25,3.13,3.27,3.08,3.23,2443619,USD
2018-04-26,3.28,3.465,3.26,3.37,2090146,USD
2018-04-27,3.36,3.55,3.36,3.46,2294406,USD
2018-04-30,3.46,3.62,3.44,3.56,2206889,USD
2018-05-01,3.54,3.555,3.38,3.38,1698622,USD
2018-05-02,3.39,3.59,3.39,3.53,2123155,USD
2018-05-03,3.49,3.53,3.4,3.46,1518942,USD
2018-05-04,3.44,3.55,3.41,3.48,1594173,USD
2018-05-07,3.55,3.69,3.51,3.51,2028791,USD
2018-05-08,3.51,3.59,3.4,3.54,2833113,USD
2018-05-09,3.64,3.695,3.595,3.61,1863215,USD
2018-05-10,3.62,3.72,3.59,3.68,1622263,USD
2018-05-11,3.68,3.7,3.62,3.65,1199673,USD
2018-05-14,3.7,3.79,3.67,3.75,1787190,USD
2018-05-15,3.76,3.9,3.73,3.88,1490947,USD
2018-05-16,3.89,3.995,3.84,3.91,2257981,USD
2018-05-17,3.96,4.1,3.93,4.03,2086046,USD
2018-05-18,4.13,4.14,4.05,4.05,2201439,USD
2018-05-21,4.1,4.13,4.05,4.06,838292,USD
2018-05-22,4.05,4.12,3.93,3.94,1973084,USD
2018-05-23,3.89,4.02,3.73,3.82,1974720,USD
2018-05-24,3.7,3.83,3.641,3.79,2152676,USD
2018-05-25,3.64,3.65,3.49,3.56,1919233,USD
2018-05-29,3.5,3.54,3.46,3.51,1318554,USD
2018-05-30,3.56,3.63,3.52,3.6,1455120,USD
2018-05-31,3.55,3.625,3.455,3.47,1727882,USD
2018-06-01,3.49,3.518,3.37,3.41,1155028,USD
2018-06-04,3.43,3.44,3.22,3.27,1439809,USD
2018-06-05,3.24,3.338,3.24,3.29,764836,USD
2018-06-06,3.3,3.36,3.26,3.33,961561,USD
2018-06-07,3.34,3.47,3.34,3.46,1451157,USD
2018-06-08,3.45,3.455,3.32,3.35,1414986,USD
2018-06-11,3.3,3.33,3.27,3.3,778858,USD
2018-06-12,3.31,3.37,3.28,3.33,1126868,USD
2018-06-13,3.32,3.535,3.32,3.47,2143027,USD
2018-06-14,3.48,3.51,3.4,3.43,1487176,USD
2018-06-15,3.42,3.42,3.16,3.16,2150791,USD
2018-06-18,3.15,3.27,3.15,3.2,1440474,USD
2018-06-19,3.14,3.16,3.065,3.15,940996,USD
2018-06-20,3.17,3.23,3.16,3.22,1203826,USD
2018-06-21,3.17,3.17,3.03,3.05,2320815,USD
2018-06-22,3.16,3.29,3.15,3.27,1960054,USD
2018-06-25,3.24,3.27,3.16,3.2,1536527,USD
2018-06-26,3.26,3.32,3.145,3.29,2190118,USD
2018-06-27,3.36,3.46,3.33,3.33,1758373,USD
2018-06-28,3.35,3.35,3.23,3.29,1299797,USD
2018-06-29,3.32,3.37,3.3,3.32,1065780,USD
2018-07-02,3.27,3.28,3.18,3.21,764740,USD
2018-07-03,3.31,3.41,3.28,3.33,841383,USD
2018-07-05,3.33,3.35,3.28,3.28,659206,USD
2018-07-06,3.28,3.41,3.24,3.39,822639,USD
2018-07-09,3.45,3.68,3.44,3.61,2399029,USD
2018-07-10,3.72,3.83,3.65,3.72,2814034,USD
2018-07-11,3.65,3.775,3.535,3.58,2107485,USD
2018-07-12,3.76,3.79,3.62,3.7,2139386,USD
2018-07-13,3.75,3.86,3.65,3.65,1674180,USD
2018-07-16,3.58,3.63,3.525,3.62,1220468,USD
2018-07-17,3.59,3.65,3.553,3.62,735311,USD
2018-07-18,3.59,3.69,3.59,3.64,2187724,USD
2018-07-19,3.58,3.71,3.58,3.66,1917529,USD
2018-07-20,3.69,3.73,3.62,3.65,1239323,USD
2018-07-23,3.64,3.65,3.45,3.47,1942313,USD
2018-07-24,3.48,3.53,3.42,3.43,1164481,USD
2018-07-25,3.43,3.46,3.38,3.46,1501724,USD
2018-07-26,3.34,3.585,3.31,3.56,3206363,USD
