Date,Open,High,Low,Close,Volume,Currency
2018-01-16,22.3,22.45,22.07,22.13,1039912,USD
2018-01-17,22.11,22.35,21.89,22.26,828894,USD
2018-01-18,22.45,23.18,22.45,22.89,1478749,USD
2018-01-19,22.77,23.2,22.77,23.19,1438150,USD
2018-01-22,23.06,23.18,22.91,23.17,1011506,USD
2018-01-23,23.1,23.47,23.08,23.31,898939,USD
2018-01-24,23.42,23.49,22.9,22.9,859661,USD
2018-01-25,23.1,23.1,22.5,22.67,525248,USD
2018-01-26,22.75,22.83,22.38,22.55,1048718,USD
2018-01-29,22.46,22.46,22.18,22.33,873265,USD
2018-01-30,22.21,22.45,22.15,22.34,855925,USD
2018-01-31,22.5,22.54,21.92,22.07,1013247,USD
2018-02-01,21.99,22.87,21.5,22.81,1241090,USD
2018-02-02,22.87,23.03,22.31,22.44,1050790,USD
2018-02-05,22.12,22.44,21.31,21.69,2418928,USD
2018-02-06,21.22,21.87,20.93,21.62,1750774,USD
2018-02-07,21.65,22.08,21.4,21.8,1359087,USD
2018-02-08,21.8,21.9,20.71,20.72,1072786,USD
2018-02-09,20.99,21.06,20.22,20.71,1891454,USD
2018-02-12,20.78,21.02,20.6,20.95,1545217,USD
2018-02-13,20.87,21.09,20.69,21.05,704349,USD
2018-02-14,20.81,21.59,20.76,21.51,2055605,USD
2018-02-15,21.59,21.59,20.84,21.28,2605167,USD
2018-02-16,21.15,21.51,21.12,21.41,837884,USD
2018-02-20,21.31,21.49,21.03,21.19,858411,USD
2018-02-21,21.26,21.78,21.16,21.43,1667031,USD
2018-02-22,21.53,21.7,21.04,21.06,756425,USD
2018-02-23,21.08,21.35,21.04,21.33,695152,USD
2018-02-26,21.44,21.53,21.06,21.26,1920443,USD
2018-02-27,21.24,21.56,20.88,20.9,1014151,USD
2018-02-28,20.91,21.11,20.51,20.52,856485,USD
2018-03-01,20.46,20.6,20.2,20.48,767216,USD
2018-03-02,20.35,20.71,20.09,20.68,874333,USD
2018-03-05,20.6,20.91,20.37,20.8,727498,USD
2018-03-06,20.82,21.18,20.69,21.17,1491970,USD
2018-03-07,21.0,21.9,20.91,21.78,1824958,USD
2018-03-08,21.76,21.84,21.42,21.57,940288,USD
2018-03-09,21.75,22.29,21.63,22.21,1092272,USD
2018-03-12,22.13,22.13,19.45,19.94,6244522,USD
2018-03-13,20.14,20.59,19.84,19.99,2660447,USD
2018-03-14,20.04,20.06,18.54,18.91,4770495,USD
2018-03-15,18.89,19.04,18.33,18.51,3212197,USD
2018-03-16,18.59,18.85,18.2,18.35,3187272,USD
2018-03-19,18.17,18.67,17.92,18.57,1960683,USD
2018-03-20,18.52,18.65,18.22,18.31,1556360,USD
2018-03-21,18.27,19.03,18.27,18.82,2945760,USD
2018-03-22,18.58,19.29,18.53,18.85,2700449,USD
2018-03-23,18.94,19.09,18.26,18.26,2997649,USD
2018-03-26,18.5,18.72,18.27,18.68,2377790,USD
2018-03-27,18.79,19.52,18.79,18.99,2213292,USD
2018-03-28,19.03,19.19,18.59,18.98,1483342,USD
2018-03-29,19.07,19.16,18.88,19.04,1455523,USD
2018-04-02,18.95,19.07,18.55,18.81,1657972,USD
2018-04-03,18.95,19.17,18.92,19.1,1191800,USD
2018-04-04,18.89,19.11,18.77,19.09,1691186,USD
2018-04-05,19.21,19.42,19.06,19.34,1151599,USD
2018-04-06,19.19,19.5,19.02,19.14,1637667,USD
2018-04-09,17.3,17.5,16.08,16.11,5980574,USD
2018-04-10,15.56,16.58,15.52,16.22,3643105,USD
2018-04-11,16.06,16.41,16.05,16.29,1961587,USD
