Date,Open,High,Low,Close,Volume,Currency
2016-01-03,68.47,68.91,66.91,67.54,553395,USD
2016-01-04,67.73,69.18,67.69,68.86,452686,USD
2016-01-05,68.49,69.31,68.49,69.26,572223,USD
2016-01-06,68.38,68.87,68.28,68.62,897903,USD
2016-01-07,68.81,69.25,67.92,68.03,717061,USD
2016-01-10,67.94,68.86,67.89,68.43,884786,USD
2016-01-11,69.1,69.35,67.74,68.09,800276,USD
2016-01-12,68.06,68.94,67.26,67.43,1028841,USD
2016-01-13,67.67,68.2,66.96,67.22,507096,USD
2016-01-14,66.23,67.91,66.05,67.7,766932,USD
2016-01-18,68.35,69.76,68.12,69.39,936202,USD
2016-01-19,68.73,69.84,67.52,68.65,1943037,USD
2016-01-20,69.05,69.63,67.81,68.41,1001449,USD
2016-01-21,69.07,70.5,68.69,69.93,860472,USD
2016-01-24,69.9,70.69,69.18,69.56,875472,USD
2016-01-25,69.79,71.39,69.79,71.38,696673,USD
2016-01-26,71.01,71.26,69.9,70.3,651766,USD
2016-01-27,70.57,71.12,70.01,70.56,1012201,USD
2016-01-28,71.11,72.43,70.75,72.39,855944,USD
2016-01-31,71.89,73.75,71.45,73.22,742713,USD
2016-02-01,73.18,73.18,72.01,72.38,984809,USD
2016-02-02,72.84,73.6,72.56,73.05,1083858,USD
2016-02-03,72.7,73.17,72.23,72.25,903038,USD
2016-02-04,72.0,72.46,71.23,71.27,996932,USD
2016-02-07,71.04,71.04,68.61,70.49,1480744,USD
2016-02-08,69.74,71.42,69.7,71.05,1388151,USD
2016-02-09,71.31,72.02,70.71,70.87,1009571,USD
2016-02-10,71.66,72.11,69.52,69.83,1183254,USD
2016-02-11,70.65,71.09,69.0,69.76,1330049,USD
2016-02-15,70.25,70.85,69.65,70.67,1393053,USD
2016-02-16,70.75,72.1,70.67,70.76,1076025,USD
2016-02-17,70.5,70.68,69.71,70.22,1079663,USD
2016-02-18,69.99,70.76,69.82,70.36,880970,USD
2016-02-21,70.93,71.39,70.35,70.49,519020,USD
2016-02-22,70.4,71.1,70.12,70.27,576617,USD
2016-02-23,69.93,70.72,69.71,70.37,600762,USD
2016-02-24,70.75,71.67,70.75,71.53,340978,USD
2016-02-25,71.48,71.68,70.55,70.55,739928,USD
2016-02-28,70.71,71.38,70.37,70.58,1060209,USD
2016-02-29,70.92,72.54,70.67,72.53,974208,USD
2016-03-01,72.27,73.53,72.01,73.52,837077,USD
2016-03-02,73.29,73.94,73.11,73.66,702410,USD
2016-03-03,73.51,74.37,73.34,73.85,821185,USD
2016-03-06,73.29,73.68,72.57,72.89,685243,USD
2016-03-07,72.86,73.32,72.21,72.39,561680,USD
2016-03-08,72.63,73.31,72.19,72.78,886258,USD
2016-03-09,73.22,73.75,72.1,72.89,304037,USD
2016-03-10,73.87,74.12,73.55,74.07,434380,USD
2016-03-13,74.05,74.58,73.75,74.29,573886,USD
2016-03-14,73.94,74.96,73.86,74.75,589769,USD
2016-03-15,74.42,75.83,74.23,75.52,462439,USD
2016-03-16,74.86,77.17,74.39,77.12,943418,USD
2016-03-17,74.9,75.19,74.34,74.51,3682086,USD
2016-03-20,74.23,75.02,73.85,73.96,758083,USD
2016-03-21,74.06,74.45,73.37,73.64,792245,USD
2016-03-22,73.53,73.78,73.18,73.19,760442,USD
2016-03-23,72.8,73.51,72.67,73.32,1005382,USD
2016-03-27,73.48,74.59,73.32,74.39,701919,USD
2016-03-28,74.63,75.44,74.63,75.38,1032998,USD
2016-03-29,75.5,75.77,75.01,75.07,755387,USD
2016-03-30,75.11,75.33,74.45,74.85,783714,USD
2016-03-31,74.7,75.5,74.47,75.33,762712,USD
2016-04-03,75.35,75.67,74.83,75.4,435370,USD
2016-04-04,74.99,75.2,73.98,74.48,638516,USD
2016-04-05,74.29,74.68,74.13,74.47,564215,USD
2016-04-06,74.2,74.59,73.98,74.22,613675,USD
2016-04-07,74.62,74.97,74.48,74.7,267947,USD
2016-04-10,74.86,74.92,74.3,74.3,333622,USD
2016-04-11,74.57,75.47,74.3,75.08,439612,USD
2016-04-12,75.33,75.33,74.23,74.75,409088,USD
2016-04-13,74.58,74.74,74.1,74.15,241540,USD
2016-04-14,74.16,75.18,73.96,74.9,464666,USD
2016-04-17,74.75,75.3,74.57,75.15,271249,USD
2016-04-18,75.4,75.4,74.81,75.08,441709,USD
2016-04-19,74.99,74.99,73.82,73.88,371439,USD
2016-04-20,73.74,74.26,72.35,72.5,394566,USD
2016-04-21,72.83,73.51,72.73,73.35,337396,USD
2016-04-24,73.12,74.03,73.1,74.03,301640,USD
2016-04-25,74.18,74.82,74.02,74.31,380466,USD
2016-04-26,74.43,74.91,73.9,74.77,367505,USD
2016-04-27,74.27,74.87,74.06,74.32,289735,USD
2016-04-28,73.84,74.33,73.01,73.7,420739,USD
2016-05-01,73.79,75.18,73.76,75.09,415478,USD
2016-05-02,74.78,75.18,74.34,75.15,414656,USD
2016-05-03,74.51,77.5,74.51,77.26,828029,USD
2016-05-04,76.8,77.84,76.69,77.7,649236,USD
2016-05-05,77.62,78.59,77.49,78.47,686143,USD
2016-05-08,78.5,79.46,78.45,79.35,480616,USD
2016-05-09,79.64,79.84,78.81,79.14,500453,USD
2016-05-10,79.05,79.3,77.18,77.97,430676,USD
2016-05-11,78.15,78.94,77.45,78.69,369490,USD
2016-05-12,78.33,78.38,77.21,77.69,367240,USD
2016-05-15,77.4,78.52,77.3,78.27,595300,USD
2016-05-16,78.09,78.09,76.01,76.56,448759,USD
2016-05-17,76.41,76.54,74.78,75.39,712816,USD
2016-05-18,74.69,75.53,74.02,75.37,547103,USD
2016-05-19,75.65,76.33,75.2,76.18,786720,USD
2016-05-22,76.33,76.74,75.6,75.95,622911,USD
2016-05-23,76.37,77.62,76.31,76.89,864442,USD
2016-05-24,76.79,77.24,75.95,76.33,609232,USD
2016-05-25,76.2,77.17,76.12,76.88,335017,USD
2016-05-26,77.01,77.63,76.64,77.2,505583,USD
2016-05-30,77.25,77.51,76.34,76.6,2771727,USD
2016-05-31,75.9,76.99,75.9,76.98,551538,USD
2016-06-01,76.99,77.49,76.63,77.46,487234,USD
2016-06-02,78.01,78.82,77.6,78.22,582143,USD
2016-06-05,78.33,78.54,77.15,77.6,443126,USD
2016-06-06,77.53,78.06,77.39,77.7,454090,USD
2016-06-07,77.65,78.8,77.47,78.68,407979,USD
2016-06-08,78.69,79.99,78.51,79.59,484618,USD
2016-06-09,79.07,79.93,79.07,79.6,417693,USD
2016-06-12,79.65,80.23,79.24,79.34,530334,USD
2016-06-13,79.42,79.88,79.0,79.23,435970,USD
2016-06-14,79.39,80.0,79.06,79.65,367209,USD
2016-06-15,79.38,79.72,79.08,79.52,757003,USD
2016-06-16,79.63,79.65,78.51,78.99,893146,USD
2016-06-19,79.49,80.0,78.97,79.02,705358,USD
2016-06-20,79.11,79.45,78.87,79.13,937254,USD
2016-06-21,79.29,79.41,78.5,78.52,678600,USD
2016-06-22,78.96,79.5,78.86,78.98,505404,USD
2016-06-23,77.68,79.68,77.19,78.5,1689786,USD
2016-06-26,78.32,79.25,78.06,79.0,1760524,USD
2016-06-27,79.18,81.45,78.76,81.41,1052479,USD
2016-06-28,81.98,83.01,81.84,82.9,605588,USD
2016-06-29,82.96,83.73,82.39,83.73,933277,USD
2016-06-30,83.71,84.44,83.28,83.74,459785,USD
2016-07-04,83.74,85.13,83.74,85.09,335729,USD
2016-07-05,84.88,85.35,84.45,84.5,561676,USD
2016-07-06,84.31,84.31,83.13,83.55,654091,USD
2016-07-07,83.9,84.4,83.25,83.96,789548,USD
2016-07-10,84.31,84.34,83.58,84.16,701255,USD
2016-07-11,82.2,82.63,81.51,81.68,3067324,USD
2016-07-12,82.02,82.57,81.87,82.5,1089196,USD
2016-07-13,82.4,82.4,81.57,81.76,708824,USD
2016-07-14,81.73,81.81,80.83,81.48,549284,USD
2016-07-17,81.74,81.74,81.07,81.47,506903,USD
2016-07-18,81.57,81.96,81.23,81.96,507776,USD
2016-07-19,81.97,82.0,81.58,81.9,397977,USD
2016-07-20,81.61,82.14,81.12,82.1,496108,USD
2016-07-21,81.91,82.95,81.91,82.57,619147,USD
2016-07-24,82.63,83.07,82.28,82.48,769670,USD
2016-07-25,82.59,82.68,81.86,81.89,701423,USD
2016-07-26,81.91,82.13,81.14,81.82,820698,USD
2016-07-27,81.89,83.94,81.72,83.38,649764,USD
2016-07-28,83.22,85.06,83.22,84.93,1877560,USD
2016-07-31,85.0,85.32,84.69,85.3,658065,USD
2016-08-01,84.75,85.1,83.83,84.09,766078,USD
2016-08-02,84.21,84.21,82.69,83.19,685045,USD
2016-08-03,83.41,83.44,82.85,83.03,519827,USD
2016-08-04,83.29,83.34,82.51,82.81,429998,USD
2016-08-07,82.73,82.84,82.19,82.49,322928,USD
2016-08-08,82.34,82.86,81.8,82.76,343789,USD
2016-08-09,82.95,83.34,82.64,82.86,402650,USD
2016-08-10,83.02,83.11,80.84,81.09,574444,USD
2016-08-11,81.18,81.86,80.33,80.6,676775,USD
2016-08-14,80.46,80.74,80.05,80.2,547375,USD
2016-08-15,79.99,80.08,79.05,79.08,250131,USD
