Date,Open,High,Low,Close,Currency,Exchange
2018-01-15,27.82,27.82,27.64,27.66,USD,NYSE
2018-01-16,27.8,27.89,27.8,27.89,USD,NYSE
2018-01-17,27.92,27.93,27.9,27.93,USD,NYSE
2018-01-18,28.13,28.13,28.1,28.12,USD,NYSE
2018-01-21,27.95,28.1,27.95,28.02,USD,NYSE
2018-01-22,28.02,28.02,28.02,28.02,USD,NYSE
2018-01-23,28.08,28.08,28.02,28.03,USD,NYSE
2018-01-24,28.06,28.06,28.04,28.04,USD,NYSE
2018-01-25,28.14,28.25,28.14,28.22,USD,NYSE
2018-01-28,28.6,28.6,28.6,28.6,USD,NYSE
2018-01-29,28.2,28.2,28.17,28.17,USD,NYSE
2018-01-30,28.13,28.16,28.09,28.16,USD,NYSE
2018-01-31,27.96,27.96,27.96,27.96,USD,NYSE
2018-02-01,27.96,27.96,27.96,27.96,USD,NYSE
2018-02-04,27.81,27.81,27.81,27.81,USD,NYSE
2018-02-05,27.32,27.43,27.24,27.43,USD,NYSE
2018-02-06,27.59,27.59,27.57,27.57,USD,NYSE
2018-02-07,27.34,27.42,27.18,27.18,USD,NYSE
2018-02-08,26.99,27.1,26.99,27.1,USD,NYSE
2018-02-11,27.26,27.36,27.25,27.3,USD,NYSE
2018-02-12,27.27,27.29,27.27,27.29,USD,NYSE
2018-02-13,27.1,27.42,27.1,27.42,USD,NYSE
2018-02-14,27.61,27.65,27.57,27.65,USD,NYSE
2018-02-15,27.94,27.94,27.7,27.82,USD,NYSE
2018-02-19,27.73,27.8,27.67,27.7,USD,NYSE
2018-02-20,27.85,27.85,27.85,27.85,USD,NYSE
2018-02-21,27.75,27.75,27.7,27.7,USD,NYSE
2018-02-22,27.76,27.76,27.76,27.76,USD,NYSE
2018-02-25,27.51,27.96,27.51,27.95,USD,NYSE
2018-02-26,27.99,27.99,27.87,27.93,USD,NYSE
2018-02-27,28.25,28.25,27.9,27.9,USD,NYSE
2018-02-28,27.7,27.73,27.52,27.66,USD,NYSE
2018-03-01,27.35,27.67,27.35,27.65,USD,NYSE
2018-03-04,27.67,27.68,27.6,27.68,USD,NYSE
2018-03-05,27.7,27.7,27.66,27.66,USD,NYSE
2018-03-06,27.64,27.76,27.64,27.76,USD,NYSE
2018-03-07,27.81,27.84,27.79,27.8,USD,NYSE
2018-03-08,28.0,28.08,27.99,28.05,USD,NYSE
2018-03-11,28.08,28.09,28.08,28.09,USD,NYSE
2018-03-12,28.04,28.04,28.04,28.04,USD,NYSE
2018-03-13,27.94,27.94,27.94,27.94,USD,NYSE
2018-03-14,28.0,28.04,27.99,28.04,USD,NYSE
2018-03-15,27.92,27.96,27.92,27.96,USD,NYSE
2018-03-18,27.96,27.96,27.96,27.96,USD,NYSE
2018-03-19,27.96,27.96,27.96,27.96,USD,NYSE
2018-03-20,27.84,27.84,27.74,27.74,USD,NYSE
2018-03-21,27.46,27.46,27.46,27.46,USD,NYSE
2018-03-22,27.11,27.11,27.08,27.11,USD,NYSE
2018-03-25,27.19,27.19,27.19,27.19,USD,NYSE
2018-03-26,27.32,27.32,27.32,27.32,USD,NYSE
2018-03-27,27.2,27.2,27.2,27.2,USD,NYSE
2018-03-28,27.21,27.37,27.2,27.31,USD,NYSE
2018-04-01,26.88,26.88,26.88,26.88,USD,NYSE
2018-04-02,27.05,27.05,27.05,27.05,USD,NYSE
2018-04-03,27.05,27.05,27.05,27.05,USD,NYSE
2018-04-04,27.26,27.29,27.26,27.29,USD,NYSE
2018-04-05,27.09,27.09,26.11,26.89,USD,NYSE
2018-04-08,27.03,27.03,27.03,27.03,USD,NYSE
2018-04-09,27.07,27.14,27.07,27.08,USD,NYSE
2018-04-10,27.05,27.06,27.01,27.01,USD,NYSE
2018-04-11,27.01,27.01,27.01,27.01,USD,NYSE
2018-04-12,27.03,27.03,27.03,27.03,USD,NYSE
2018-04-15,27.17,27.17,27.17,27.17,USD,NYSE
2018-04-16,27.28,27.28,27.28,27.28,USD,NYSE
2018-04-17,27.27,27.28,27.27,27.28,USD,NYSE
2018-04-18,27.28,27.28,27.28,27.28,USD,NYSE
2018-04-19,27.08,27.08,27.08,27.08,USD,NYSE
2018-04-22,27.08,27.08,27.08,27.08,USD,NYSE
2018-04-23,26.85,26.85,26.72,26.72,USD,NYSE
2018-04-24,26.68,26.68,26.68,26.68,USD,NYSE
2018-04-25,26.68,26.68,26.68,26.68,USD,NYSE
2018-04-26,26.73,26.75,26.73,26.75,USD,NYSE
2018-04-29,26.88,26.88,26.88,26.88,USD,NYSE
2018-04-30,26.53,26.56,26.53,26.53,USD,NYSE
2018-05-01,26.59,26.59,26.59,26.59,USD,NYSE
2018-05-02,26.37,26.37,26.31,26.37,USD,NYSE
2018-05-03,25.99,25.99,25.99,25.99,USD,NYSE
2018-05-06,26.63,26.63,26.54,26.54,USD,NYSE
2018-05-07,26.61,26.68,26.61,26.67,USD,NYSE
2018-05-08,26.6,26.6,26.6,26.6,USD,NYSE
2018-05-09,26.84,26.86,26.81,26.86,USD,NYSE
2018-05-10,26.97,26.97,26.97,26.97,USD,NYSE
2018-05-13,27.04,27.04,27.04,27.04,USD,NYSE
2018-05-14,26.96,26.96,26.95,26.95,USD,NYSE
2018-05-15,27.14,27.14,27.14,27.14,USD,NYSE
2018-05-16,27.12,27.12,27.12,27.12,USD,NYSE
2018-05-17,27.12,27.16,27.1,27.16,USD,NYSE
2018-05-20,27.07,27.15,27.07,27.15,USD,NYSE
2018-05-21,27.15,27.15,27.15,27.15,USD,NYSE
2018-05-22,27.15,27.15,27.15,27.15,USD,NYSE
2018-05-23,27.15,27.15,27.15,27.15,USD,NYSE
2018-05-24,27.15,27.15,27.15,27.15,USD,NYSE
2018-05-28,27.15,27.15,27.15,27.15,USD,NYSE
2018-05-29,27.27,27.27,27.27,27.27,USD,NYSE
2018-05-30,27.2,27.2,27.16,27.16,USD,NYSE
2018-05-31,27.16,27.16,27.16,27.16,USD,NYSE
