Date,Open,High,Low,Close,Currency,Exchange
2018-01-16,52.44,52.44,52.08,52.14,USD,NYSE
2018-01-17,52.27,52.69,52.27,52.52,USD,NYSE
2018-01-18,52.47,52.47,52.25,52.29,USD,NYSE
2018-01-19,52.49,52.49,52.33,52.39,USD,NYSE
2018-01-22,52.52,52.66,52.45,52.62,USD,NYSE
2018-01-23,52.52,52.85,52.52,52.81,USD,NYSE
2018-01-24,53.04,53.04,52.81,52.85,USD,NYSE
2018-01-25,53.01,53.01,52.72,52.81,USD,NYSE
2018-01-26,53.02,53.08,52.84,53.01,USD,NYSE
2018-01-29,52.61,52.61,52.37,52.43,USD,NYSE
2018-01-30,52.21,52.27,51.98,52.02,USD,NYSE
2018-01-31,52.37,52.39,52.18,52.37,USD,NYSE
2018-02-01,52.24,52.37,52.09,52.14,USD,NYSE
2018-02-02,51.52,51.52,50.98,50.98,USD,NYSE
2018-02-05,50.75,50.86,49.53,49.85,USD,NYSE
2018-02-06,48.96,50.04,48.74,50.04,USD,NYSE
2018-02-07,49.63,50.06,49.52,49.54,USD,NYSE
2018-02-08,49.35,49.35,48.36,48.43,USD,NYSE
2018-02-09,48.56,48.88,47.61,48.72,USD,NYSE
2018-02-12,49.03,49.6,48.81,49.37,USD,NYSE
2018-02-13,49.09,49.46,49.06,49.46,USD,NYSE
2018-02-14,49.18,49.99,49.12,49.92,USD,NYSE
2018-02-15,49.84,50.35,49.84,50.35,USD,NYSE
2018-02-16,50.33,50.69,50.32,50.46,USD,NYSE
2018-02-20,50.28,50.4,49.99,49.99,USD,NYSE
2018-02-21,49.98,50.24,49.46,49.46,USD,NYSE
2018-02-22,49.34,49.58,49.25,49.27,USD,NYSE
2018-02-23,49.6,50.01,49.53,50.01,USD,NYSE
2018-02-26,50.3,50.3,50.07,50.24,USD,NYSE
2018-02-27,50.05,50.07,49.4,49.42,USD,NYSE
2018-02-28,49.4,49.4,48.93,48.93,USD,NYSE
2018-03-01,48.86,49.23,48.38,48.73,USD,NYSE
2018-03-02,48.44,48.75,48.44,48.75,USD,NYSE
2018-03-05,48.4,49.25,48.4,49.24,USD,NYSE
2018-03-06,49.77,49.77,49.13,49.27,USD,NYSE
2018-03-07,49.18,49.33,49.06,49.28,USD,NYSE
2018-03-08,49.35,49.48,49.24,49.41,USD,NYSE
2018-03-09,49.61,49.78,49.61,49.78,USD,NYSE
2018-03-12,49.9,50.04,49.9,50.04,USD,NYSE
2018-03-13,50.23,50.23,49.86,49.9,USD,NYSE
2018-03-14,50.2,50.2,50.01,50.04,USD,NYSE
2018-03-15,49.98,49.98,49.35,49.53,USD,NYSE
2018-03-16,49.57,49.67,49.56,49.6,USD,NYSE
2018-03-19,49.52,49.52,49.1,49.23,USD,NYSE
2018-03-20,49.18,49.18,48.91,48.93,USD,NYSE
2018-03-21,48.99,49.29,48.92,49.16,USD,NYSE
2018-03-22,48.66,48.96,48.42,48.42,USD,NYSE
2018-03-23,48.77,48.88,48.05,48.07,USD,NYSE
2018-03-26,48.61,48.68,48.32,48.68,USD,NYSE
2018-03-27,48.68,49.07,48.5,48.56,USD,NYSE
2018-03-28,48.9,49.01,48.75,48.78,USD,NYSE
2018-03-29,48.94,49.25,48.94,49.25,USD,NYSE
2018-04-02,48.99,49.1,48.22,48.22,USD,NYSE
2018-04-03,48.76,48.81,48.48,48.79,USD,NYSE
2018-04-04,48.28,49.06,48.28,49.02,USD,NYSE
2018-04-05,49.11,49.47,48.99,49.37,USD,NYSE
2018-04-06,49.29,49.4,48.9,48.95,USD,NYSE
2018-04-09,49.52,49.73,49.36,49.43,USD,NYSE
2018-04-10,49.75,49.84,49.6,49.66,USD,NYSE
2018-04-11,49.54,49.82,49.54,49.68,USD,NYSE
2018-04-12,49.64,49.64,49.43,49.44,USD,NYSE
2018-04-13,49.69,49.77,49.64,49.64,USD,NYSE
2018-04-16,49.92,50.15,49.91,50.14,USD,NYSE
2018-04-17,50.19,50.5,50.16,50.47,USD,NYSE
2018-04-18,50.75,50.75,50.47,50.48,USD,NYSE
2018-04-19,50.42,50.44,50.07,50.18,USD,NYSE
2018-04-20,49.95,49.95,49.74,49.77,USD,NYSE
2018-04-23,49.69,49.77,49.56,49.68,USD,NYSE
2018-04-24,49.94,49.94,49.5,49.61,USD,NYSE
2018-04-25,49.47,49.53,49.41,49.52,USD,NYSE
2018-04-26,49.87,49.97,49.8,49.92,USD,NYSE
2018-04-27,50.07,50.27,50.07,50.25,USD,NYSE
2018-04-30,50.16,50.17,50.05,50.05,USD,NYSE
2018-05-01,49.99,50.0,49.78,49.92,USD,NYSE
2018-05-02,50.23,50.32,50.18,50.26,USD,NYSE
2018-05-03,50.33,50.4,49.95,50.29,USD,NYSE
2018-05-04,50.0,50.4,50.0,50.3,USD,NYSE
2018-05-07,50.35,50.44,50.22,50.22,USD,NYSE
2018-05-08,50.02,50.02,49.63,49.73,USD,NYSE
2018-05-09,49.98,50.0,49.84,49.87,USD,NYSE
2018-05-10,50.04,50.26,49.97,50.24,USD,NYSE
2018-05-11,50.4,50.4,50.33,50.35,USD,NYSE
2018-05-14,50.56,50.58,50.34,50.39,USD,NYSE
2018-05-15,49.79,49.99,49.79,49.94,USD,NYSE
2018-05-16,49.74,49.74,49.4,49.49,USD,NYSE
2018-05-17,49.49,49.49,49.28,49.31,USD,NYSE
2018-05-18,49.12,49.16,49.01,49.06,USD,NYSE
2018-05-21,49.42,49.45,49.27,49.39,USD,NYSE
2018-05-22,49.6,49.6,49.35,49.37,USD,NYSE
2018-05-23,48.97,49.4,48.97,49.34,USD,NYSE
2018-05-24,49.23,49.31,49.19,49.28,USD,NYSE
2018-05-25,48.95,49.06,48.91,49.02,USD,NYSE
2018-05-29,48.48,48.68,48.16,48.35,USD,NYSE
2018-05-30,48.82,49.3,48.77,49.28,USD,NYSE
2018-05-31,49.09,49.4,49.07,49.4,USD,NYSE
2018-06-01,48.59,48.59,48.25,48.31,USD,NYSE
2018-06-04,48.59,48.67,48.42,48.46,USD,NYSE
2018-06-05,48.35,48.41,48.12,48.13,USD,NYSE
2018-06-06,48.42,48.42,48.15,48.16,USD,NYSE
2018-06-07,48.12,48.22,48.02,48.02,USD,NYSE
2018-06-08,47.86,47.87,47.74,47.84,USD,NYSE
2018-06-11,48.07,48.28,48.05,48.26,USD,NYSE
2018-06-12,48.45,48.6,48.31,48.33,USD,NYSE
2018-06-13,48.62,48.65,48.37,48.5,USD,NYSE
2018-06-14,48.41,48.67,48.41,48.56,USD,NYSE
2018-06-15,48.47,48.51,48.31,48.51,USD,NYSE
2018-06-18,48.18,48.52,48.18,48.52,USD,NYSE
2018-06-19,47.98,48.52,47.98,48.52,USD,NYSE
2018-06-20,48.62,48.63,48.5,48.53,USD,NYSE
2018-06-21,48.44,48.51,48.33,48.33,USD,NYSE
2018-06-22,48.8,48.92,48.77,48.8,USD,NYSE
2018-06-25,48.71,48.82,48.62,48.75,USD,NYSE
2018-06-26,48.83,49.05,48.76,48.86,USD,NYSE
2018-06-27,49.04,49.07,48.68,48.72,USD,NYSE
2018-06-28,48.62,48.98,48.62,48.98,USD,NYSE
2018-06-29,49.13,49.43,49.09,49.37,USD,NYSE
2018-07-02,48.93,49.15,48.82,49.15,USD,NYSE
2018-07-03,49.45,49.64,49.4,49.46,USD,NYSE
2018-07-05,49.82,49.85,49.68,49.76,USD,NYSE
2018-07-06,49.92,50.44,49.92,50.44,USD,NYSE
2018-07-09,50.52,50.52,49.86,49.86,USD,NYSE
2018-07-10,49.8,50.11,49.8,50.04,USD,NYSE
2018-07-11,49.68,49.87,49.6,49.71,USD,NYSE
2018-07-12,50.01,50.06,49.83,50.05,USD,NYSE
2018-07-13,50.05,50.06,49.93,50.02,USD,NYSE
2018-07-16,49.98,49.98,49.82,49.92,USD,NYSE
2018-07-17,49.78,49.94,49.78,49.83,USD,NYSE
2018-07-18,49.73,49.83,49.56,49.74,USD,NYSE
2018-07-19,49.47,50.04,49.47,49.94,USD,NYSE
2018-07-20,50.14,50.14,49.94,50.03,USD,NYSE
2018-07-23,49.9,49.9,49.73,49.8,USD,NYSE
2018-07-24,49.87,49.93,49.7,49.93,USD,NYSE
2018-07-25,49.87,50.24,49.87,50.24,USD,NYSE
2018-07-26,50.05,50.19,50.05,50.08,USD,NYSE
2018-07-27,50.32,50.35,49.97,50.01,USD,NYSE
2018-07-30,50.05,50.07,49.94,49.94,USD,NYSE
2018-07-31,50.14,50.2,50.14,50.14,USD,NYSE
2018-08-01,49.79,49.79,49.43,49.68,USD,NYSE
2018-08-02,49.38,49.76,49.38,49.76,USD,NYSE
2018-08-03,49.75,50.16,49.75,50.16,USD,NYSE
2018-08-06,50.01,50.2,50.01,50.05,USD,NYSE
2018-08-07,50.48,50.48,50.3,50.3,USD,NYSE
2018-08-08,50.19,50.19,50.06,50.11,USD,NYSE
2018-08-09,50.09,50.28,50.09,50.13,USD,NYSE
2018-08-10,49.66,49.84,49.61,49.65,USD,NYSE
2018-08-13,49.58,49.65,49.42,49.53,USD,NYSE
2018-08-14,49.46,49.56,49.43,49.49,USD,NYSE
2018-08-15,48.99,49.05,48.9,48.92,USD,NYSE
2018-08-16,48.88,49.11,48.85,48.98,USD,NYSE
2018-08-17,49.15,49.29,49.15,49.19,USD,NYSE
2018-08-20,49.4,49.45,49.27,49.32,USD,NYSE
2018-08-21,49.7,49.73,49.49,49.49,USD,NYSE
2018-08-22,49.59,49.6,49.48,49.53,USD,NYSE
2018-08-23,49.34,49.45,49.21,49.21,USD,NYSE
2018-08-24,49.42,49.5,49.28,49.5,USD,NYSE
2018-08-27,49.67,49.76,49.58,49.69,USD,NYSE
2018-08-28,49.75,49.75,49.43,49.43,USD,NYSE
2018-08-29,49.46,49.72,49.46,49.72,USD,NYSE
2018-08-30,49.38,49.47,49.28,49.38,USD,NYSE
2018-08-31,49.15,49.26,48.87,48.96,USD,NYSE
2018-09-04,48.74,48.9,48.7,48.83,USD,NYSE
2018-09-05,48.7,48.97,48.65,48.96,USD,NYSE
2018-09-06,48.9,49.22,48.87,49.0,USD,NYSE
2018-09-07,48.53,48.58,48.42,48.56,USD,NYSE
2018-09-10,48.84,48.84,48.64,48.64,USD,NYSE
2018-09-11,48.41,48.81,48.41,48.81,USD,NYSE
2018-09-12,48.8,48.94,48.79,48.94,USD,NYSE
2018-09-13,48.94,49.13,48.94,49.09,USD,NYSE
2018-09-14,48.97,48.97,48.65,48.71,USD,NYSE
2018-09-17,48.94,49.2,48.94,49.05,USD,NYSE
2018-09-18,49.27,49.32,49.18,49.32,USD,NYSE
2018-09-19,49.11,49.11,48.73,48.76,USD,NYSE
2018-09-20,49.04,49.05,48.81,49.05,USD,NYSE
2018-09-21,49.11,49.2,48.94,49.05,USD,NYSE
2018-09-24,49.2,49.2,48.82,48.82,USD,NYSE
2018-09-25,48.84,48.84,48.51,48.58,USD,NYSE
2018-09-26,48.6,48.61,48.28,48.35,USD,NYSE
2018-09-27,48.27,48.48,48.26,48.26,USD,NYSE
2018-09-28,48.28,48.57,48.28,48.41,USD,NYSE
2018-10-01,48.62,48.69,48.55,48.69,USD,NYSE
2018-10-02,48.43,48.69,48.43,48.62,USD,NYSE
2018-10-03,48.83,48.85,48.4,48.4,USD,NYSE
2018-10-04,48.04,48.09,47.81,48.09,USD,NYSE
2018-10-05,48.16,48.3,48.1,48.3,USD,NYSE
2018-10-08,47.92,48.29,47.92,48.2,USD,NYSE
2018-10-09,48.09,48.38,48.09,48.38,USD,NYSE
2018-10-10,48.16,48.18,47.4,47.4,USD,NYSE
2018-10-11,47.41,47.41,46.71,46.78,USD,NYSE
2018-10-12,47.18,47.18,46.53,46.94,USD,NYSE
2018-10-15,46.82,47.15,46.82,46.92,USD,NYSE
2018-10-16,47.37,47.81,47.3,47.78,USD,NYSE
2018-10-17,47.53,47.53,47.28,47.44,USD,NYSE
2018-10-18,47.42,47.48,46.94,47.11,USD,NYSE
2018-10-19,47.72,47.8,47.62,47.76,USD,NYSE
