Date,Open,High,Low,Close,Volume,Currency
2016-01-04,4.6,4.64,4.41,4.64,1023,USD
2016-01-05,4.63,4.63,4.6,4.6,688,USD
2016-01-06,4.85,4.9,4.75,4.75,3810,USD
2016-01-12,5.0,5.0,5.0,5.0,369,USD
2016-01-18,4.77,4.77,4.75,4.75,732,USD
2016-01-19,4.84,4.84,4.84,4.84,100,USD
2016-01-20,4.47,4.54,4.17,4.17,5101,USD
2016-01-21,4.21,4.45,4.0,4.0,3751,USD
2016-01-24,4.0,4.24,3.8,3.99,5267,USD
2016-01-25,4.09,4.24,4.09,4.24,3299,USD
2016-01-26,4.32,4.58,3.97,4.14,7594,USD
2016-01-27,4.0,4.0,3.91,3.91,204,USD
2016-01-28,3.91,4.25,3.55,4.08,5950,USD
2016-01-31,4.08,4.3,3.98,4.0,2619,USD
2016-02-01,4.09,4.16,3.83,3.98,1519,USD
2016-02-02,4.05,4.05,3.87,3.87,1980,USD
2016-02-03,3.81,3.92,3.73,3.92,1222,USD
2016-02-04,3.9,3.9,3.77,3.77,300,USD
2016-02-07,3.7,3.7,3.11,3.34,4550,USD
2016-02-08,3.37,3.5,3.37,3.46,1025,USD
2016-02-09,3.58,3.58,3.57,3.57,200,USD
2016-02-10,3.5,3.5,3.5,3.5,201,USD
2016-02-11,3.5,3.5,3.5,3.5,100,USD
2016-02-15,3.6,3.85,3.6,3.72,1297,USD
2016-02-16,3.67,3.67,3.23,3.58,3909,USD
2016-02-17,3.62,4.1,3.62,3.91,4052,USD
2016-02-18,3.85,3.99,3.7,3.99,4262,USD
2016-02-21,4.15,4.39,4.15,4.25,602,USD
2016-02-22,4.45,4.47,4.42,4.42,535,USD
2016-02-23,4.3,4.4,4.3,4.4,200,USD
2016-02-25,4.16,4.16,4.16,4.16,166,USD
2016-02-28,4.27,4.27,4.18,4.19,1079,USD
2016-03-03,4.03,4.03,4.0,4.0,234,USD
2016-03-07,3.92,4.06,3.92,4.06,2440,USD
2016-03-08,4.01,4.01,4.01,4.01,100,USD
2016-03-13,4.03,4.03,4.03,4.03,124,USD
2016-03-22,4.04,4.04,4.04,4.04,327,USD
2016-03-28,4.15,4.15,4.15,4.15,100,USD
2016-03-29,4.05,4.05,4.05,4.05,100,USD
2016-04-10,4.22,4.22,4.0,4.0,431,USD
2016-04-12,3.96,3.96,3.96,3.96,122,USD
2016-04-13,4.1,4.1,4.1,4.1,143,USD
2016-04-14,4.05,4.05,4.05,4.05,149,USD
2016-04-18,4.12,4.12,4.1,4.1,260,USD
2016-04-21,4.25,4.25,4.25,4.25,201,USD
2016-04-24,4.45,4.63,4.21,4.21,900,USD
2016-04-26,4.05,4.05,4.0,4.01,1559,USD
2016-04-27,3.92,3.92,3.9,3.9,5171,USD
2016-04-28,3.98,3.99,3.98,3.99,219,USD
2016-05-03,3.81,3.84,3.81,3.84,200,USD
2016-05-04,3.95,3.95,3.95,3.95,100,USD
2016-05-08,3.84,3.84,3.84,3.84,600,USD
2016-05-10,3.7,3.7,3.7,3.7,176,USD
2016-05-15,3.85,3.85,3.85,3.85,114,USD
2016-05-19,3.69,3.7,3.5,3.7,3888,USD
2016-05-22,3.651,3.651,3.46,3.46,4700,USD
2016-05-23,3.5,3.57,3.5,3.57,569,USD
2016-05-24,3.47,3.47,3.47,3.47,100,USD
2016-05-26,3.57,3.57,3.5,3.5,653,USD
