Date,Open,High,Low,Close,Currency,Exchange
2016-01-03,35.14,35.14,34.96,35.0,USD,NASDAQ
2016-01-04,35.45,35.45,35.15,35.3,USD,NASDAQ
2016-01-05,34.88,35.05,34.65,34.65,USD,NASDAQ
2016-01-06,34.09,34.17,34.0,34.17,USD,NASDAQ
2016-01-07,34.09,34.14,33.91,33.95,USD,NASDAQ
2016-01-10,33.69,33.69,33.46,33.67,USD,NASDAQ
2016-01-11,33.97,33.97,33.55,33.69,USD,NASDAQ
2016-01-12,33.77,33.77,33.08,33.09,USD,NASDAQ
2016-01-13,33.36,33.6,33.16,33.45,USD,NASDAQ
2016-01-14,32.76,32.91,32.47,32.9,USD,NASDAQ
2016-01-18,33.28,33.28,32.61,32.91,USD,NASDAQ
2016-01-19,32.08,32.57,31.75,32.56,USD,NASDAQ
2016-01-20,32.63,32.92,32.51,32.71,USD,NASDAQ
2016-01-21,32.88,33.23,32.88,33.23,USD,NASDAQ
2016-01-24,33.12,33.12,32.67,32.69,USD,NASDAQ
2016-01-25,32.94,33.22,32.94,33.19,USD,NASDAQ
2016-01-26,33.03,33.49,33.0,33.03,USD,NASDAQ
2016-01-27,33.26,33.26,32.87,32.92,USD,NASDAQ
2016-01-28,33.4,33.85,33.4,33.85,USD,NASDAQ
2016-01-31,33.84,33.96,33.68,33.96,USD,NASDAQ
2016-02-01,33.86,33.86,33.25,33.3,USD,NASDAQ
2016-02-02,32.8,33.46,32.8,33.46,USD,NASDAQ
2016-02-03,33.54,33.54,33.46,33.53,USD,NASDAQ
2016-02-04,33.14,33.25,33.07,33.07,USD,NASDAQ
2016-02-07,33.29,33.29,32.12,32.31,USD,NASDAQ
2016-02-08,32.47,32.77,32.4,32.77,USD,NASDAQ
2016-02-09,32.9,32.96,32.62,32.62,USD,NASDAQ
2016-02-10,32.23,32.28,32.02,32.25,USD,NASDAQ
2016-02-11,32.64,32.65,32.46,32.65,USD,NASDAQ
2016-02-15,32.81,33.42,32.81,33.41,USD,NASDAQ
2016-02-16,33.92,33.99,33.9,33.95,USD,NASDAQ
2016-02-17,33.84,33.97,33.83,33.88,USD,NASDAQ
2016-02-18,33.66,33.88,33.66,33.87,USD,NASDAQ
2016-02-21,34.29,34.37,34.28,34.37,USD,NASDAQ
2016-02-22,34.12,34.12,34.01,34.01,USD,NASDAQ
2016-02-23,33.62,34.21,33.59,34.21,USD,NASDAQ
2016-02-24,34.37,34.64,34.22,34.62,USD,NASDAQ
2016-02-25,34.78,34.79,34.69,34.71,USD,NASDAQ
2016-02-28,34.66,34.76,34.48,34.5,USD,NASDAQ
2016-02-29,34.8,34.8,34.77,34.77,USD,NASDAQ
2016-03-01,35.2,35.2,35.01,35.04,USD,NASDAQ
2016-03-02,35.15,35.31,35.15,35.31,USD,NASDAQ
2016-03-03,35.69,35.76,35.52,35.6,USD,NASDAQ
2016-03-06,35.68,35.72,35.59,35.69,USD,NASDAQ
2016-03-07,35.21,35.33,35.19,35.26,USD,NASDAQ
2016-03-08,35.27,35.27,35.27,35.27,USD,NASDAQ
2016-03-09,35.08,35.33,35.08,35.23,USD,NASDAQ
2016-03-10,35.71,35.88,35.71,35.88,USD,NASDAQ
2016-03-13,35.76,35.9,35.76,35.9,USD,NASDAQ
2016-03-14,35.61,35.69,35.6,35.69,USD,NASDAQ
2016-03-15,35.65,35.88,35.65,35.88,USD,NASDAQ
2016-03-16,35.96,36.15,35.95,36.15,USD,NASDAQ
2016-03-17,36.46,36.48,36.38,36.44,USD,NASDAQ
2016-03-20,36.61,36.61,36.3,36.41,USD,NASDAQ
2016-03-21,36.36,36.48,36.36,36.45,USD,NASDAQ
2016-03-22,36.29,36.33,36.22,36.32,USD,NASDAQ
2016-03-23,35.93,35.99,35.84,35.99,USD,NASDAQ
2016-03-27,36.36,36.36,36.09,36.21,USD,NASDAQ
2016-03-28,36.21,36.21,36.2,36.2,USD,NASDAQ
2016-03-29,36.72,36.75,36.67,36.67,USD,NASDAQ
2016-03-30,36.72,36.76,36.63,36.67,USD,NASDAQ
2016-03-31,36.57,36.83,36.56,36.83,USD,NASDAQ
2016-04-03,36.85,36.85,36.78,36.78,USD,NASDAQ
2016-04-04,36.39,36.42,36.29,36.32,USD,NASDAQ
2016-04-05,36.31,36.62,36.31,36.62,USD,NASDAQ
2016-04-06,36.64,36.64,36.06,36.11,USD,NASDAQ
2016-04-07,36.47,36.48,36.19,36.19,USD,NASDAQ
2016-04-10,36.5,36.53,36.25,36.25,USD,NASDAQ
2016-04-11,36.34,36.49,36.14,36.45,USD,NASDAQ
2016-04-12,36.58,36.89,36.58,36.89,USD,NASDAQ
2016-04-13,37.11,37.11,36.86,36.88,USD,NASDAQ
2016-04-14,36.75,36.91,36.75,36.9,USD,NASDAQ
2016-04-17,36.82,37.12,36.82,37.08,USD,NASDAQ
2016-04-18,37.22,37.32,37.08,37.2,USD,NASDAQ
2016-04-19,37.26,37.4,37.15,37.4,USD,NASDAQ
2016-04-20,37.3,37.3,37.02,37.05,USD,NASDAQ
2016-04-21,37.23,37.25,37.06,37.23,USD,NASDAQ
2016-04-24,37.35,37.35,36.99,37.09,USD,NASDAQ
2016-04-25,37.24,37.37,37.19,37.31,USD,NASDAQ
2016-04-26,37.38,37.61,37.31,37.61,USD,NASDAQ
2016-04-27,37.8,37.8,37.1,37.1,USD,NASDAQ
2016-04-28,37.17,37.17,36.66,36.68,USD,NASDAQ
2016-05-01,36.88,37.14,36.88,37.14,USD,NASDAQ
2016-05-02,36.88,36.88,36.65,36.78,USD,NASDAQ
2016-05-03,36.6,36.71,36.47,36.57,USD,NASDAQ
2016-05-04,36.59,36.61,36.47,36.49,USD,NASDAQ
2016-05-05,36.36,36.64,36.36,36.61,USD,NASDAQ
2016-05-08,36.72,36.78,36.68,36.73,USD,NASDAQ
2016-05-09,36.92,37.15,36.92,37.15,USD,NASDAQ
2016-05-10,37.02,37.02,36.82,36.83,USD,NASDAQ
2016-05-11,36.69,36.85,36.62,36.81,USD,NASDAQ
2016-05-12,36.72,36.78,36.41,36.45,USD,NASDAQ
2016-05-15,36.59,36.8,36.59,36.77,USD,NASDAQ
2016-05-16,36.72,36.81,36.41,36.51,USD,NASDAQ
2016-05-17,36.4,36.73,36.3,36.51,USD,NASDAQ
2016-05-18,36.27,36.36,36.16,36.35,USD,NASDAQ
2016-05-19,36.66,36.74,36.65,36.69,USD,NASDAQ
2016-05-22,36.7,36.75,36.6,36.6,USD,NASDAQ
2016-05-23,36.74,37.14,36.74,37.14,USD,NASDAQ
2016-05-24,37.32,37.35,37.25,37.34,USD,NASDAQ
2016-05-25,37.39,37.39,37.23,37.31,USD,NASDAQ
2016-05-26,37.53,37.53,37.43,37.52,USD,NASDAQ
2016-05-30,37.61,37.62,37.4,37.55,USD,NASDAQ
2016-05-31,37.46,37.68,37.46,37.68,USD,NASDAQ
2016-06-01,37.74,37.78,37.57,37.78,USD,NASDAQ
2016-06-02,37.43,37.7,37.43,37.69,USD,NASDAQ
2016-06-05,37.81,37.89,37.78,37.87,USD,NASDAQ
2016-06-06,37.86,37.97,37.81,37.97,USD,NASDAQ
2016-06-07,38.07,38.07,37.99,38.05,USD,NASDAQ
2016-06-08,38.1,38.1,37.81,38.01,USD,NASDAQ
2016-06-09,37.57,37.66,37.5,37.5,USD,NASDAQ
2016-06-12,37.48,37.49,37.17,37.17,USD,NASDAQ
2016-06-13,37.09,37.09,36.79,36.9,USD,NASDAQ
2016-06-14,37.06,37.09,36.89,36.91,USD,NASDAQ
2016-06-15,36.64,36.98,36.51,36.97,USD,NASDAQ
2016-06-16,36.76,36.98,36.76,36.98,USD,NASDAQ
2016-06-19,37.12,37.51,37.12,37.23,USD,NASDAQ
2016-06-20,37.37,37.37,37.2,37.31,USD,NASDAQ
2016-06-21,37.3,37.44,37.22,37.22,USD,NASDAQ
2016-06-22,37.55,37.75,37.55,37.74,USD,NASDAQ
2016-06-23,36.16,36.91,36.16,36.31,USD,NASDAQ
2016-06-26,36.26,36.26,35.27,35.39,USD,NASDAQ
2016-06-27,35.83,35.98,35.66,35.95,USD,NASDAQ
2016-06-28,36.39,36.69,36.37,36.66,USD,NASDAQ
2016-06-29,36.87,37.18,36.87,37.16,USD,NASDAQ
2016-06-30,37.43,37.43,37.22,37.26,USD,NASDAQ
2016-07-04,36.92,36.93,36.79,36.93,USD,NASDAQ
2016-07-05,36.71,37.15,36.71,37.14,USD,NASDAQ
2016-07-06,37.27,37.28,37.16,37.21,USD,NASDAQ
2016-07-07,37.55,37.85,37.55,37.85,USD,NASDAQ
2016-07-10,38.06,38.06,38.06,38.06,USD,NASDAQ
2016-07-11,38.29,38.37,38.2,38.33,USD,NASDAQ
2016-07-12,38.49,38.49,38.23,38.33,USD,NASDAQ
2016-07-13,38.68,38.68,38.39,38.47,USD,NASDAQ
2016-07-14,38.49,38.56,38.37,38.41,USD,NASDAQ
2016-07-17,38.51,38.51,38.42,38.5,USD,NASDAQ
2016-07-18,38.65,38.65,38.33,38.43,USD,NASDAQ
2016-07-19,38.57,38.66,38.44,38.63,USD,NASDAQ
2016-07-20,38.66,38.69,38.49,38.49,USD,NASDAQ
2016-07-21,38.52,38.71,38.52,38.7,USD,NASDAQ
2016-07-24,38.77,38.77,38.59,38.64,USD,NASDAQ
2016-07-25,38.82,38.83,38.71,38.83,USD,NASDAQ
2016-07-26,38.74,38.74,38.61,38.63,USD,NASDAQ
2016-07-27,38.71,38.76,38.46,38.71,USD,NASDAQ
2016-07-28,38.55,38.73,38.55,38.73,USD,NASDAQ
2016-07-31,38.62,38.74,38.57,38.57,USD,NASDAQ
2016-08-01,38.75,38.75,38.16,38.22,USD,NASDAQ
2016-08-02,38.24,38.39,38.24,38.39,USD,NASDAQ
2016-08-03,38.42,38.42,38.35,38.38,USD,NASDAQ
2016-08-04,38.75,38.75,38.7,38.73,USD,NASDAQ
2016-08-07,38.88,38.88,38.67,38.67,USD,NASDAQ
2016-08-08,38.73,38.78,38.67,38.68,USD,NASDAQ
2016-08-09,38.68,38.71,38.59,38.66,USD,NASDAQ
2016-08-10,38.9,38.91,38.75,38.89,USD,NASDAQ
2016-08-11,38.95,38.95,38.77,38.83,USD,NASDAQ
2016-08-14,39.02,39.08,39.02,39.03,USD,NASDAQ
2016-08-15,38.79,38.91,38.79,38.79,USD,NASDAQ
2016-08-16,38.66,38.77,38.58,38.77,USD,NASDAQ
2016-08-17,38.79,38.92,38.79,38.9,USD,NASDAQ
2016-08-18,38.76,39.02,38.76,39.0,USD,NASDAQ
2016-08-21,38.88,39.0,38.88,38.99,USD,NASDAQ
2016-08-22,39.24,39.26,39.15,39.15,USD,NASDAQ
2016-08-23,39.25,39.25,38.88,38.9,USD,NASDAQ
2016-08-24,38.93,39.04,38.9,38.92,USD,NASDAQ
2016-08-25,39.03,39.15,38.72,38.73,USD,NASDAQ
2016-08-28,39.02,39.1,39.02,39.03,USD,NASDAQ
2016-08-29,39.07,39.07,38.92,39.01,USD,NASDAQ
2016-08-30,38.95,38.98,38.81,38.93,USD,NASDAQ
2016-08-31,39.01,39.01,38.71,38.83,USD,NASDAQ
2016-09-01,39.11,39.14,39.07,39.12,USD,NASDAQ
2016-09-05,39.24,39.24,38.99,39.08,USD,NASDAQ
