Date,Open,High,Low,Close,Currency,Exchange
2016-01-03,37.16,37.39,36.77,37.18,USD,NYSE
2016-01-04,37.0,37.02,36.73,36.98,USD,NYSE
2016-01-05,36.22,36.44,36.15,36.38,USD,NYSE
2016-01-06,35.62,35.95,35.54,35.65,USD,NYSE
2016-01-07,35.82,35.82,35.21,35.21,USD,NYSE
2016-01-10,35.67,35.67,35.09,35.33,USD,NYSE
2016-01-11,35.67,35.75,35.23,35.58,USD,NYSE
2016-01-12,35.79,35.88,34.96,34.99,USD,NYSE
2016-01-13,35.25,35.7,34.95,35.53,USD,NYSE
2016-01-14,34.21,34.62,34.09,34.26,USD,NYSE
2016-01-18,34.81,34.81,34.27,34.53,USD,NYSE
2016-01-19,33.95,34.01,33.21,33.82,USD,NYSE
2016-01-20,33.72,34.35,33.57,34.14,USD,NYSE
2016-01-21,34.91,35.21,34.87,35.1,USD,NYSE
2016-01-24,34.9,34.96,34.63,34.63,USD,NYSE
2016-01-25,35.0,35.36,35.0,35.31,USD,NYSE
2016-01-26,35.26,35.57,34.97,35.05,USD,NYSE
2016-01-27,35.64,35.64,35.18,35.41,USD,NYSE
2016-01-28,35.54,35.97,35.52,35.97,USD,NYSE
2016-01-31,35.64,36.02,35.55,35.91,USD,NYSE
2016-02-01,35.26,35.26,34.87,34.94,USD,NYSE
2016-02-02,35.24,35.48,34.64,35.48,USD,NYSE
2016-02-03,35.45,35.79,35.45,35.66,USD,NYSE
2016-02-04,35.52,35.52,35.08,35.17,USD,NYSE
2016-02-07,34.64,34.74,34.24,34.63,USD,NYSE
2016-02-08,33.9,34.46,33.9,34.19,USD,NYSE
2016-02-09,34.33,34.41,34.14,34.17,USD,NYSE
2016-02-10,33.81,33.91,33.46,33.74,USD,NYSE
2016-02-11,33.95,34.37,33.94,34.37,USD,NYSE
2016-02-15,34.96,35.0,34.6,35.0,USD,NYSE
2016-02-16,35.23,35.64,35.23,35.54,USD,NYSE
2016-02-17,35.55,35.65,35.42,35.44,USD,NYSE
2016-02-18,35.11,35.34,34.98,35.33,USD,NYSE
2016-02-21,35.55,35.75,35.55,35.7,USD,NYSE
2016-02-22,35.44,35.44,35.02,35.03,USD,NYSE
2016-02-23,34.31,34.83,34.23,34.79,USD,NYSE
2016-02-24,34.94,35.17,34.77,35.17,USD,NYSE
2016-02-25,35.41,35.44,35.02,35.1,USD,NYSE
2016-02-28,35.05,35.24,34.9,34.91,USD,NYSE
2016-02-29,35.51,35.87,35.4,35.81,USD,NYSE
2016-03-01,35.85,36.12,35.85,36.1,USD,NYSE
2016-03-02,36.29,36.58,36.29,36.48,USD,NYSE
2016-03-03,36.74,37.03,36.71,36.89,USD,NYSE
2016-03-06,36.36,36.99,36.35,36.93,USD,NYSE
2016-03-07,36.74,36.74,36.45,36.5,USD,NYSE
2016-03-08,36.69,36.85,36.63,36.76,USD,NYSE
2016-03-09,37.01,37.13,36.43,36.65,USD,NYSE
2016-03-10,37.3,37.66,37.25,37.61,USD,NYSE
2016-03-13,37.49,37.59,37.35,37.5,USD,NYSE
2016-03-14,37.0,37.17,36.98,37.17,USD,NYSE
2016-03-15,36.95,37.68,36.95,37.68,USD,NYSE
2016-03-16,37.73,38.2,37.71,38.16,USD,NYSE
2016-03-17,38.16,38.2,37.96,38.04,USD,NYSE
2016-03-20,37.64,37.75,37.51,37.65,USD,NYSE
2016-03-21,37.18,37.5,37.18,37.45,USD,NYSE
2016-03-22,37.33,37.33,36.91,37.02,USD,NYSE
2016-03-23,36.59,36.8,36.59,36.73,USD,NYSE
2016-03-27,36.98,37.13,36.8,36.98,USD,NYSE
2016-03-28,36.63,37.29,36.63,37.29,USD,NYSE
2016-03-29,37.69,37.8,37.57,37.61,USD,NYSE
2016-03-30,37.51,37.58,37.32,37.34,USD,NYSE
2016-03-31,36.66,37.09,36.52,37.01,USD,NYSE
2016-04-03,37.2,37.2,36.86,36.89,USD,NYSE
2016-04-04,36.24,36.27,36.12,36.13,USD,NYSE
2016-04-05,36.3,36.71,36.21,36.71,USD,NYSE
2016-04-06,36.47,36.53,36.1,36.21,USD,NYSE
2016-04-07,36.82,36.94,36.74,36.8,USD,NYSE
2016-04-10,37.1,37.26,36.91,36.91,USD,NYSE
2016-04-11,37.17,37.5,36.97,37.44,USD,NYSE
2016-04-12,37.94,38.06,37.85,38.02,USD,NYSE
2016-04-13,38.08,38.25,38.08,38.13,USD,NYSE
2016-04-14,38.16,38.24,38.08,38.09,USD,NYSE
2016-04-17,38.02,38.48,38.02,38.39,USD,NYSE
2016-04-18,38.89,39.11,38.89,39.03,USD,NYSE
2016-04-19,39.04,39.26,38.95,39.05,USD,NYSE
2016-04-20,39.03,39.03,38.8,38.81,USD,NYSE
