Date,Open,High,Low,Close,Currency,Exchange
2018-01-15,37.69,37.69,37.42,37.47,USD,NASDAQ
2018-01-16,37.51,37.62,37.42,37.42,USD,NASDAQ
2018-01-17,37.35,37.54,37.32,37.46,USD,NASDAQ
2018-01-18,37.48,37.54,37.37,37.54,USD,NASDAQ
2018-01-21,37.4,37.86,37.4,37.71,USD,NASDAQ
2018-01-22,37.79,37.99,37.73,37.96,USD,NASDAQ
2018-01-23,38.0,38.32,37.94,38.3,USD,NASDAQ
2018-01-24,38.49,38.49,38.04,38.11,USD,NASDAQ
2018-01-25,38.21,38.51,38.09,38.42,USD,NASDAQ
2018-01-28,38.36,38.36,38.11,38.16,USD,NASDAQ
2018-01-29,38.09,38.16,37.75,37.88,USD,NASDAQ
2018-01-30,37.88,37.92,37.69,37.88,USD,NASDAQ
2018-01-31,37.87,38.14,37.86,38.1,USD,NASDAQ
2018-02-01,37.79,37.79,37.41,37.42,USD,NASDAQ
2018-02-04,37.13,37.45,36.66,36.73,USD,NASDAQ
2018-02-05,36.3,36.81,36.27,36.71,USD,NASDAQ
2018-02-06,36.85,36.92,36.25,36.28,USD,NASDAQ
2018-02-07,36.34,36.34,35.6,35.63,USD,NASDAQ
2018-02-08,35.54,35.62,34.74,35.16,USD,NASDAQ
2018-02-11,35.43,35.55,35.39,35.44,USD,NASDAQ
2018-02-12,35.43,35.55,35.27,35.55,USD,NASDAQ
2018-02-13,35.3,36.17,35.19,36.16,USD,NASDAQ
2018-02-14,36.16,36.37,35.8,36.34,USD,NASDAQ
2018-02-15,36.27,36.55,36.23,36.45,USD,NASDAQ
2018-02-19,36.67,36.7,36.37,36.43,USD,NASDAQ
2018-02-20,36.46,36.65,36.31,36.31,USD,NASDAQ
2018-02-21,36.57,36.86,36.46,36.75,USD,NASDAQ
2018-02-22,36.69,37.21,36.69,37.21,USD,NASDAQ
2018-02-25,37.27,37.41,37.1,37.39,USD,NASDAQ
2018-02-26,37.38,37.38,36.95,37.01,USD,NASDAQ
2018-02-27,37.1,37.12,36.4,36.41,USD,NASDAQ
2018-02-28,36.27,36.38,36.0,36.34,USD,NASDAQ
2018-03-01,36.09,36.35,35.83,36.32,USD,NASDAQ
2018-03-04,36.24,36.8,36.14,36.78,USD,NASDAQ
2018-03-05,36.93,36.95,36.73,36.86,USD,NASDAQ
2018-03-06,36.73,36.78,36.28,36.48,USD,NASDAQ
2018-03-07,36.38,36.38,36.1,36.3,USD,NASDAQ
2018-03-08,36.45,36.76,36.41,36.71,USD,NASDAQ
2018-03-11,36.73,36.73,36.45,36.61,USD,NASDAQ
2018-03-12,36.77,36.92,36.48,36.54,USD,NASDAQ
2018-03-13,36.7,36.7,36.39,36.53,USD,NASDAQ
2018-03-14,36.49,36.63,36.39,36.4,USD,NASDAQ
2018-03-15,36.43,36.68,36.32,36.68,USD,NASDAQ
2018-03-18,36.6,36.6,36.22,36.35,USD,NASDAQ
2018-03-19,36.53,36.7,36.52,36.59,USD,NASDAQ
2018-03-20,36.79,37.26,36.78,37.22,USD,NASDAQ
2018-03-21,36.73,36.84,36.56,36.56,USD,NASDAQ
2018-03-22,36.8,36.93,36.74,36.75,USD,NASDAQ
2018-03-25,36.96,36.96,36.74,36.87,USD,NASDAQ
2018-03-26,37.03,37.06,36.7,36.75,USD,NASDAQ
2018-03-27,36.7,36.7,36.33,36.58,USD,NASDAQ
2018-03-28,36.51,36.94,36.51,36.92,USD,NASDAQ
2018-04-01,36.87,36.87,36.15,36.23,USD,NASDAQ
