Date,Open,High,Low,Close,Currency,Exchange
2016-01-03,39.82,39.89,39.6,39.8,USD,NYSE
2016-01-04,39.7,39.82,39.58,39.82,USD,NYSE
2016-01-05,39.52,39.68,39.52,39.61,USD,NYSE
2016-01-06,39.43,39.64,39.34,39.34,USD,NYSE
2016-01-07,39.46,39.54,39.24,39.32,USD,NYSE
2016-01-10,39.37,39.37,39.1,39.13,USD,NYSE
2016-01-11,39.31,39.46,39.14,39.21,USD,NYSE
2016-01-12,39.46,39.59,39.06,39.1,USD,NYSE
2016-01-13,39.44,39.44,39.15,39.31,USD,NYSE
2016-01-14,38.91,39.15,38.6,38.76,USD,NYSE
2016-01-18,38.87,39.03,38.79,38.84,USD,NYSE
2016-01-19,38.57,38.74,38.38,38.62,USD,NYSE
2016-01-20,38.5,38.8,38.37,38.62,USD,NYSE
2016-01-21,38.95,39.24,38.9,39.13,USD,NYSE
2016-01-24,38.95,39.06,38.71,38.79,USD,NYSE
2016-01-25,39.0,39.26,38.95,39.14,USD,NYSE
2016-01-26,39.18,39.28,38.93,38.99,USD,NYSE
2016-01-27,39.34,39.68,39.29,39.41,USD,NYSE
2016-01-28,39.59,39.9,39.59,39.74,USD,NYSE
2016-01-31,39.79,39.79,39.49,39.67,USD,NYSE
2016-02-01,39.53,39.55,39.37,39.4,USD,NYSE
2016-02-02,39.71,39.9,39.3,39.87,USD,NYSE
2016-02-03,40.32,40.48,40.18,40.25,USD,NYSE
2016-02-04,40.11,40.15,39.95,40.07,USD,NYSE
2016-02-07,39.74,39.91,39.63,39.85,USD,NYSE
2016-02-08,39.76,40.04,39.76,39.98,USD,NYSE
2016-02-09,40.13,40.33,40.06,40.21,USD,NYSE
2016-02-10,39.86,40.11,39.79,39.85,USD,NYSE
2016-02-11,39.9,40.18,39.88,40.16,USD,NYSE
2016-02-15,40.01,40.01,39.69,39.81,USD,NYSE
2016-02-16,39.8,40.24,39.8,40.12,USD,NYSE
2016-02-17,40.2,40.2,39.9,39.94,USD,NYSE
2016-02-18,39.77,40.06,39.76,39.99,USD,NYSE
2016-02-21,40.11,40.32,40.07,40.25,USD,NYSE
2016-02-22,40.21,40.21,39.99,40.13,USD,NYSE
2016-02-23,39.81,40.09,39.78,40.05,USD,NYSE
2016-02-24,40.02,40.12,39.95,40.06,USD,NYSE
2016-02-25,40.1,40.1,39.7,39.8,USD,NYSE
2016-02-28,39.95,39.98,39.7,39.77,USD,NYSE
2016-02-29,39.96,40.4,39.94,40.34,USD,NYSE
2016-03-01,40.29,40.45,40.17,40.45,USD,NYSE
2016-03-02,40.54,40.93,40.54,40.84,USD,NYSE
2016-03-03,41.04,41.31,41.0,41.24,USD,NYSE
2016-03-06,41.14,41.27,40.98,41.23,USD,NYSE
2016-03-07,41.18,41.22,40.97,41.05,USD,NYSE
2016-03-08,41.21,41.45,41.21,41.38,USD,NYSE
2016-03-09,41.47,41.57,41.3,41.38,USD,NYSE
2016-03-10,41.8,42.07,41.8,42.01,USD,NYSE
2016-03-13,41.91,41.92,41.69,41.8,USD,NYSE
2016-03-14,41.42,41.56,41.27,41.4,USD,NYSE
2016-03-15,41.17,42.33,41.11,41.82,USD,NYSE
2016-03-16,42.43,42.84,42.35,42.58,USD,NYSE
2016-03-17,43.09,43.11,42.75,42.75,USD,NYSE
2016-03-20,42.77,43.05,42.77,42.98,USD,NYSE
2016-03-21,42.74,43.03,42.69,42.81,USD,NYSE
2016-03-22,42.57,42.71,42.5,42.51,USD,NYSE
2016-03-23,42.32,42.48,42.23,42.48,USD,NYSE
2016-03-27,42.46,42.88,42.46,42.55,USD,NYSE
2016-03-28,42.5,43.03,42.45,42.97,USD,NYSE
2016-03-29,43.31,43.35,43.11,43.11,USD,NYSE
2016-03-30,43.45,43.65,43.3,43.45,USD,NYSE
2016-03-31,43.25,43.76,43.15,43.48,USD,NYSE
2016-04-03,43.41,43.45,43.2,43.32,USD,NYSE
2016-04-04,42.96,43.03,42.87,42.94,USD,NYSE
2016-04-05,42.83,43.17,42.81,43.16,USD,NYSE
2016-04-06,42.91,42.94,42.51,42.7,USD,NYSE
2016-04-07,43.06,43.19,43.02,43.17,USD,NYSE
2016-04-10,43.38,43.59,43.38,43.55,USD,NYSE
2016-04-11,43.59,43.79,43.42,43.79,USD,NYSE
2016-04-12,43.7,43.79,43.54,43.73,USD,NYSE
2016-04-13,43.67,43.74,43.58,43.73,USD,NYSE
2016-04-14,43.7,43.71,43.57,43.71,USD,NYSE
2016-04-17,43.56,43.73,43.49,43.73,USD,NYSE
2016-04-18,44.01,44.18,44.01,44.05,USD,NYSE
2016-04-19,44.05,44.26,44.03,44.19,USD,NYSE
2016-04-20,44.11,44.11,43.84,43.92,USD,NYSE
2016-04-21,43.66,43.78,43.53,43.56,USD,NYSE
2016-04-24,43.52,43.6,43.39,43.4,USD,NYSE
2016-04-25,43.61,43.71,43.59,43.62,USD,NYSE
2016-04-26,43.68,43.86,43.49,43.85,USD,NYSE
2016-04-27,43.9,44.12,43.9,43.93,USD,NYSE
2016-04-28,44.25,44.26,44.08,44.11,USD,NYSE
2016-05-01,44.24,44.43,44.07,44.16,USD,NYSE
2016-05-02,43.96,43.96,43.56,43.57,USD,NYSE
2016-05-03,43.39,43.48,43.26,43.27,USD,NYSE
2016-05-04,43.3,43.31,43.14,43.14,USD,NYSE
2016-05-05,43.13,43.42,43.12,43.31,USD,NYSE
2016-05-08,43.19,43.19,42.85,43.01,USD,NYSE
2016-05-09,43.21,43.32,43.16,43.25,USD,NYSE
2016-05-10,43.25,43.45,43.2,43.35,USD,NYSE
2016-05-11,43.4,43.4,43.13,43.26,USD,NYSE
2016-05-12,43.12,43.19,42.98,43.02,USD,NYSE
2016-05-15,43.0,43.12,43.0,43.04,USD,NYSE
2016-05-16,42.99,43.16,42.97,43.09,USD,NYSE
2016-05-17,42.6,42.75,42.36,42.37,USD,NYSE
2016-05-18,42.16,42.37,42.13,42.25,USD,NYSE
2016-05-19,42.47,42.54,42.3,42.4,USD,NYSE
2016-05-22,42.26,42.4,42.23,42.23,USD,NYSE
2016-05-23,42.44,42.46,42.34,42.41,USD,NYSE
2016-05-24,42.5,42.61,42.41,42.51,USD,NYSE
2016-05-25,42.68,42.77,42.61,42.61,USD,NYSE
2016-05-26,42.67,42.67,42.42,42.54,USD,NYSE
2016-05-30,42.41,42.54,42.29,42.41,USD,NYSE
2016-05-31,42.23,42.47,42.21,42.4,USD,NYSE
2016-06-01,42.46,42.57,42.39,42.52,USD,NYSE
2016-06-02,43.1,43.26,42.9,43.22,USD,NYSE
2016-06-05,43.29,43.4,43.22,43.39,USD,NYSE
2016-06-06,43.58,43.71,43.57,43.68,USD,NYSE
2016-06-07,44.14,44.2,44.01,44.18,USD,NYSE
2016-06-08,44.07,44.07,43.86,43.94,USD,NYSE
2016-06-09,43.71,43.71,43.33,43.46,USD,NYSE
2016-06-12,43.22,43.37,43.22,43.23,USD,NYSE
2016-06-13,42.98,43.06,42.91,42.99,USD,NYSE
2016-06-14,43.06,43.49,43.06,43.37,USD,NYSE
2016-06-15,42.98,43.34,42.88,43.16,USD,NYSE
2016-06-16,43.43,43.55,43.39,43.48,USD,NYSE
2016-06-19,43.93,44.0,43.82,43.88,USD,NYSE
2016-06-20,44.0,44.0,43.74,43.74,USD,NYSE
2016-06-21,44.1,44.18,43.94,44.16,USD,NYSE
2016-06-22,44.46,44.56,44.25,44.55,USD,NYSE
2016-06-23,43.05,43.53,43.05,43.21,USD,NYSE
2016-06-26,43.27,43.31,43.01,43.11,USD,NYSE
2016-06-27,43.61,44.03,43.61,43.83,USD,NYSE
2016-06-28,44.44,44.66,44.29,44.62,USD,NYSE
2016-06-29,44.68,44.92,44.52,44.89,USD,NYSE
2016-06-30,45.05,45.11,44.75,44.94,USD,NYSE
2016-07-04,44.65,44.65,44.04,44.41,USD,NYSE
2016-07-05,44.21,44.34,44.11,44.33,USD,NYSE
2016-07-06,44.38,44.48,44.17,44.2,USD,NYSE
2016-07-07,44.57,44.79,44.54,44.76,USD,NYSE
2016-07-10,44.9,44.9,44.7,44.77,USD,NYSE
2016-07-11,45.0,45.12,44.95,45.06,USD,NYSE
2016-07-12,45.09,45.09,44.9,44.92,USD,NYSE
2016-07-13,45.24,45.37,45.19,45.2,USD,NYSE
2016-07-14,45.23,45.24,45.01,45.1,USD,NYSE
2016-07-17,44.94,45.14,44.81,45.13,USD,NYSE
2016-07-18,44.87,44.97,44.76,44.86,USD,NYSE
2016-07-19,44.78,45.05,44.77,44.88,USD,NYSE
2016-07-20,44.87,44.88,44.73,44.82,USD,NYSE
2016-07-21,44.77,44.88,44.68,44.86,USD,NYSE
2016-07-24,44.73,44.73,44.49,44.5,USD,NYSE
2016-07-25,44.58,44.62,44.47,44.58,USD,NYSE
2016-07-26,44.69,44.78,44.48,44.73,USD,NYSE
2016-07-27,44.76,44.95,44.73,44.77,USD,NYSE
2016-07-28,45.11,45.37,45.1,45.35,USD,NYSE
2016-07-31,45.27,45.29,45.13,45.14,USD,NYSE
2016-08-01,45.39,45.39,45.1,45.1,USD,NYSE
2016-08-02,44.95,45.22,44.95,45.19,USD,NYSE
2016-08-03,45.17,45.4,45.17,45.39,USD,NYSE
2016-08-04,45.38,45.5,45.23,45.4,USD,NYSE
2016-08-07,45.68,45.78,45.62,45.68,USD,NYSE
