Date,Open,High,Low,Close,Currency,Exchange
2016-01-03,34.47,34.47,33.91,34.47,USD,NYSE
2016-01-04,34.14,34.18,33.85,34.17,USD,NYSE
2016-01-05,33.43,33.71,33.38,33.61,USD,NYSE
2016-01-06,33.13,33.51,33.08,33.14,USD,NYSE
2016-01-07,33.44,33.49,32.76,32.84,USD,NYSE
2016-01-10,33.26,33.28,32.76,33.02,USD,NYSE
2016-01-11,33.51,33.55,33.12,33.47,USD,NYSE
2016-01-12,33.56,33.64,32.71,32.81,USD,NYSE
2016-01-13,32.86,33.26,32.62,33.12,USD,NYSE
2016-01-14,32.11,32.34,31.86,31.97,USD,NYSE
2016-01-18,32.37,32.49,32.01,32.24,USD,NYSE
2016-01-19,31.69,31.75,31.01,31.59,USD,NYSE
2016-01-20,31.6,32.12,31.34,31.98,USD,NYSE
2016-01-21,32.74,32.87,32.55,32.77,USD,NYSE
2016-01-24,32.56,32.63,32.33,32.33,USD,NYSE
2016-01-25,32.6,33.04,32.56,33.04,USD,NYSE
2016-01-26,32.89,33.22,32.67,32.74,USD,NYSE
2016-01-27,32.97,33.01,32.43,32.77,USD,NYSE
2016-01-28,32.78,33.23,32.74,33.2,USD,NYSE
2016-01-31,32.92,33.25,32.82,33.12,USD,NYSE
2016-02-01,32.6,32.64,32.12,32.17,USD,NYSE
2016-02-02,32.53,32.7,31.98,32.69,USD,NYSE
2016-02-03,32.48,32.86,32.37,32.76,USD,NYSE
2016-02-04,32.64,32.71,32.12,32.22,USD,NYSE
2016-02-07,31.32,31.45,31.07,31.33,USD,NYSE
2016-02-08,30.72,31.24,30.72,31.08,USD,NYSE
2016-02-09,31.43,31.58,31.17,31.21,USD,NYSE
2016-02-10,30.82,30.94,30.49,30.75,USD,NYSE
2016-02-11,30.82,31.12,30.65,31.12,USD,NYSE
2016-02-15,31.67,32.14,31.34,32.14,USD,NYSE
2016-02-16,32.08,32.47,32.08,32.46,USD,NYSE
2016-02-17,32.45,32.5,32.11,32.18,USD,NYSE
2016-02-18,31.93,32.14,31.77,32.13,USD,NYSE
2016-02-21,32.32,32.5,32.29,32.46,USD,NYSE
2016-02-22,32.33,32.34,31.9,31.97,USD,NYSE
2016-02-23,31.22,31.73,31.06,31.67,USD,NYSE
2016-02-24,31.94,32.08,31.76,32.08,USD,NYSE
2016-02-25,32.26,32.28,31.92,31.98,USD,NYSE
2016-02-28,31.92,32.12,31.8,31.8,USD,NYSE
2016-02-29,32.46,32.85,32.34,32.82,USD,NYSE
2016-03-01,32.59,32.87,32.47,32.87,USD,NYSE
2016-03-02,32.88,33.22,32.81,33.2,USD,NYSE
2016-03-03,33.36,33.51,33.29,33.31,USD,NYSE
2016-03-06,32.89,33.34,32.88,33.27,USD,NYSE
2016-03-07,33.25,33.29,32.95,32.96,USD,NYSE
2016-03-08,33.2,33.28,33.06,33.13,USD,NYSE
2016-03-09,33.71,34.0,32.97,33.29,USD,NYSE
2016-03-10,34.06,34.4,34.03,34.38,USD,NYSE
2016-03-13,34.32,34.45,34.24,34.32,USD,NYSE
2016-03-14,34.08,34.17,33.97,34.15,USD,NYSE
2016-03-15,33.84,34.53,33.84,34.51,USD,NYSE
2016-03-16,34.41,34.63,34.24,34.55,USD,NYSE
2016-03-17,34.6,34.74,34.56,34.66,USD,NYSE
2016-03-20,34.49,34.63,34.42,34.55,USD,NYSE
2016-03-21,34.19,34.52,34.12,34.44,USD,NYSE
2016-03-22,34.46,34.49,34.13,34.17,USD,NYSE
2016-03-23,33.65,33.85,33.64,33.84,USD,NYSE
2016-03-27,33.77,34.02,33.77,33.96,USD,NYSE
2016-03-28,33.84,34.44,33.79,34.42,USD,NYSE
2016-03-29,34.84,35.05,34.77,34.86,USD,NYSE
2016-03-30,34.69,34.79,34.38,34.39,USD,NYSE
2016-03-31,33.79,34.18,33.73,34.11,USD,NYSE
2016-04-03,34.2,34.27,33.98,34.08,USD,NYSE
2016-04-04,33.37,33.45,33.28,33.36,USD,NYSE
2016-04-05,33.38,33.75,33.3,33.74,USD,NYSE
2016-04-06,33.27,33.36,32.91,33.02,USD,NYSE
2016-04-07,33.68,33.79,33.54,33.68,USD,NYSE
2016-04-10,33.98,34.16,33.74,33.74,USD,NYSE
2016-04-11,33.85,34.15,33.61,34.08,USD,NYSE
2016-04-12,34.54,34.73,34.48,34.65,USD,NYSE
2016-04-13,34.77,34.83,34.68,34.69,USD,NYSE
2016-04-14,34.77,34.85,34.64,34.65,USD,NYSE
2016-04-17,34.68,35.09,34.66,35.02,USD,NYSE
2016-04-18,35.62,35.78,35.56,35.76,USD,NYSE
2016-04-19,35.76,35.91,35.65,35.74,USD,NYSE
2016-04-20,35.73,35.78,35.49,35.55,USD,NYSE
2016-04-21,35.42,35.55,35.27,35.39,USD,NYSE
2016-04-24,35.16,35.26,35.08,35.26,USD,NYSE
2016-04-25,35.5,35.52,35.32,35.45,USD,NYSE
2016-04-26,35.55,35.73,35.45,35.67,USD,NYSE
2016-04-27,35.29,35.65,35.27,35.4,USD,NYSE
2016-04-28,35.4,35.44,35.12,35.27,USD,NYSE
2016-05-01,35.43,35.57,35.35,35.55,USD,NYSE
2016-05-02,35.13,35.13,34.81,34.84,USD,NYSE
2016-05-03,34.55,34.67,34.39,34.45,USD,NYSE
2016-05-04,34.25,34.36,34.14,34.26,USD,NYSE
2016-05-05,34.14,34.47,34.14,34.46,USD,NYSE
2016-05-08,34.57,34.63,34.36,34.4,USD,NYSE
2016-05-09,34.51,34.75,34.51,34.74,USD,NYSE
2016-05-10,34.46,34.64,34.43,34.48,USD,NYSE
2016-05-11,34.66,34.72,34.16,34.35,USD,NYSE
2016-05-12,34.13,34.32,33.88,33.95,USD,NYSE
2016-05-15,33.95,34.33,33.93,34.28,USD,NYSE
2016-05-16,34.12,34.22,33.85,33.9,USD,NYSE
2016-05-17,33.82,34.25,33.72,33.91,USD,NYSE
2016-05-18,33.7,33.75,33.56,33.68,USD,NYSE
2016-05-19,34.0,34.11,33.95,34.03,USD,NYSE
2016-05-22,33.84,33.97,33.79,33.88,USD,NYSE
2016-05-23,34.18,34.57,34.18,34.51,USD,NYSE
2016-05-24,34.88,35.01,34.83,34.9,USD,NYSE
2016-05-25,35.22,35.27,35.09,35.17,USD,NYSE
2016-05-26,35.11,35.13,34.98,35.06,USD,NYSE
2016-05-30,35.22,35.3,33.99,33.99,USD,NYSE
2016-05-31,34.84,35.01,34.75,34.98,USD,NYSE
2016-06-01,34.91,35.03,34.79,35.02,USD,NYSE
2016-06-02,35.11,35.18,34.88,35.14,USD,NYSE
2016-06-05,35.19,35.31,35.12,35.22,USD,NYSE
2016-06-06,35.62,35.66,35.55,35.55,USD,NYSE
2016-06-07,35.61,35.65,35.48,35.62,USD,NYSE
2016-06-08,35.01,35.17,34.94,35.03,USD,NYSE
2016-06-09,34.1,34.18,33.72,33.8,USD,NYSE
2016-06-12,33.26,33.61,33.13,33.23,USD,NYSE
2016-06-13,32.82,32.9,32.46,32.69,USD,NYSE
2016-06-14,32.92,33.14,32.81,32.87,USD,NYSE
2016-06-15,32.35,33.11,32.09,33.09,USD,NYSE
2016-06-16,33.26,33.57,33.06,33.51,USD,NYSE
2016-06-19,34.54,34.58,34.25,34.25,USD,NYSE
2016-06-20,34.49,34.81,34.31,34.63,USD,NYSE
2016-06-21,34.0,34.09,33.74,33.74,USD,NYSE
2016-06-22,34.55,35.05,34.29,34.92,USD,NYSE
2016-06-23,31.31,31.85,30.84,30.9,USD,NYSE
2016-06-26,30.38,30.38,29.71,30.24,USD,NYSE
2016-06-27,31.03,31.06,30.68,31.04,USD,NYSE
2016-06-28,31.63,31.69,31.47,31.63,USD,NYSE
2016-06-29,31.76,32.31,31.65,32.27,USD,NYSE
2016-06-30,32.45,32.46,32.25,32.29,USD,NYSE
2016-07-04,31.75,31.75,31.17,31.26,USD,NYSE
2016-07-05,30.94,31.19,30.58,31.16,USD,NYSE
2016-07-06,31.15,31.31,30.82,30.96,USD,NYSE
2016-07-07,31.61,31.68,31.49,31.63,USD,NYSE
2016-07-10,32.1,32.23,32.04,32.05,USD,NYSE
2016-07-11,32.79,32.81,32.62,32.62,USD,NYSE
2016-07-12,32.79,32.91,32.67,32.7,USD,NYSE
2016-07-13,33.11,33.24,33.06,33.08,USD,NYSE
2016-07-14,32.96,33.0,32.81,32.89,USD,NYSE
2016-07-17,32.76,33.05,32.67,32.87,USD,NYSE
2016-07-18,32.55,32.63,32.5,32.63,USD,NYSE
2016-07-19,32.84,32.96,32.78,32.91,USD,NYSE
2016-07-20,32.89,33.02,32.78,32.83,USD,NYSE
