Date,Open,High,Low,Close,Currency,Exchange
2018-01-15,191.67,191.89,189.61,189.73,USD,NYSE
2018-01-16,190.44,191.8,190.44,191.61,USD,NYSE
2018-01-17,191.52,191.52,190.78,190.95,USD,NYSE
2018-01-18,191.35,192.43,191.35,192.41,USD,NYSE
2018-01-21,192.6,193.26,192.27,193.26,USD,NYSE
2018-01-22,193.36,193.96,193.13,193.87,USD,NYSE
2018-01-23,194.28,194.68,193.21,193.77,USD,NYSE
2018-01-24,194.73,194.73,193.0,193.37,USD,NYSE
2018-01-25,194.17,194.75,193.84,194.75,USD,NYSE
2018-01-28,194.82,194.94,193.55,193.71,USD,NYSE
2018-01-29,192.3,192.6,191.84,191.99,USD,NYSE
2018-01-30,192.66,192.81,191.01,191.69,USD,NYSE
2018-01-31,190.9,192.15,190.86,191.55,USD,NYSE
2018-02-01,190.21,190.21,187.57,187.96,USD,NYSE
2018-02-04,186.29,187.72,180.89,180.89,USD,NYSE
2018-02-05,177.49,183.5,175.28,182.9,USD,NYSE
2018-02-06,182.9,185.31,182.53,183.57,USD,NYSE
2018-02-07,183.05,183.05,177.53,177.53,USD,NYSE
2018-02-08,178.85,179.84,174.13,179.02,USD,NYSE
2018-02-11,180.12,181.98,178.94,181.24,USD,NYSE
2018-02-12,180.41,181.81,180.4,181.63,USD,NYSE
2018-02-13,180.45,184.14,180.45,184.04,USD,NYSE
2018-02-14,185.13,185.86,183.93,185.49,USD,NYSE
2018-02-15,185.39,186.97,185.39,186.19,USD,NYSE
2018-02-19,185.57,186.4,184.44,184.47,USD,NYSE
2018-02-20,184.98,186.79,183.98,183.98,USD,NYSE
2018-02-21,184.52,185.13,183.94,184.08,USD,NYSE
2018-02-22,184.2,185.61,184.2,185.56,USD,NYSE
2018-02-25,186.29,187.0,185.66,186.75,USD,NYSE
2018-02-26,187.14,187.33,184.92,184.95,USD,NYSE
2018-02-27,185.21,185.73,183.18,183.18,USD,NYSE
2018-02-28,182.68,183.47,180.89,181.6,USD,NYSE
2018-03-01,180.37,182.88,180.37,182.88,USD,NYSE
2018-03-04,181.61,184.49,181.61,184.49,USD,NYSE
2018-03-05,185.05,185.69,183.79,185.57,USD,NYSE
2018-03-06,184.0,185.41,184.0,185.41,USD,NYSE
2018-03-07,186.0,186.04,185.03,185.79,USD,NYSE
2018-03-08,186.96,188.66,186.35,188.63,USD,NYSE
2018-03-11,189.0,189.0,188.27,188.7,USD,NYSE
2018-03-12,189.48,189.48,187.41,187.65,USD,NYSE
2018-03-13,188.4,188.4,186.29,186.29,USD,NYSE
2018-03-14,187.07,187.08,185.91,186.28,USD,NYSE
2018-03-15,186.29,187.35,186.29,187.18,USD,NYSE
2018-03-18,186.73,186.73,184.38,185.26,USD,NYSE
2018-03-19,185.73,185.89,185.01,185.3,USD,NYSE
2018-03-20,185.25,186.54,185.25,185.75,USD,NYSE
2018-03-21,183.22,183.95,180.51,180.57,USD,NYSE
2018-03-22,180.8,181.13,176.99,176.99,USD,NYSE
2018-03-25,179.29,180.86,178.77,180.86,USD,NYSE
2018-03-26,181.56,181.73,178.24,178.86,USD,NYSE
2018-03-27,179.21,180.01,178.68,179.47,USD,NYSE
2018-03-28,179.9,181.91,179.9,181.36,USD,NYSE
2018-04-01,180.69,180.69,175.71,177.09,USD,NYSE
2018-04-02,177.64,179.31,177.32,179.04,USD,NYSE
2018-04-03,176.77,181.35,176.77,181.35,USD,NYSE
2018-04-04,182.21,182.49,181.82,182.34,USD,NYSE
2018-04-05,180.76,181.4,177.35,178.47,USD,NYSE
2018-04-08,179.55,181.0,178.68,178.7,USD,NYSE
2018-04-09,180.66,181.4,180.0,180.78,USD,NYSE
2018-04-10,179.89,180.83,179.89,180.19,USD,NYSE
2018-04-11,180.84,181.55,180.84,181.07,USD,NYSE
2018-04-12,182.0,182.0,179.96,180.44,USD,NYSE
2018-04-15,181.0,182.71,180.98,182.32,USD,NYSE
2018-04-16,183.26,183.83,183.26,183.6,USD,NYSE
2018-04-17,183.73,184.74,183.73,183.89,USD,NYSE
2018-04-18,183.46,183.46,181.71,182.34,USD,NYSE
2018-04-19,182.5,182.68,180.58,181.01,USD,NYSE
2018-04-22,181.42,182.08,180.72,181.41,USD,NYSE
2018-04-23,182.22,182.46,179.02,179.97,USD,NYSE
2018-04-24,179.74,180.88,179.5,180.44,USD,NYSE
2018-04-25,181.45,181.77,181.09,181.6,USD,NYSE
2018-04-26,181.63,182.5,181.63,182.25,USD,NYSE
2018-04-29,183.55,183.55,180.23,180.23,USD,NYSE
2018-04-30,179.98,180.59,178.91,180.59,USD,NYSE
2018-05-01,179.85,180.69,179.85,180.46,USD,NYSE
2018-05-02,178.99,179.22,177.1,178.74,USD,NYSE
2018-05-03,178.14,181.62,178.14,180.87,USD,NYSE
2018-05-06,181.53,181.92,181.22,181.53,USD,NYSE
2018-05-07,181.3,181.99,181.08,181.58,USD,NYSE
2018-05-08,182.17,183.2,181.65,182.87,USD,NYSE
