Date,Open,High,Low,Close,Currency,Exchange
2018-01-16,69.57,69.6,68.27,68.31,USD,NYSE
2018-01-17,68.34,69.5,68.06,68.97,USD,NYSE
2018-01-18,68.68,69.09,68.22,68.49,USD,NYSE
2018-01-19,68.0,68.43,67.98,68.4,USD,NYSE
2018-01-22,68.28,69.95,68.28,69.95,USD,NYSE
2018-01-23,70.0,70.36,69.56,70.13,USD,NYSE
2018-01-24,70.11,70.54,69.58,69.89,USD,NYSE
2018-01-25,70.31,70.31,68.84,68.98,USD,NYSE
2018-01-26,69.28,69.68,68.98,69.49,USD,NYSE
2018-01-29,69.45,69.46,68.25,68.34,USD,NYSE
2018-01-30,67.5,67.5,66.26,66.54,USD,NYSE
2018-01-31,66.64,66.87,66.21,66.58,USD,NYSE
2018-02-01,67.13,67.16,66.05,66.87,USD,NYSE
2018-02-02,66.26,66.26,64.38,64.5,USD,NYSE
2018-02-05,64.0,64.85,61.81,62.41,USD,NYSE
2018-02-06,60.86,63.27,60.58,62.95,USD,NYSE
2018-02-07,63.02,64.09,61.79,61.82,USD,NYSE
2018-02-08,61.81,62.21,59.29,59.29,USD,NYSE
2018-02-09,59.85,59.85,56.92,59.09,USD,NYSE
2018-02-12,59.77,61.13,59.77,60.6,USD,NYSE
2018-02-13,60.23,60.59,59.96,60.27,USD,NYSE
2018-02-14,59.55,62.5,59.55,62.35,USD,NYSE
2018-02-15,62.36,62.5,61.33,62.27,USD,NYSE
2018-02-16,62.23,62.77,61.75,62.04,USD,NYSE
2018-02-20,62.05,62.54,61.7,61.97,USD,NYSE
2018-02-21,61.76,62.22,60.61,60.63,USD,NYSE
2018-02-22,61.11,62.29,60.89,61.39,USD,NYSE
2018-02-23,61.88,62.84,61.43,62.8,USD,NYSE
2018-02-26,63.03,63.31,62.7,62.99,USD,NYSE
2018-02-27,63.0,63.41,61.86,61.87,USD,NYSE
2018-02-28,61.96,62.24,60.2,60.2,USD,NYSE
2018-03-01,60.06,61.08,59.85,60.41,USD,NYSE
2018-03-02,59.76,61.23,59.36,61.13,USD,NYSE
2018-03-05,60.77,62.25,60.77,61.94,USD,NYSE
2018-03-06,62.46,62.46,61.58,61.72,USD,NYSE
2018-03-07,61.29,62.17,60.94,61.4,USD,NYSE
2018-03-08,61.46,61.69,60.98,61.45,USD,NYSE
2018-03-09,62.03,62.77,62.03,62.62,USD,NYSE
2018-03-12,62.59,63.07,62.02,62.36,USD,NYSE
2018-03-13,62.47,62.9,61.78,62.03,USD,NYSE
2018-03-14,62.18,62.46,61.83,61.88,USD,NYSE
2018-03-15,62.3,62.38,60.93,61.27,USD,NYSE
2018-03-16,61.28,62.36,61.23,62.09,USD,NYSE
2018-03-19,61.96,62.2,60.38,60.77,USD,NYSE
2018-03-20,61.33,62.35,61.33,61.89,USD,NYSE
2018-03-21,62.37,64.41,62.36,64.04,USD,NYSE
2018-03-22,63.55,63.65,62.74,62.94,USD,NYSE
2018-03-23,63.26,64.4,62.72,62.85,USD,NYSE
2018-03-26,63.6,64.2,62.86,64.19,USD,NYSE
2018-03-27,64.3,64.31,62.86,63.18,USD,NYSE
2018-03-28,63.18,63.24,61.91,62.13,USD,NYSE
2018-03-29,62.11,63.74,62.11,63.56,USD,NYSE
2018-04-02,63.96,63.96,60.58,61.7,USD,NYSE
2018-04-03,61.86,62.93,61.23,62.89,USD,NYSE
2018-04-04,61.68,62.87,61.3,62.78,USD,NYSE
2018-04-05,62.7,64.55,62.7,64.13,USD,NYSE
2018-04-06,63.61,63.76,61.58,62.64,USD,NYSE
2018-04-09,63.07,63.9,62.92,62.92,USD,NYSE
2018-04-10,63.99,65.83,63.99,65.35,USD,NYSE
2018-04-11,65.27,66.55,65.27,66.4,USD,NYSE
2018-04-12,66.38,66.7,66.04,66.3,USD,NYSE
2018-04-13,66.7,67.76,66.66,67.44,USD,NYSE
2018-04-16,67.43,68.58,67.36,68.35,USD,NYSE
2018-04-17,68.47,69.12,68.13,68.89,USD,NYSE
2018-04-18,69.73,70.96,69.46,70.22,USD,NYSE
2018-04-19,70.5,70.81,69.7,70.24,USD,NYSE
2018-04-20,69.94,70.46,69.64,70.13,USD,NYSE
2018-04-23,69.89,70.54,69.34,70.53,USD,NYSE
2018-04-24,70.69,71.3,69.24,69.6,USD,NYSE
2018-04-25,69.51,70.35,69.0,70.23,USD,NYSE
2018-04-26,70.73,71.65,70.37,71.52,USD,NYSE
2018-04-27,71.36,71.36,70.34,70.45,USD,NYSE
2018-04-30,70.42,71.73,70.22,70.92,USD,NYSE
2018-05-01,70.7,70.83,69.72,70.58,USD,NYSE
2018-05-02,70.65,71.77,70.65,71.15,USD,NYSE
2018-05-03,71.1,71.1,69.81,70.69,USD,NYSE
2018-05-04,70.61,71.44,70.25,71.28,USD,NYSE
2018-05-07,71.97,73.19,71.35,71.45,USD,NYSE
2018-05-08,71.49,72.43,69.93,72.43,USD,NYSE
2018-05-09,73.38,74.66,73.38,73.58,USD,NYSE
2018-05-10,74.01,74.13,73.43,73.9,USD,NYSE
2018-05-11,73.9,74.07,73.25,73.43,USD,NYSE
2018-05-14,73.52,74.34,73.52,74.07,USD,NYSE
2018-05-15,74.19,74.5,73.47,74.37,USD,NYSE
2018-05-16,74.36,74.71,73.86,74.64,USD,NYSE
2018-05-17,75.01,76.85,75.0,76.75,USD,NYSE
2018-05-18,76.55,76.71,75.95,76.13,USD,NYSE
2018-05-21,76.82,77.21,76.31,77.17,USD,NYSE
2018-05-22,77.5,77.84,75.41,75.63,USD,NYSE
2018-05-23,75.0,75.5,74.24,75.2,USD,NYSE
2018-05-24,74.17,74.8,73.67,74.32,USD,NYSE
2018-05-25,72.83,73.14,71.11,72.29,USD,NYSE
2018-05-29,71.59,72.88,71.47,72.46,USD,NYSE
2018-05-30,72.97,75.16,72.97,74.8,USD,NYSE
2018-05-31,74.12,75.68,73.95,73.96,USD,NYSE
2018-06-01,74.04,74.98,73.72,74.37,USD,NYSE
2018-06-04,74.82,75.4,73.23,73.48,USD,NYSE
2018-06-05,73.02,73.63,72.51,73.01,USD,NYSE
2018-06-06,73.15,73.52,72.28,72.84,USD,NYSE
2018-06-07,73.04,74.55,73.04,74.18,USD,NYSE
2018-06-08,74.11,74.13,73.3,73.88,USD,NYSE
2018-06-11,73.59,74.75,73.59,74.33,USD,NYSE
2018-06-12,74.49,74.52,73.61,73.77,USD,NYSE
2018-06-13,73.56,74.21,73.15,73.79,USD,NYSE
