Date,Open,High,Low,Close,Volume,Currency
2016-01-04,27.0,27.48,26.53,26.94,2043081,USD
2016-01-05,26.98,27.68,26.84,27.62,2388479,USD
2016-01-06,27.96,28.84,27.91,28.45,2857527,USD
2016-01-07,28.96,30.29,28.72,29.99,3579049,USD
2016-01-08,29.09,30.07,29.04,29.56,3011343,USD
2016-01-11,29.62,30.0,28.19,28.59,2351460,USD
2016-01-12,28.06,28.64,27.7,28.53,3374423,USD
2016-01-13,28.29,29.01,27.9,28.98,3441399,USD
2016-01-14,28.91,29.31,27.26,27.87,4300338,USD
2016-01-15,28.93,29.05,27.76,28.01,3700968,USD
2016-01-19,28.09,28.16,26.23,26.78,3927851,USD
2016-01-20,27.23,27.33,26.39,26.87,3180217,USD
2016-01-21,26.61,27.41,26.09,27.24,2594275,USD
2016-01-22,26.87,27.54,26.21,27.28,2516638,USD
2016-01-25,27.81,28.18,27.45,27.9,2460427,USD
2016-01-26,28.57,29.18,28.28,28.75,3009113,USD
2016-01-27,28.51,29.2,28.2,28.95,2714484,USD
2016-01-28,28.59,29.42,28.0,28.97,2746749,USD
2016-01-29,28.89,29.77,28.58,29.44,2706929,USD
2016-02-01,29.89,30.46,29.57,30.07,2458066,USD
2016-02-02,29.57,29.93,28.95,29.76,2298318,USD
2016-02-03,29.9,31.6,29.8,31.4,4223715,USD
2016-02-04,32.28,33.31,32.26,32.73,5251711,USD
2016-02-05,31.8,33.57,31.55,33.51,3900280,USD
2016-02-08,34.15,35.52,33.9,33.91,5137034,USD
2016-02-09,34.54,34.82,32.73,33.11,4449983,USD
2016-02-10,32.64,33.71,31.84,33.3,4148792,USD
2016-02-11,35.31,36.53,34.81,35.33,6682675,USD
2016-02-12,34.9,35.9,34.05,35.64,3168390,USD
2016-02-16,34.29,34.9,33.65,34.12,3906163,USD
2016-02-17,34.19,34.48,33.33,33.9,2809075,USD
2016-02-18,33.68,35.24,33.47,35.06,2977038,USD
2016-02-19,34.95,35.55,34.51,34.63,2291877,USD
2016-02-22,33.94,35.0,33.87,34.65,2739350,USD
2016-02-23,35.17,35.54,34.72,35.25,2113156,USD
2016-02-24,36.04,37.24,34.86,35.21,4023386,USD
2016-02-25,34.82,35.88,34.75,35.63,2535895,USD
2016-02-26,34.61,35.52,34.34,34.55,2605678,USD
2016-02-29,34.86,35.41,34.58,35.2,2750729,USD
2016-03-01,35.34,35.42,33.4,33.45,3081320,USD
2016-03-02,33.54,34.11,33.02,33.89,3137820,USD
2016-03-03,33.96,34.84,33.75,34.35,2693207,USD
2016-03-04,34.66,36.22,34.04,34.3,4355542,USD
2016-03-07,34.82,35.6,34.64,35.22,3187435,USD
2016-03-08,35.48,35.64,33.88,34.12,2956786,USD
2016-03-09,33.44,34.56,32.87,34.24,2937935,USD
2016-03-10,34.67,36.53,34.38,36.41,4296712,USD
2016-03-11,36.3,36.79,35.52,35.72,2586315,USD
2016-03-14,35.92,36.2,34.98,35.07,3041085,USD
2016-03-15,34.64,35.9,34.44,35.77,2451166,USD
2016-03-16,35.65,37.85,34.89,37.81,4113926,USD
2016-03-17,38.51,39.49,37.9,38.04,4865607,USD
2016-03-18,37.59,38.69,37.57,37.99,3055962,USD
2016-03-21,37.81,38.44,37.38,38.07,1785870,USD
2016-03-22,38.46,38.69,37.19,37.51,2153545,USD
2016-03-23,36.38,36.7,35.31,35.45,3147334,USD
2016-03-24,35.58,36.25,35.29,36.12,1683219,USD
2016-03-28,36.0,36.13,35.0,36.01,2688979,USD
2016-03-29,36.31,37.65,35.86,37.3,2206991,USD
2016-03-30,37.09,37.3,36.07,36.75,2452842,USD
2016-03-31,36.88,37.29,36.16,36.16,1705180,USD
2016-04-01,35.09,36.54,35.09,36.53,2325095,USD
2016-04-04,36.35,36.67,35.63,35.83,1451846,USD
2016-04-05,36.46,36.55,35.6,36.43,1985444,USD
2016-04-06,36.18,36.69,36.01,36.52,1595368,USD
2016-04-07,37.27,38.42,37.01,37.87,2793161,USD
2016-04-08,37.78,38.91,37.75,38.47,1906872,USD
2016-04-11,39.17,40.82,39.07,40.58,3120243,USD
