Date,Open,High,Low,Close,Volume,Currency
2016-01-04,30.76,30.76,29.6,29.88,757819,USD
2016-01-05,29.91,31.04,29.77,29.89,736825,USD
2016-01-06,29.62,30.03,28.68,29.18,744800,USD
2016-01-07,28.64,28.71,27.68,27.88,1002239,USD
2016-01-08,28.25,28.42,27.12,27.17,740203,USD
2016-01-11,27.36,27.69,26.35,26.69,701499,USD
2016-01-12,27.07,27.54,26.05,26.47,646165,USD
2016-01-13,26.55,26.69,24.28,24.9,1133483,USD
2016-01-14,25.64,27.7,25.59,27.24,1336282,USD
2016-01-15,26.44,27.25,26.03,27.17,1122863,USD
2016-01-19,27.59,28.54,27.14,27.75,1122605,USD
2016-01-20,27.22,28.05,25.84,27.84,1349613,USD
2016-01-21,27.77,28.6,27.64,28.02,866510,USD
2016-01-22,28.5,28.88,28.03,28.48,474370,USD
2016-01-25,28.39,29.21,28.08,28.36,610127,USD
2016-01-26,28.39,28.52,27.64,28.24,499898,USD
2016-01-27,28.24,28.37,27.31,27.48,429098,USD
2016-01-28,27.5,28.39,27.01,27.1,739591,USD
2016-01-29,27.2,28.2,27.2,28.17,666999,USD
2016-02-01,28.07,28.54,27.74,28.01,689515,USD
2016-02-02,27.78,27.78,26.48,26.83,818008,USD
2016-02-03,27.03,27.1,24.75,25.27,1168744,USD
2016-02-04,25.12,25.98,24.84,25.31,476999,USD
2016-02-05,25.26,25.3,22.7,23.5,1032167,USD
2016-02-08,22.64,23.17,21.24,21.89,1202220,USD
2016-02-09,21.59,23.94,21.25,23.04,1417292,USD
2016-02-10,23.31,24.34,23.09,23.39,790065,USD
2016-02-11,22.9,23.24,22.2,22.58,748950,USD
2016-02-12,22.87,23.22,22.67,23.16,704096,USD
2016-02-16,23.54,24.52,23.24,24.13,1322619,USD
2016-02-17,24.32,25.33,23.7,25.0,1330352,USD
2016-02-18,25.17,25.73,24.66,25.05,1317377,USD
2016-02-19,28.55,29.4,26.13,27.92,4247398,USD
2016-02-22,28.04,29.14,27.53,28.95,1756468,USD
2016-02-23,28.76,28.93,27.85,28.53,849774,USD
2016-02-24,27.95,28.64,27.92,28.56,740836,USD
2016-02-25,28.89,29.2,28.57,29.05,1021465,USD
2016-02-26,29.16,29.48,28.56,28.69,790038,USD
2016-02-29,28.68,28.74,28.38,28.43,641405,USD
2016-03-01,28.57,29.41,28.26,29.41,614447,USD
2016-03-02,29.37,29.72,28.78,29.53,637330,USD
2016-03-03,29.44,31.23,29.36,30.68,1198405,USD
2016-03-04,30.68,31.59,30.39,31.06,1392032,USD
2016-03-07,31.11,32.26,31.0,31.82,1248701,USD
2016-03-08,31.56,31.85,30.88,31.32,757132,USD
2016-03-09,31.68,32.34,31.28,32.09,786573,USD
2016-03-10,32.11,32.32,30.01,30.49,952860,USD
2016-03-11,30.72,32.27,30.6,32.24,629828,USD
2016-03-14,32.19,32.32,31.61,31.98,497009,USD
2016-03-15,31.74,31.82,31.04,31.67,703459,USD
2016-03-16,31.51,32.17,31.5,31.95,413948,USD
2016-03-17,31.82,32.15,30.8,31.92,691600,USD
2016-03-18,32.12,33.3,31.93,32.44,884401,USD
2016-03-21,32.48,32.76,31.9,32.28,619060,USD
2016-03-22,32.14,32.63,31.92,32.44,643022,USD
2016-03-23,32.41,32.72,31.86,32.06,529370,USD
2016-03-24,31.87,31.97,30.59,31.9,560700,USD
2016-03-28,32.21,32.39,31.5,32.02,683558,USD
2016-03-29,31.84,32.46,31.51,32.45,1271734,USD
