Date,Open,High,Low,Close,Volume,Currency
2016-01-04,6.24,6.83,6.16,6.63,124895,USD
2016-01-05,6.6,6.86,6.43,6.82,103172,USD
2016-01-06,6.68,6.73,6.46,6.48,85169,USD
2016-01-07,6.38,6.6,6.09,6.19,97463,USD
2016-01-08,6.2,6.36,5.89,5.97,101274,USD
2016-01-11,6.06,6.07,5.55,5.78,163054,USD
2016-01-12,5.85,6.01,5.67,5.81,66820,USD
2016-01-13,5.99,6.42,5.82,5.86,117462,USD
2016-01-14,5.84,6.08,5.35,5.81,96039,USD
2016-01-15,5.66,6.57,5.53,6.39,137258,USD
2016-01-19,6.5,6.91,5.74,5.79,117186,USD
2016-01-20,5.53,6.17,5.28,6.14,274981,USD
2016-01-21,6.09,6.25,5.78,5.98,85666,USD
2016-01-22,6.0,6.37,5.86,6.3,138568,USD
2016-01-25,6.26,6.39,5.77,5.85,55770,USD
2016-01-26,5.85,6.16,5.7,6.03,81791,USD
2016-01-27,5.98,6.13,5.9,5.97,35252,USD
2016-01-28,5.95,6.01,5.8,5.82,26272,USD
2016-01-29,5.78,6.35,5.78,6.27,75573,USD
2016-02-01,6.21,6.21,5.91,6.04,34164,USD
2016-02-02,6.01,6.54,6.01,6.35,58145,USD
2016-02-03,6.4,6.42,6.13,6.38,43965,USD
2016-02-04,6.38,6.86,6.2,6.81,127482,USD
2016-02-05,6.85,6.85,6.73,6.76,72288,USD
2016-02-08,6.74,6.75,6.41,6.6,95804,USD
2016-02-09,6.54,6.74,6.29,6.51,126949,USD
2016-02-10,6.61,6.73,6.39,6.52,41609,USD
2016-02-11,6.44,6.44,5.9,5.9,62058,USD
2016-02-12,5.87,6.12,5.55,5.61,107326,USD
2016-02-16,5.75,6.03,5.74,5.89,31564,USD
2016-02-17,5.92,6.15,5.89,6.02,32211,USD
2016-02-18,6.05,6.1,5.95,5.97,22956,USD
2016-02-19,5.87,6.04,5.84,5.9,52605,USD
2016-02-22,5.91,6.15,5.91,6.14,18500,USD
2016-02-23,6.08,6.13,5.95,6.01,22037,USD
2016-02-24,5.96,6.43,5.84,6.26,35984,USD
2016-02-25,6.21,6.41,6.1,6.33,22790,USD
2016-02-26,6.43,6.59,6.08,6.53,46504,USD
2016-02-29,6.53,6.86,6.5,6.85,99998,USD
2016-03-01,6.86,7.04,6.78,6.84,80940,USD
2016-03-02,6.84,7.43,6.84,7.29,118837,USD
2016-03-03,7.32,7.88,7.32,7.55,93871,USD
2016-03-04,7.56,7.79,7.27,7.41,65266,USD
2016-03-07,7.27,8.03,7.27,7.96,103748,USD
2016-03-08,8.03,9.05,8.03,8.69,318840,USD
2016-03-09,8.57,8.88,8.38,8.41,80771,USD
2016-03-10,8.48,8.65,7.58,7.76,136004,USD
2016-03-11,7.86,8.02,7.65,7.69,65610,USD
2016-03-14,7.63,7.83,7.5,7.53,48795,USD
2016-03-15,7.44,7.53,7.33,7.38,39950,USD
2016-03-16,7.39,7.5,7.2,7.36,69205,USD
2016-03-17,7.35,7.68,7.26,7.41,52874,USD
2016-03-18,7.5,7.75,7.5,7.64,63496,USD
2016-03-21,7.64,8.06,7.59,7.72,78737,USD
2016-03-22,7.78,7.81,7.65,7.7,16476,USD
2016-03-23,7.65,7.93,7.33,7.44,68202,USD
2016-03-24,7.32,7.47,7.32,7.45,19529,USD
2016-03-28,7.51,7.72,7.26,7.3,26947,USD
2016-03-29,7.18,7.55,7.15,7.51,53430,USD
2016-03-30,7.54,7.77,7.35,7.52,29154,USD
2016-03-31,7.52,7.65,7.43,7.6,34053,USD
2016-04-01,7.44,8.17,7.44,8.07,89995,USD
2016-04-04,8.1,8.25,7.8,8.0,63043,USD
2016-04-05,7.93,8.44,7.82,8.22,129376,USD
2016-04-06,8.24,8.48,8.11,8.47,87456,USD
2016-04-07,8.5,8.65,8.32,8.64,64288,USD
2016-04-08,8.67,8.9,8.11,8.25,86353,USD
2016-04-11,8.27,8.31,7.78,7.93,80011,USD
2016-04-12,7.93,8.11,7.92,7.99,24178,USD
2016-04-13,8.07,8.18,7.87,8.1,29171,USD
2016-04-14,8.08,8.42,7.97,8.22,36941,USD
2016-04-15,8.26,8.41,8.01,8.25,26448,USD
2016-04-18,8.19,8.36,7.98,8.31,43756,USD
2016-04-19,8.35,8.92,8.35,8.57,35432,USD
2016-04-20,8.67,9.05,8.46,8.73,46170,USD
2016-04-21,8.67,8.89,8.51,8.67,47290,USD
2016-04-22,8.74,8.94,8.68,8.79,25892,USD
2016-04-25,8.82,9.0,8.63,8.97,30977,USD
2016-04-26,9.0,9.85,8.86,9.76,189838,USD
2016-04-27,9.86,10.02,9.66,9.79,82319,USD
2016-04-28,9.84,9.86,9.48,9.61,56692,USD
2016-04-29,9.55,10.15,9.55,9.96,90698,USD
2016-05-02,10.01,11.15,9.91,10.89,268896,USD
2016-05-03,10.62,11.15,10.31,10.76,139551,USD
2016-05-04,10.86,11.94,10.54,11.73,351725,USD
2016-05-05,11.59,12.5,11.31,11.9,340731,USD
2016-05-06,11.9,11.9,10.96,11.44,126251,USD
2016-05-09,11.42,11.42,10.69,11.11,99173,USD
2016-05-10,11.17,11.59,11.08,11.36,71318,USD
2016-05-11,11.4,11.82,11.12,11.5,70110,USD
2016-05-12,11.56,11.74,10.82,10.98,141828,USD
2016-05-13,11.01,11.53,10.4,10.54,73213,USD
2016-05-16,10.02,11.0,10.02,10.85,132674,USD
2016-05-17,10.88,11.15,10.05,10.19,65175,USD
2016-05-18,10.0,10.46,9.84,10.04,103603,USD
2016-05-19,10.3,10.95,10.27,10.77,124056,USD
2016-05-20,10.77,11.05,10.53,10.57,66147,USD
2016-05-23,10.57,10.96,10.57,10.7,70230,USD
2016-05-24,10.82,11.0,10.44,10.49,81308,USD
2016-05-25,10.49,10.83,10.0,10.62,74222,USD
2016-05-26,10.53,10.83,10.1,10.45,86766,USD
2016-05-27,10.4,10.62,10.2,10.45,99213,USD
2016-05-31,10.19,10.22,9.25,9.77,258389,USD
2016-06-01,9.75,9.76,8.86,9.26,359693,USD
2016-06-02,8.96,9.25,8.7,8.75,248927,USD
2016-06-03,8.95,8.97,8.5,8.66,169906,USD
2016-06-06,8.65,8.78,8.12,8.17,252807,USD
2016-06-07,8.19,8.49,7.93,8.37,210920,USD
2016-06-08,8.42,8.86,8.42,8.75,165537,USD
2016-06-09,8.67,9.14,8.67,9.09,200641,USD
2016-06-10,9.1,9.2,8.52,8.81,208721,USD
2016-06-13,8.73,9.11,8.51,8.59,95412,USD
2016-06-14,8.42,8.91,8.42,8.6,90233,USD
2016-06-15,8.62,8.96,8.35,8.56,245339,USD
2016-06-16,8.31,8.56,8.15,8.32,95398,USD
2016-06-17,8.25,8.45,8.2,8.27,85990,USD
2016-06-20,8.34,8.61,8.22,8.37,70383,USD
2016-06-21,8.53,9.1,8.53,8.9,154191,USD
2016-06-22,8.88,9.13,8.48,8.57,111087,USD
2016-06-23,8.63,9.07,8.42,8.73,143823,USD
2016-06-24,8.38,8.46,8.05,8.19,1291027,USD
2016-06-27,8.15,8.25,7.72,7.93,201457,USD
2016-06-28,8.03,8.64,8.03,8.34,193279,USD
2016-06-29,8.43,8.65,8.23,8.57,149462,USD
2016-06-30,8.6,8.63,8.23,8.44,117783,USD
2016-07-01,8.31,8.61,8.26,8.46,88067,USD
2016-07-05,8.35,8.41,8.08,8.36,96632,USD
2016-07-06,8.35,8.51,8.22,8.49,81276,USD
2016-07-07,8.52,8.74,8.31,8.52,128351,USD
2016-07-08,8.61,8.79,8.47,8.71,64968,USD
2016-07-11,8.73,9.48,8.72,9.12,203534,USD
2016-07-12,9.22,9.58,9.2,9.51,111197,USD
2016-07-13,9.56,9.63,9.1,9.28,75656,USD
2016-07-14,9.39,9.39,9.12,9.19,51935,USD
2016-07-15,9.26,9.33,9.01,9.26,59759,USD
2016-07-18,9.2,9.36,9.03,9.29,63773,USD
2016-07-19,9.28,9.32,8.8,8.84,72976,USD
2016-07-20,8.82,9.06,8.62,8.82,91930,USD
2016-07-21,8.83,8.95,8.64,8.79,71188,USD
2016-07-22,8.74,8.85,8.54,8.78,37084,USD
2016-07-25,8.74,8.84,8.56,8.71,29843,USD
2016-07-26,8.68,8.98,8.65,8.83,33126,USD
2016-07-27,8.72,9.13,8.67,9.0,65787,USD
2016-07-28,8.99,9.3,8.99,9.05,53865,USD
2016-07-29,9.05,9.29,8.97,9.18,61203,USD
2016-08-01,9.16,9.28,8.95,9.08,43174,USD
2016-08-02,9.03,9.18,8.9,8.9,37575,USD
2016-08-03,8.8,9.06,8.71,8.89,44804,USD
2016-08-04,8.95,9.07,8.81,8.86,26211,USD
2016-08-05,8.87,9.1,8.83,8.98,53880,USD
2016-08-08,9.02,9.38,8.83,9.3,99998,USD
2016-08-09,9.05,9.1,7.0,7.19,747627,USD
2016-08-10,7.23,7.27,7.13,7.17,196175,USD
