Date,Open,High,Low,Close,Volume,Currency
2016-01-04,13.75,13.9,13.51,13.84,2792820,USD
2016-01-05,13.89,13.9,13.6,13.75,2816607,USD
2016-01-06,13.52,13.61,13.31,13.33,2616901,USD
2016-01-07,13.16,13.16,12.65,12.7,6053244,USD
2016-01-08,12.8,12.81,12.12,12.16,11174177,USD
2016-01-11,12.33,12.46,12.26,12.42,7871001,USD
2016-01-12,12.55,12.75,12.44,12.58,4731510,USD
2016-01-13,12.66,12.78,12.56,12.74,6198503,USD
2016-01-14,12.78,13.09,12.66,13.08,5718233,USD
2016-01-15,12.71,12.75,12.17,12.43,6967599,USD
2016-01-19,12.33,12.67,12.17,12.36,3955213,USD
2016-01-20,12.04,12.48,11.87,12.27,4477708,USD
2016-01-21,12.2,12.64,12.18,12.33,3163102,USD
2016-01-22,12.65,13.0,12.57,12.98,3347498,USD
2016-01-25,12.87,13.04,12.57,12.6,2234579,USD
2016-01-26,13.0,13.37,12.79,13.11,5967723,USD
2016-01-27,13.13,13.57,13.0,13.39,6825382,USD
2016-01-28,13.45,13.73,13.31,13.52,5135631,USD
2016-01-29,13.63,14.14,13.58,14.14,4784470,USD
2016-02-01,13.73,14.17,13.62,14.13,3205196,USD
2016-02-02,13.84,13.89,13.55,13.68,4837208,USD
2016-02-03,13.91,14.2,13.59,14.11,3256822,USD
2016-02-04,14.19,14.84,14.19,14.45,6174580,USD
2016-02-05,14.38,14.42,14.05,14.11,2829430,USD
2016-02-08,13.85,13.95,13.7,13.76,3602208,USD
2016-02-09,13.55,13.95,13.27,13.29,5163843,USD
2016-02-10,13.25,13.26,12.46,12.52,7339068,USD
2016-02-11,12.21,12.43,11.94,12.25,4701477,USD
2016-02-12,12.41,12.74,12.32,12.74,4331230,USD
2016-02-16,13.29,13.44,12.86,13.04,3702120,USD
2016-02-17,13.2,13.66,13.18,13.47,3937236,USD
2016-02-18,13.71,13.73,13.3,13.36,2422930,USD
2016-02-19,13.29,13.3,12.97,13.04,4014588,USD
2016-02-22,13.38,13.52,13.22,13.33,3460870,USD
2016-02-23,13.2,13.32,13.06,13.12,2813054,USD
2016-02-24,12.86,13.2,12.61,13.14,5879323,USD
2016-02-25,13.29,13.51,13.21,13.4,1948986,USD
2016-02-26,13.62,13.63,13.19,13.38,1803069,USD
2016-02-29,13.56,13.6,13.35,13.56,2621219,USD
2016-03-01,13.7,14.1,13.55,14.06,4418207,USD
2016-03-02,14.01,14.52,13.97,14.45,3784385,USD
2016-03-03,14.42,14.57,14.27,14.51,3369663,USD
