Date,Open,High,Low,Close,Volume,Currency
2016-01-04,4.47,5.8,4.47,5.3,2638,USD
2016-01-05,5.807,5.851,5.05,5.2,2497,USD
2016-01-06,5.45,5.6,4.65,4.65,1224,USD
2016-01-07,4.75,5.2,4.75,4.87,636,USD
2016-01-08,5.25,5.25,4.75,4.75,314,USD
2016-01-11,5.335,5.35,4.988,5.0,525,USD
2016-01-12,5.0,5.0,4.7,4.7,1567,USD
2016-01-13,4.75,4.8,4.0,4.2,8878,USD
2016-01-14,4.502,4.851,4.5,4.85,3472,USD
2016-01-15,5.05,5.25,4.8,4.85,2769,USD
2016-01-19,4.85,4.85,4.85,4.85,76,USD
2016-01-20,4.85,5.2,4.25,4.25,2286,USD
2016-01-21,4.65,4.65,4.25,4.25,383,USD
2016-01-22,4.749,4.75,4.375,4.375,890,USD
2016-01-25,4.592,4.68,4.501,4.501,367,USD
2016-01-26,4.5,4.6,4.45,4.508,956,USD
2016-01-27,4.735,4.75,4.735,4.75,340,USD
2016-01-28,4.65,4.7,4.2,4.65,418,USD
2016-01-29,4.4,4.6,4.4,4.462,276,USD
2016-02-01,4.65,4.65,4.55,4.55,293,USD
2016-02-02,4.7,5.5,4.25,4.35,7758,USD
2016-02-03,4.201,4.501,4.2,4.501,498,USD
2016-02-04,4.25,4.25,3.793,4.072,11641,USD
2016-02-05,2.701,3.65,2.15,3.5,4259,USD
2016-02-08,3.45,3.601,3.45,3.601,101,USD
2016-02-09,3.0,3.725,3.0,3.11,1107,USD
2016-02-10,3.4,3.886,3.25,3.886,137,USD
2016-02-11,3.75,3.778,3.75,3.778,240,USD
2016-02-12,4.245,4.45,3.75,4.25,4082,USD
2016-02-16,4.44,4.44,4.101,4.4,730,USD
2016-02-17,4.262,4.5,4.2,4.5,1269,USD
2016-02-18,4.4,4.4,3.8,4.2,3193,USD
2016-02-19,4.4,4.65,4.233,4.65,1657,USD
2016-02-22,4.65,4.65,4.571,4.65,788,USD
2016-02-23,4.65,4.65,4.649,4.65,388,USD
2016-02-24,4.55,4.55,4.55,4.55,401,USD
2016-02-25,4.615,4.65,4.6,4.6,1663,USD
2016-02-26,4.616,4.7,4.614,4.7,267,USD
2016-02-29,4.7,4.7,4.226,4.45,638,USD
2016-03-01,4.5,4.7,4.4,4.405,8304,USD
2016-03-02,4.7,4.7,4.3,4.45,545,USD
2016-03-03,4.65,4.7,4.35,4.5,2647,USD
2016-03-04,4.7,4.7,4.3,4.3,1670,USD
2016-03-07,4.198,4.242,4.198,4.242,281,USD
2016-03-08,4.05,4.219,4.05,4.219,427,USD
2016-03-09,4.4,4.54,4.15,4.35,762,USD
2016-03-10,0.89,0.89,0.85,0.85,73,USD
2016-03-11,4.25,4.395,4.25,4.395,209,USD
2016-03-14,4.22,4.22,4.1,4.1,3806,USD
2016-03-15,3.9,4.049,3.9,4.049,357,USD
2016-03-16,0.842,0.86,0.842,0.86,45,USD
2016-03-18,3.95,4.105,3.95,4.105,152,USD
2016-03-21,4.3,4.3,4.249,4.249,1413,USD
2016-03-22,4.27,4.35,4.27,4.35,679,USD
2016-03-23,4.056,4.3,4.056,4.1,745,USD
2016-03-24,3.851,4.037,3.85,4.037,169,USD
2016-03-28,3.9,3.929,3.8,3.9,2035,USD
2016-03-29,4.025,4.025,3.855,3.855,326,USD
2016-03-30,4.02,4.037,3.97,4.037,1665,USD
2016-03-31,3.95,4.2,3.95,4.2,611,USD
2016-04-01,4.25,4.25,3.953,4.2,1052,USD
2016-04-04,4.207,4.295,4.2,4.295,3909,USD
