Date,Open,High,Low,Close,Currency,Exchange
2016-01-04,39.33,39.33,38.81,39.12,USD,NYSE
2016-01-05,39.14,40.0,39.13,39.89,USD,NYSE
2016-01-06,39.57,39.85,39.51,39.73,USD,NYSE
2016-01-07,39.26,39.44,38.99,39.03,USD,NYSE
2016-01-08,39.15,39.27,38.41,38.44,USD,NYSE
2016-01-11,38.53,38.9,38.53,38.68,USD,NYSE
2016-01-12,38.92,38.92,38.25,38.42,USD,NYSE
2016-01-13,38.55,38.88,37.9,37.95,USD,NYSE
2016-01-14,37.9,38.18,37.6,37.81,USD,NYSE
2016-01-15,37.35,37.67,37.09,37.6,USD,NYSE
2016-01-19,37.81,38.1,37.63,37.84,USD,NYSE
2016-01-20,37.47,37.5,36.01,36.71,USD,NYSE
2016-01-21,36.89,37.42,36.65,36.95,USD,NYSE
2016-01-22,37.36,38.08,37.34,37.92,USD,NYSE
2016-01-25,37.82,38.26,37.57,37.66,USD,NYSE
2016-01-26,37.8,38.48,37.8,38.46,USD,NYSE
2016-01-27,38.37,38.37,37.42,37.7,USD,NYSE
2016-01-28,37.92,38.0,37.17,37.33,USD,NYSE
2016-01-29,37.54,38.09,37.2,38.07,USD,NYSE
2016-02-01,37.81,38.38,37.71,38.1,USD,NYSE
2016-02-02,38.04,38.04,37.5,37.69,USD,NYSE
2016-02-03,37.86,38.06,37.48,37.96,USD,NYSE
2016-02-04,37.89,38.15,37.56,37.97,USD,NYSE
2016-02-05,37.87,37.87,37.19,37.24,USD,NYSE
2016-02-08,37.02,37.03,35.61,36.19,USD,NYSE
2016-02-09,35.84,35.92,35.29,35.51,USD,NYSE
2016-02-10,35.65,36.2,35.58,35.74,USD,NYSE
2016-02-11,35.18,35.37,34.9,35.15,USD,NYSE
2016-02-12,35.39,35.59,35.13,35.55,USD,NYSE
2016-02-16,35.81,36.22,35.65,36.17,USD,NYSE
2016-02-17,36.38,36.9,36.38,36.53,USD,NYSE
2016-02-18,36.55,36.97,36.4,36.86,USD,NYSE
2016-02-19,36.71,37.26,36.6,37.1,USD,NYSE
2016-02-22,37.37,37.73,37.37,37.51,USD,NYSE
2016-02-23,37.42,37.86,37.38,37.4,USD,NYSE
2016-02-24,37.25,37.44,36.97,37.32,USD,NYSE
2016-02-25,37.56,38.07,37.56,38.04,USD,NYSE
2016-02-26,38.03,38.17,37.84,37.87,USD,NYSE
2016-02-29,37.82,38.26,37.66,37.69,USD,NYSE
2016-03-01,37.96,38.86,37.88,38.83,USD,NYSE
2016-03-02,38.76,39.18,38.74,39.18,USD,NYSE
