Date,Open,High,Low,Close,Currency,Exchange
2016-01-04,16.82,16.91,16.73,16.85,USD,NYSE
2016-01-05,16.81,16.84,16.76,16.8,USD,NYSE
2016-01-06,16.6,16.7,16.53,16.56,USD,NYSE
2016-01-07,16.36,16.44,16.28,16.28,USD,NYSE
2016-01-08,16.4,16.48,16.35,16.39,USD,NYSE
2016-01-11,16.44,16.56,16.44,16.56,USD,NYSE
2016-01-12,16.67,16.71,16.59,16.61,USD,NYSE
2016-01-13,16.65,16.67,16.53,16.54,USD,NYSE
2016-01-14,16.71,16.92,16.65,16.82,USD,NYSE
2016-01-15,16.51,16.67,16.51,16.63,USD,NYSE
2016-01-19,16.65,16.72,16.59,16.67,USD,NYSE
2016-01-20,16.45,16.47,16.34,16.41,USD,NYSE
2016-01-21,16.51,16.57,16.45,16.46,USD,NYSE
2016-01-22,16.51,16.53,16.42,16.49,USD,NYSE
2016-01-25,16.36,16.36,16.34,16.34,USD,NYSE
2016-01-26,16.46,16.46,16.09,16.1,USD,NYSE
2016-01-27,16.21,16.21,15.99,16.04,USD,NYSE
2016-01-28,16.23,16.24,16.18,16.24,USD,NYSE
2016-01-29,16.19,16.26,16.17,16.19,USD,NYSE
2016-02-01,16.09,16.09,15.97,15.97,USD,NYSE
2016-02-02,16.0,16.1,16.0,16.03,USD,NYSE
2016-02-03,15.93,15.93,15.77,15.77,USD,NYSE
2016-02-04,15.63,15.71,15.61,15.62,USD,NYSE
2016-02-05,15.8,16.11,15.35,15.35,USD,NYSE
2016-02-08,15.12,15.17,14.99,15.11,USD,NYSE
2016-02-09,15.03,15.18,15.0,15.18,USD,NYSE
2016-02-10,15.11,15.23,15.03,15.03,USD,NYSE
2016-02-11,14.4,14.51,14.06,14.31,USD,NYSE
2016-02-12,14.47,14.48,14.38,14.42,USD,NYSE
2016-02-16,14.85,15.0,14.75,15.0,USD,NYSE
2016-02-17,14.93,14.93,14.78,14.87,USD,NYSE
2016-02-18,14.9,14.9,14.41,14.43,USD,NYSE
2016-02-19,14.57,14.6,14.5,14.55,USD,NYSE
2016-02-22,14.89,14.89,14.78,14.88,USD,NYSE
2016-02-23,14.67,14.7,14.58,14.61,USD,NYSE
2016-02-24,14.39,14.56,14.22,14.54,USD,NYSE
