Date,Open,High,Low,Close,Volume,Currency
2016-01-04,24.12,25.61,23.86,25.51,10014411,USD
2016-01-05,25.55,26.43,25.43,26.28,11496860,USD
2016-01-06,25.91,26.28,25.07,25.29,6894747,USD
2016-01-07,24.85,26.8,24.81,26.74,11850969,USD
2016-01-08,25.04,25.29,22.63,22.91,17615660,USD
2016-01-11,23.01,23.04,22.35,22.68,10141008,USD
2016-01-12,22.85,23.21,22.37,22.85,6084667,USD
2016-01-13,22.96,23.21,22.43,22.48,5359755,USD
2016-01-14,22.46,23.63,22.26,23.22,7369163,USD
2016-01-15,22.62,23.71,22.62,23.26,8099014,USD
2016-01-19,23.1,23.35,22.38,22.7,5368191,USD
2016-01-20,22.36,22.79,21.57,22.45,5914335,USD
2016-01-21,22.61,23.23,22.47,23.0,5490355,USD
2016-01-22,23.34,23.7,23.0,23.66,5186422,USD
2016-01-25,23.77,24.09,22.94,23.06,6190747,USD
2016-01-26,23.09,24.2,23.04,23.89,5627965,USD
2016-01-27,23.75,24.29,23.46,23.76,4132937,USD
2016-01-28,24.12,24.21,23.75,24.01,3274560,USD
2016-01-29,24.26,24.8,24.06,24.72,5833519,USD
2016-02-01,24.49,24.86,24.15,24.74,5387780,USD
2016-02-02,24.5,25.06,24.05,24.29,5907423,USD
2016-02-03,24.48,24.69,23.79,24.45,5943476,USD
2016-02-04,23.87,24.43,23.67,23.9,7390349,USD
2016-02-05,23.82,24.03,23.13,23.77,6167054,USD
2016-02-08,23.39,24.08,23.33,23.99,8504200,USD
2016-02-09,23.87,24.76,23.07,23.27,8994130,USD
2016-02-10,23.52,23.6,22.4,22.55,8437070,USD
2016-02-11,22.23,22.78,22.03,22.43,5086315,USD
2016-02-12,22.68,23.77,22.58,23.73,3932170,USD
2016-02-16,24.02,24.54,23.4,24.52,6177496,USD
2016-02-17,24.7,25.75,24.66,25.45,6088232,USD
2016-02-18,25.53,26.19,25.01,26.18,5542740,USD
2016-02-19,25.75,26.45,25.16,26.24,6610494,USD
2016-02-22,26.39,27.27,26.37,27.06,5652270,USD
2016-02-23,27.02,27.52,26.81,27.26,4402460,USD
2016-02-24,26.9,27.51,26.33,27.28,9700973,USD
2016-02-25,27.18,27.69,26.64,27.6,8379313,USD
2016-02-26,27.1,27.94,26.2,27.23,9843466,USD
2016-02-29,27.31,27.91,27.15,27.65,6488688,USD
2016-03-01,27.71,28.25,27.7,28.16,5577183,USD
2016-03-02,28.2,28.37,27.93,28.37,4126185,USD
2016-03-03,28.29,28.58,27.99,28.54,4738261,USD
2016-03-04,28.59,29.94,28.55,29.29,8510874,USD
2016-03-07,28.98,30.17,28.95,29.44,7224351,USD
2016-03-08,29.78,30.31,29.59,29.68,10332140,USD
2016-03-09,29.89,30.09,29.49,29.7,4250301,USD
2016-03-10,29.92,30.25,29.14,29.59,6024500,USD
2016-03-11,30.04,30.23,29.65,30.17,4674884,USD
2016-03-14,30.03,30.39,29.94,30.18,2943865,USD
2016-03-15,30.07,30.17,29.06,29.71,7417579,USD
2016-03-16,28.75,29.36,28.65,29.28,5996614,USD
2016-03-17,29.34,29.96,29.24,29.9,4223539,USD
2016-03-18,30.04,30.49,29.94,30.39,9182484,USD
2016-03-21,30.32,30.39,29.68,29.83,3286496,USD
2016-03-22,29.82,29.92,29.04,29.08,6690899,USD
2016-03-23,29.17,29.17,28.65,28.72,4046987,USD
2016-03-24,28.73,28.8,28.23,28.76,4748568,USD
2016-03-28,28.94,29.33,28.86,29.03,3341704,USD
2016-03-29,29.08,29.59,28.88,29.51,4454102,USD
2016-03-30,29.71,29.91,29.46,29.66,4846879,USD
2016-03-31,29.78,30.0,29.32,29.4,5400716,USD
2016-04-01,29.24,29.61,29.03,29.46,4944857,USD
2016-04-04,29.69,30.1,29.35,29.52,6046074,USD
2016-04-05,29.35,29.45,28.68,28.69,5401216,USD
2016-04-06,28.76,29.1,28.44,28.86,4532110,USD
2016-04-07,28.61,28.86,27.6,27.68,10302481,USD
2016-04-08,25.59,25.7,23.51,23.85,33027832,USD
2016-04-11,24.0,24.55,23.53,23.98,11029671,USD
2016-04-12,23.94,23.99,23.24,23.58,9255203,USD
2016-04-13,23.74,24.06,23.68,23.93,4806230,USD
2016-04-14,23.72,23.89,23.47,23.71,3951128,USD
2016-04-15,23.74,24.04,23.58,23.91,4915518,USD
2016-04-18,23.77,23.94,23.4,23.88,3623891,USD
2016-04-19,24.0,24.11,23.67,23.96,5054874,USD
2016-04-20,24.03,24.38,23.94,24.06,4508686,USD
2016-04-21,24.16,24.27,23.75,23.83,3138986,USD
2016-04-22,23.77,24.04,23.75,23.96,2778981,USD
2016-04-25,23.82,23.91,23.27,23.41,3482767,USD
2016-04-26,23.46,23.88,23.16,23.87,3796909,USD
2016-04-27,23.53,24.02,23.25,23.97,3469111,USD
2016-04-28,23.85,23.91,23.48,23.53,3897198,USD
2016-04-29,23.53,23.53,23.0,23.18,3821572,USD
2016-05-02,23.1,23.21,22.7,22.98,6291121,USD
2016-05-03,22.85,22.89,22.42,22.63,6077366,USD
2016-05-04,22.48,22.9,22.44,22.74,4847979,USD
2016-05-05,22.46,22.5,21.69,21.87,7822063,USD
2016-05-06,21.73,21.78,21.11,21.67,9943942,USD
2016-05-09,21.7,22.14,21.7,21.81,5314900,USD
2016-05-10,19.49,19.66,18.98,19.3,30922992,USD
2016-05-11,19.12,19.43,18.55,18.58,10071137,USD
2016-05-12,18.12,18.58,17.63,17.86,14379236,USD
2016-05-13,17.61,18.3,17.34,17.62,10112740,USD
2016-05-16,17.57,17.88,17.48,17.55,9483547,USD
2016-05-17,17.57,17.7,17.24,17.33,6759220,USD
2016-05-18,17.18,17.25,17.0,17.09,6182372,USD
2016-05-19,17.31,17.49,17.0,17.28,10315680,USD
2016-05-20,17.41,18.1,17.31,18.01,15192082,USD
2016-05-23,18.02,18.67,17.94,18.41,17570838,USD
2016-05-24,18.53,18.73,18.0,18.09,9351563,USD
2016-05-25,18.15,18.35,18.09,18.28,8227517,USD
2016-05-26,18.44,18.48,18.02,18.06,5917983,USD
2016-05-27,18.1,18.28,18.01,18.13,5016326,USD
2016-05-31,18.23,18.3,17.72,17.99,11231366,USD
2016-06-01,17.94,18.2,17.73,17.87,9361019,USD
2016-06-02,17.88,18.48,17.87,18.33,9341783,USD
2016-06-03,19.0,19.43,18.7,19.09,10804762,USD
2016-06-06,19.02,19.22,18.83,19.05,6142761,USD
2016-06-07,19.15,19.57,19.06,19.42,5342824,USD
2016-06-08,19.53,19.59,19.3,19.53,4373282,USD
2016-06-09,19.46,19.46,19.0,19.31,4508607,USD
2016-06-10,18.82,19.04,18.56,18.92,4416058,USD
2016-06-13,18.92,19.13,18.77,18.91,4813151,USD
2016-06-14,18.82,19.21,18.69,19.01,5042534,USD
2016-06-15,19.08,19.79,19.05,19.33,5393602,USD
2016-06-16,19.15,19.39,18.93,19.34,4648677,USD
2016-06-17,19.39,20.43,19.38,20.13,10633114,USD
2016-06-20,20.37,21.04,20.34,20.72,14453100,USD
2016-06-21,20.7,20.7,20.24,20.55,5652150,USD
2016-06-22,20.7,20.98,20.58,20.61,4132888,USD
2016-06-23,20.88,21.07,20.78,20.93,4463819,USD
2016-06-24,20.12,20.58,20.1,20.4,9090557,USD
2016-06-27,20.25,20.29,19.33,20.07,7668940,USD
2016-06-28,20.21,20.99,20.16,20.74,6308255,USD
2016-06-29,20.84,21.24,20.78,21.0,5796849,USD
2016-06-30,21.09,21.22,20.59,21.22,5681733,USD
2016-07-01,20.97,21.48,20.95,21.4,5525595,USD
2016-07-05,21.3,21.42,20.73,21.27,6925437,USD
2016-07-06,21.22,21.85,21.0,21.79,11881216,USD
2016-07-07,21.75,21.89,21.27,21.63,11098283,USD
2016-07-08,22.76,23.21,22.61,22.7,13624156,USD
2016-07-11,22.93,23.2,22.68,22.9,7751250,USD
2016-07-12,23.19,23.43,23.01,23.37,4235471,USD
2016-07-13,23.35,23.38,22.86,23.28,6088471,USD
2016-07-14,23.49,23.54,23.14,23.21,4070572,USD
2016-07-15,23.32,23.51,23.21,23.26,4170340,USD
2016-07-18,23.36,23.93,23.26,23.88,5509855,USD
2016-07-19,23.78,24.08,23.78,23.95,6217703,USD
