Date,Open,High,Low,Close,Volume,Currency
2016-01-04,36.03,36.82,35.17,36.42,127308,USD
2016-01-05,35.76,36.37,35.42,36.08,32887,USD
2016-01-06,35.45,36.24,35.42,35.72,43877,USD
2016-01-07,35.03,36.23,33.56,33.64,71416,USD
2016-01-08,33.73,34.02,32.41,32.56,49364,USD
2016-01-11,32.26,32.78,31.94,32.67,46163,USD
2016-01-12,33.06,33.06,31.04,32.08,56981,USD
2016-01-13,32.25,32.45,30.18,30.44,82064,USD
2016-01-14,30.48,31.12,29.81,30.65,79415,USD
2016-01-15,29.79,30.75,29.23,30.63,77135,USD
2016-01-19,30.91,31.01,29.63,29.89,117049,USD
2016-01-20,29.35,30.91,28.56,30.36,80873,USD
2016-01-21,30.4,30.51,29.72,29.82,72668,USD
2016-01-22,30.53,30.68,29.57,30.0,50207,USD
2016-01-25,29.9,30.27,28.96,29.02,50072,USD
2016-01-26,29.42,30.91,29.34,30.43,73222,USD
2016-01-27,29.82,30.88,29.82,30.1,67779,USD
2016-01-28,30.45,30.69,29.99,30.47,58227,USD
2016-01-29,30.48,32.36,30.48,32.0,86639,USD
2016-02-01,31.52,31.52,30.19,30.4,81633,USD
2016-02-02,29.89,30.24,29.45,29.84,79576,USD
2016-02-03,30.18,31.39,29.59,30.4,51931,USD
2016-02-04,30.4,32.04,30.1,31.25,82249,USD
2016-02-05,28.0,31.61,28.0,30.25,62877,USD
2016-02-08,29.58,30.24,29.16,29.92,94673,USD
2016-02-09,29.3,30.17,29.09,29.73,64372,USD
2016-02-10,29.73,30.2,29.4,29.49,55123,USD
2016-02-11,29.01,29.44,28.58,29.14,53911,USD
2016-02-12,29.52,30.92,29.51,30.68,55753,USD
2016-02-16,31.04,31.39,29.71,30.87,41785,USD
2016-02-17,31.14,31.83,30.56,31.61,83177,USD
2016-02-18,31.56,31.68,30.54,31.02,52577,USD
2016-02-19,30.9,31.33,30.41,30.66,38944,USD
2016-02-22,30.91,31.69,30.68,30.94,41841,USD
2016-02-23,30.96,31.32,30.05,30.14,65844,USD
2016-02-24,29.86,30.24,29.44,30.22,65138,USD
2016-02-25,30.27,30.3,29.62,30.02,56585,USD
2016-02-26,30.02,30.74,29.29,30.25,71139,USD
2016-02-27,30.22,30.22,30.22,30.22,0,USD
2016-02-29,30.05,31.6,30.0,30.8,69007,USD
2016-03-01,31.18,31.62,30.66,31.3,65112,USD
2016-03-02,31.16,32.69,31.16,32.33,199439,USD
2016-03-03,32.29,32.99,31.86,32.43,92392,USD
2016-03-04,32.38,33.44,32.03,33.11,108997,USD
2016-03-07,33.1,35.31,32.93,35.3,80588,USD
2016-03-08,35.11,35.47,33.73,33.83,105016,USD
2016-03-09,34.09,34.82,33.41,34.2,58038,USD
2016-03-10,34.26,34.73,33.9,34.61,75664,USD
2016-03-11,34.99,35.53,34.4,35.32,62111,USD
2016-03-14,35.13,37.36,34.98,37.0,135132,USD
2016-03-15,36.7,36.99,36.05,36.05,87105,USD
2016-03-16,36.05,38.08,36.05,37.79,91809,USD
2016-03-17,37.77,40.05,37.12,39.78,121200,USD
2016-03-18,39.96,41.32,38.81,39.98,679178,USD
2016-03-21,40.01,40.24,36.29,37.88,112475,USD
2016-03-22,37.77,38.59,37.19,37.78,73239,USD
2016-03-23,37.48,37.82,36.35,36.38,132288,USD
2016-03-24,36.21,37.47,35.66,37.43,84887,USD
2016-03-28,37.9,37.9,36.32,36.93,59873,USD
2016-03-29,36.75,38.21,35.98,38.15,92832,USD
2016-03-30,38.48,38.88,37.93,38.18,52275,USD
2016-03-31,38.15,38.2,36.32,36.5,84721,USD
2016-04-01,35.78,36.75,35.62,36.62,54706,USD
2016-04-04,36.61,36.61,34.98,35.36,134767,USD
2016-04-05,34.91,35.35,34.4,34.9,134011,USD
2016-04-06,34.91,35.31,34.63,34.85,107339,USD
2016-04-07,34.59,35.21,33.95,34.56,184466,USD
2016-04-08,35.01,36.6,35.01,36.12,73403,USD
2016-04-11,36.41,37.47,36.41,36.59,61427,USD
2016-04-12,36.68,37.16,36.21,36.84,52964,USD
2016-04-13,37.18,38.18,37.18,37.58,99216,USD
2016-04-14,37.73,38.16,37.16,38.12,52760,USD
2016-04-15,37.94,39.05,37.45,38.8,72888,USD
2016-04-18,38.3,39.28,38.22,38.47,86165,USD
2016-04-19,38.84,40.4,38.35,39.6,59866,USD
2016-04-20,39.54,39.71,38.4,38.49,65869,USD
2016-04-21,38.71,39.05,37.98,38.6,76389,USD
2016-04-22,38.63,40.02,37.92,38.29,81921,USD
2016-04-25,37.89,38.01,36.48,36.99,74574,USD
2016-04-26,37.02,37.13,36.4,36.73,83005,USD
2016-04-27,36.86,37.96,36.0,37.88,163396,USD
2016-04-28,37.63,38.96,37.2,37.36,54317,USD
2016-04-29,37.41,38.91,37.24,37.53,59877,USD
2016-05-02,37.62,38.36,37.24,37.89,64589,USD
2016-05-03,37.55,38.31,36.16,36.79,101451,USD
2016-05-04,36.58,37.48,35.73,36.38,91693,USD
2016-05-05,36.56,36.91,35.21,35.35,133209,USD
2016-05-06,34.35,36.07,32.36,34.19,113879,USD
