Date,Open,High,Low,Close,Currency,Exchange
2016-01-04,30.57,30.79,29.7,30.79,USD,NYSE
2016-01-05,30.88,31.01,30.18,30.82,USD,NYSE
2016-01-06,29.45,30.05,29.0,29.46,USD,NYSE
2016-01-07,27.85,28.95,27.17,27.45,USD,NYSE
2016-01-08,27.9,28.08,26.43,26.57,USD,NYSE
2016-01-11,26.98,27.15,26.02,26.84,USD,NYSE
2016-01-12,27.52,27.78,26.48,27.39,USD,NYSE
2016-01-13,27.7,27.8,25.46,25.61,USD,NYSE
2016-01-14,25.92,27.16,25.24,26.64,USD,NYSE
2016-01-15,24.68,25.22,24.09,24.75,USD,NYSE
2016-01-19,25.73,25.73,24.38,24.91,USD,NYSE
2016-01-20,23.57,24.41,22.3,23.8,USD,NYSE
2016-01-21,23.84,25.0,23.48,24.29,USD,NYSE
2016-01-22,25.34,25.45,24.71,25.27,USD,NYSE
2016-01-25,25.07,25.21,24.25,24.32,USD,NYSE
2016-01-26,24.61,25.64,24.61,25.59,USD,NYSE
2016-01-27,25.18,25.88,24.19,24.5,USD,NYSE
2016-01-28,25.14,25.23,24.12,25.05,USD,NYSE
2016-01-29,25.61,26.88,25.43,26.88,USD,NYSE
2016-02-01,26.36,27.15,26.11,26.78,USD,NYSE
2016-02-02,26.0,26.0,25.18,25.4,USD,NYSE
2016-02-03,25.93,26.48,24.48,26.24,USD,NYSE
2016-02-04,26.14,27.0,25.95,26.68,USD,NYSE
2016-02-05,26.55,26.61,25.27,25.64,USD,NYSE
2016-02-08,24.7,25.08,23.77,24.83,USD,NYSE
2016-02-09,24.0,25.35,24.0,24.82,USD,NYSE
2016-02-10,25.23,25.75,24.35,24.43,USD,NYSE
2016-02-11,23.27,23.78,22.52,23.27,USD,NYSE
2016-02-12,23.88,24.62,23.6,24.62,USD,NYSE
2016-02-16,25.45,25.7,24.95,25.68,USD,NYSE
2016-02-17,26.25,27.09,26.21,26.93,USD,NYSE
2016-02-18,27.16,27.19,26.63,26.72,USD,NYSE
2016-02-19,26.39,26.68,26.11,26.64,USD,NYSE
2016-02-22,27.43,27.99,27.36,27.75,USD,NYSE
2016-02-23,27.58,27.68,26.73,26.88,USD,NYSE
2016-02-24,26.05,27.21,25.53,27.07,USD,NYSE
2016-02-25,27.3,28.16,26.96,28.14,USD,NYSE
2016-02-26,28.66,28.72,27.8,27.86,USD,NYSE
2016-02-29,27.84,28.34,27.27,27.27,USD,NYSE
