Date,Open,High,Low,Close,Volume,Currency
2016-01-04,15.95,15.95,15.95,15.95,188,USD
2016-01-06,15.5,15.5,15.5,15.5,300,USD
2016-01-07,15.0,15.0,15.0,15.0,100,USD
2016-01-08,14.65,14.65,13.85,14.14,4420,USD
2016-01-11,14.13,14.53,14.13,14.53,760,USD
2016-01-14,13.96,14.1,13.85,14.1,600,USD
2016-01-15,14.0,14.0,14.0,14.0,543,USD
2016-01-21,14.0,14.0,13.83,13.83,298,USD
2016-01-22,13.98,13.98,13.97,13.98,750,USD
2016-01-25,14.0,14.0,13.99,14.0,1227,USD
2016-01-29,14.68,14.68,14.68,14.68,180,USD
2016-02-03,14.32,14.32,14.25,14.25,750,USD
2016-02-04,13.78,14.15,13.75,14.15,700,USD
2016-02-05,13.81,14.0,13.7,14.0,1043,USD
2016-02-08,13.65,13.65,13.65,13.65,109,USD
2016-02-09,13.54,13.54,13.5,13.5,436,USD
2016-02-10,13.56,13.56,13.56,13.56,132,USD
2016-02-11,13.4,13.41,13.4,13.41,200,USD
2016-02-16,13.27,13.8,13.27,13.8,463,USD
2016-02-19,14.38,14.5,14.38,14.5,969,USD
2016-02-22,14.84,14.84,14.84,14.84,560,USD
2016-02-24,14.52,14.52,14.36,14.36,200,USD
2016-02-26,14.51,14.55,14.5,14.5,687,USD
2016-03-04,14.75,14.75,14.75,14.75,740,USD
2016-03-07,14.6,14.6,14.31,14.31,628,USD
2016-03-08,14.28,14.65,13.61,13.61,1467,USD
2016-03-09,13.96,14.0,13.96,14.0,835,USD
2016-03-11,13.71,13.76,13.71,13.76,612,USD
2016-03-14,13.88,13.88,13.5,13.5,754,USD
2016-03-15,13.65,13.65,13.65,13.65,400,USD
2016-03-16,13.89,14.1,13.88,14.1,712,USD
2016-03-17,14.95,15.5,14.78,14.78,1888,USD
2016-03-18,14.5,15.23,14.5,15.23,13266,USD
2016-03-21,15.5,15.5,14.75,15.25,3201,USD
2016-03-22,15.25,15.65,14.42,14.42,3426,USD
2016-03-23,15.0,15.0,15.0,15.0,502,USD
2016-03-28,15.0,15.0,15.0,15.0,465,USD
2016-03-29,14.55,14.55,14.55,14.55,344,USD
2016-03-30,15.0,15.0,14.55,14.55,831,USD
2016-03-31,14.01,14.01,14.01,14.01,400,USD
2016-04-01,14.97,14.98,14.52,14.52,640,USD
2016-04-04,15.0,15.0,14.75,14.75,200,USD
2016-04-05,14.75,14.75,14.75,14.75,102,USD
2016-04-06,14.75,14.75,14.26,14.26,822,USD
2016-04-07,14.1,14.1,14.1,14.1,100,USD
2016-04-08,14.2,14.2,14.2,14.2,100,USD
2016-04-11,14.27,14.84,14.27,14.6,400,USD
2016-04-12,14.35,14.35,14.35,14.35,100,USD
2016-04-13,14.42,14.42,14.42,14.42,137,USD
2016-04-18,14.3,14.8,14.3,14.8,1117,USD
2016-04-19,14.58,14.58,14.58,14.58,200,USD
2016-04-22,14.98,15.0,14.98,15.0,923,USD
2016-04-25,15.0,15.0,14.96,14.96,300,USD
2016-04-27,15.0,15.0,15.0,15.0,110,USD
2016-05-02,15.0,15.0,14.58,14.58,733,USD
2016-05-04,14.5,14.5,14.5,14.5,100,USD
2016-05-11,14.56,14.75,14.56,14.75,500,USD
2016-05-17,14.72,14.72,14.38,14.38,369,USD
2016-05-18,14.7,14.7,14.7,14.7,200,USD
2016-05-23,14.7,14.71,14.7,14.71,277,USD
2016-05-24,14.73,14.75,14.73,14.75,200,USD
2016-05-25,14.8,14.85,14.8,14.85,758,USD
2016-05-26,14.85,14.85,14.85,14.85,842,USD
2016-05-31,15.24,15.24,15.24,15.24,252,USD
2016-06-02,14.75,14.85,14.52,14.85,1940,USD
2016-06-03,14.63,14.9,14.63,14.85,895,USD
2016-06-07,14.93,15.01,14.93,15.0,1732,USD
2016-06-13,15.0,15.0,15.0,15.0,274,USD
2016-06-15,14.69,14.98,14.69,14.98,364,USD
2016-06-17,14.86,14.9,14.86,14.9,503,USD
2016-06-20,14.75,14.75,14.75,14.75,100,USD
2016-06-21,14.89,14.89,14.59,14.59,505,USD
2016-06-23,14.78,14.8,14.78,14.8,773,USD
2016-06-24,14.9,14.9,14.9,14.9,381,USD
2016-06-28,14.9,14.94,14.9,14.94,869,USD
2016-06-29,14.89,14.9,14.89,14.9,621,USD
2016-06-30,14.9,14.9,14.62,14.62,481,USD
2016-07-01,14.99,15.39,14.99,15.39,1402,USD
2016-07-13,14.85,14.85,14.85,14.85,548,USD
2016-07-14,14.65,14.76,14.65,14.76,450,USD
2016-07-15,14.85,14.85,14.62,14.62,548,USD
2016-07-19,14.95,14.95,14.7,14.7,1200,USD
2016-07-20,14.7,14.7,14.7,14.7,1000,USD
2016-07-21,14.969,14.98,14.95,14.98,1020,USD
2016-07-22,15.02,15.02,15.02,15.02,399,USD
2016-07-28,15.15,15.15,15.15,15.15,334,USD
2016-07-29,15.2,15.2,15.1,15.1,578,USD
2016-08-01,14.88,14.88,14.88,14.88,220,USD
2016-08-10,15.11,15.15,15.11,15.15,406,USD
2016-08-12,15.25,15.25,14.96,14.96,1141,USD
2016-08-15,15.0,15.0,15.0,15.0,272,USD
2016-08-17,15.1,15.1,15.1,15.1,635,USD
2016-08-19,15.0,15.0,15.0,15.0,100,USD
2016-08-23,15.0,15.0,15.0,15.0,1400,USD
2016-08-25,15.1,15.1,15.1,15.1,512,USD
2016-08-29,15.1,15.1,15.1,15.1,452,USD
2016-08-30,15.45,15.45,15.45,15.45,495,USD
2016-09-01,15.5,15.5,15.5,15.5,196,USD
2016-09-06,15.2,15.2,15.2,15.2,279,USD
2016-09-07,14.75,15.95,14.75,15.5,3291,USD
2016-09-08,15.98,15.98,15.43,15.52,924,USD
2016-09-13,15.71,15.71,15.71,15.71,120,USD
2016-09-14,16.13,16.54,15.69,16.54,1199,USD
2016-09-16,16.65,16.65,16.65,16.65,326,USD
