Date,Open,High,Low,Close,Volume,Currency
2016-01-04,29.22,30.37,28.82,30.36,2100659,USD
2016-01-05,30.28,30.58,29.48,30.46,2128969,USD
2016-01-06,30.03,30.18,28.37,28.73,2118138,USD
2016-01-07,27.44,27.98,25.89,26.19,3253599,USD
2016-01-08,26.9,27.44,25.84,25.99,1845431,USD
2016-01-11,26.13,26.27,24.8,25.23,1810872,USD
2016-01-12,25.57,25.98,23.77,24.31,2214275,USD
2016-01-13,24.6,25.27,23.02,23.41,2256775,USD
2016-01-14,23.53,23.6,22.18,23.31,2093195,USD
2016-01-15,22.32,22.95,21.38,22.71,1957038,USD
2016-01-19,23.28,23.7,21.77,21.84,2207168,USD
2016-01-20,21.21,22.32,19.68,21.95,3049403,USD
2016-01-21,22.51,24.08,22.01,22.89,2370855,USD
2016-01-22,23.92,24.92,23.55,24.56,2695798,USD
2016-01-25,24.44,24.95,23.76,23.8,1398370,USD
2016-01-26,24.05,24.45,23.51,24.17,1577243,USD
2016-01-27,24.0,25.09,23.57,23.95,1672696,USD
2016-01-28,24.42,24.85,23.28,23.77,1240216,USD
2016-01-29,23.75,25.48,23.75,25.44,1937766,USD
2016-02-01,24.99,25.66,24.31,25.47,1290499,USD
2016-02-02,25.13,25.13,24.31,24.46,919855,USD
2016-02-03,24.74,25.03,23.72,24.88,1236894,USD
2016-02-04,24.8,26.29,24.78,25.65,1497551,USD
2016-02-05,25.36,25.64,24.56,24.62,1024835,USD
2016-02-08,24.57,24.57,22.35,23.4,1690781,USD
2016-02-09,22.45,23.54,22.0,22.96,1902266,USD
2016-02-10,21.55,22.38,21.23,21.89,2215331,USD
2016-02-11,21.37,21.54,20.0,20.38,2705458,USD
2016-02-12,20.77,21.44,19.9,21.24,1792111,USD
2016-02-16,21.96,23.74,21.91,23.55,2458126,USD
2016-02-17,23.79,24.44,23.61,24.06,2220476,USD
2016-02-18,24.56,25.2,22.22,22.84,3918499,USD
2016-02-19,22.25,22.45,20.56,21.14,4109129,USD
2016-02-22,21.45,22.06,21.17,21.88,1663076,USD
2016-02-23,21.51,21.67,20.4,20.55,2696074,USD
2016-02-24,20.45,22.79,20.18,22.71,2883482,USD
2016-02-25,22.52,23.12,21.95,22.66,1521464,USD
2016-02-26,23.2,24.12,22.51,22.61,1888480,USD
2016-02-27,22.59,22.59,22.59,22.59,1769922,USD
2016-02-29,22.72,24.25,22.45,23.62,1839138,USD
2016-03-01,23.85,24.35,23.22,23.68,1334886,USD
2016-03-02,23.74,24.15,23.35,24.09,1274946,USD
2016-03-03,23.91,24.25,23.42,23.97,1433559,USD
