Date,AAWW_Open_average,AAWW_Open_max,AAWW_Open_volatility,AAWW_Open_change,AAWW_High_average,AAWW_High_max,AAWW_High_volatility,AAWW_High_change,AAWW_Low_average,AAWW_Low_max,AAWW_Low_volatility,AAWW_Low_change,AAWW_Close_average,AAWW_Close_max,AAWW_Close_volatility,AAWW_Close_change,AAWW_Volume_average,AAWW_Volume_max,AAWW_Volume_volatility,AAWW_Volume_change
2016-01-03,38.413333333333334,40.5,4.969999999999999,-4.969999999999999,39.37833333333333,41.19,5.659999999999997,-5.170000000000002,37.05833333333334,39.56,6.289999999999999,-6.259999999999998,37.33,40.22,6.479999999999997,-6.479999999999997,297603,381937,139791,-18268
2016-01-10,33.8425,34.55,1.5399999999999991,-1.2100000000000009,34.3925,34.68,0.8200000000000003,-0.7199999999999989,32.7025,33.18,1.1900000000000013,-1.1900000000000013,33.832499999999996,34.36,0.990000000000002,-0.990000000000002,231508,263497,86303,-11278
2016-01-17,35.526,36.92,2.5600000000000023,1.5300000000000011,36.876,37.47,1.4200000000000017,0.9200000000000017,34.662,35.87,2.029999999999994,0.4899999999999949,35.574,36.3,1.9299999999999997,-0.5500000000000043,353413,429677,153767,-97515
2016-01-24,35.282000000000004,36.27,1.6300000000000026,1.6300000000000026,36.264,36.81,1.25,0.46999999999999886,34.426,35.39,1.9299999999999997,1.25,35.6,36.73,2.1999999999999957,0.3100000000000023,221044,324207,164903,-6095
2016-01-31,35.374,35.83,0.8599999999999994,-0.7700000000000031,35.972,36.64,1.2700000000000031,-0.75,34.574,35.3,1.4099999999999966,-0.9399999999999977,35.38,35.66,0.6599999999999966,-0.44999999999999574,298753,440274,217758,13012
2016-02-07,35.285,35.82,1.1499999999999986,1.1499999999999986,36.2075,37.09,1.3900000000000006,1.3900000000000006,34.9475,35.78,1.5300000000000011,1.3000000000000043,35.6125,36.31,1.0399999999999991,1.0399999999999991,283769,463194,342813,342813
2016-02-14,37.162,39.6,4.060000000000002,-0.980000000000004,38.024,39.93,3.1099999999999994,-0.45000000000000284,35.594,36.78,3.4100000000000037,-0.9400000000000048,36.876,38.14,2.990000000000002,-0.23999999999999488,440740,573728,246928,-125670
2016-02-21,36.47833333333333,37.07,1.6499999999999986,0.7100000000000009,37.071666666666665,37.42,0.5300000000000011,0.38000000000000256,35.89833333333333,36.91,1.9899999999999949,-0.15000000000000568,36.44166666666666,36.91,1.25,0.5500000000000043,289672,440242,440242,49973
2016-02-28,37.274,38.34,1.8800000000000026,1.2899999999999991,38.826,40.47,2.6000000000000014,2.6000000000000014,36.962,37.78,1.480000000000004,1.3699999999999974,38.052,40.22,3.6099999999999994,2.8299999999999983,441323,529458,156536,-68191
2016-03-06,39.442,40.4,1.5799999999999983,0.519999999999996,40.242,40.76,1.019999999999996,0.030000000000001137,38.516,39.27,1.1900000000000048,0.11999999999999744,39.264,40.67,2.219999999999999,1.1299999999999955,258128,306339,118650,-3854
2016-03-13,40.312,42.08,3.549999999999997,2.809999999999995,41.391999999999996,43.44,4.079999999999998,4.079999999999998,40.024,41.93,3.3999999999999986,3.3800000000000026,41.050000000000004,42.96,4.219999999999999,4.219999999999999,288871,361231,180190,112813
2016-03-20,41.2725,42.52,2.1300000000000026,-1.730000000000004,41.707499999999996,43.16,2.3699999999999974,-2.3699999999999974,40.0625,41.23,1.8799999999999955,-1.8799999999999955,40.8425,41.53,1.1700000000000017,-1.1700000000000017,216735,306488,158323,-69605
2016-03-27,41.461999999999996,42.18,2.1000000000000014,1.1099999999999994,42.124,42.62,0.8499999999999943,-0.22999999999999687,40.878,41.58,1.6799999999999997,0.8500000000000014,41.65,42.27,1.4500000000000028,-1.0200000000000031,197804,260690,98837,-98837
