Date,ALBKYStock_Open_average,ALBKYStock_Open_max,ALBKYStock_Open_min,ALBKYStock_Open_volatility,ALBKYStock_Open_change,ALBKYStock_High_average,ALBKYStock_High_max,ALBKYStock_High_min,ALBKYStock_High_volatility,ALBKYStock_High_change,ALBKYStock_Low_average,ALBKYStock_Low_max,ALBKYStock_Low_min,ALBKYStock_Low_volatility,ALBKYStock_Low_change,ALBKYStock_Close_average,ALBKYStock_Close_max,ALBKYStock_Close_min,ALBKYStock_Close_volatility,ALBKYStock_Close_change,ALBKYStock_Volume_average,ALBKYStock_Volume_max,ALBKYStock_Volume_min,ALBKYStock_Volume_volatility,ALBKYStock_Volume_change
2018-01-14,0.63675,0.652,0.62,0.03200000000000003,-0.02200000000000002,0.646,0.657,0.64,0.017000000000000015,-0.017000000000000015,0.6065,0.628,0.557,0.07099999999999995,-0.07099999999999995,0.6365000000000001,0.649,0.627,0.02200000000000002,-0.009000000000000008,134603,170103,85129,84974,-41961
2018-01-21,0.6556000000000001,0.66,0.648,0.01200000000000001,0.01200000000000001,0.6636000000000001,0.675,0.648,0.027000000000000024,0.027000000000000024,0.643,0.655,0.63,0.025000000000000022,0.020000000000000018,0.659,0.675,0.64,0.03500000000000003,0.03500000000000003,321841,750034,100437,649597,-315754
2018-01-28,0.6378,0.664,0.617,0.04700000000000004,-0.016000000000000014,0.6562,0.677,0.642,0.03500000000000003,0.013000000000000012,0.6136,0.645,0.6,0.04500000000000004,-0.04500000000000004,0.6314,0.66,0.62,0.040000000000000036,-0.028000000000000025,125123,201128,50204,150924,70529
2018-02-04,0.6083999999999999,0.635,0.58,0.05500000000000005,-0.05500000000000005,0.6268,0.66,0.595,0.06500000000000006,-0.05500000000000005,0.591,0.635,0.56,0.07499999999999996,-0.07499999999999996,0.5993999999999999,0.647,0.57,0.07700000000000007,-0.07700000000000007,120705,344038,5040,338998,101388
2018-02-11,0.585,0.6,0.565,0.03500000000000003,0.03500000000000003,0.6058,0.619,0.6,0.019000000000000017,0.019000000000000017,0.585,0.6,0.565,0.03500000000000003,0.03500000000000003,0.6033999999999999,0.61,0.6,0.010000000000000009,0.007000000000000006,59990,158510,13810,144700,-117730
2018-02-18,0.61775,0.624,0.608,0.016000000000000014,0.016000000000000014,0.63125,0.64,0.619,0.02100000000000002,0.01200000000000001,0.6074999999999999,0.62,0.6,0.020000000000000018,0.020000000000000018,0.6174999999999999,0.621,0.61,0.01100000000000001,0.0010000000000000009,53436,113441,12471,100970,-94321
2018-02-25,0.596,0.622,0.575,0.04700000000000004,-0.04700000000000004,0.6108,0.632,0.595,0.03700000000000003,-0.0020000000000000018,0.5886,0.61,0.57,0.040000000000000036,-0.040000000000000036,0.5936,0.625,0.57,0.05500000000000005,-0.05500000000000005,90925,188139,18399,169740,106667
2018-03-04,0.569,0.58,0.56,0.019999999999999907,0.004999999999999893,0.5834,0.5870000000000001,0.58,0.007000000000000117,0.0050000000000000044,0.565,0.575,0.56,0.014999999999999902,0.004999999999999893,0.577,0.58,0.57,0.010000000000000009,0.010000000000000009,107121,335991,35878,300113,-300113
2018-03-11,0.574,0.6,0.56,0.039999999999999925,-0.019999999999999907,0.5811999999999999,0.6,0.568,0.03200000000000003,-0.03200000000000003,0.5619999999999999,0.58,0.55,0.029999999999999916,-0.029999999999999916,0.5731999999999999,0.586,0.564,0.02200000000000002,-0.02200000000000002,48414,95223,14505,80718,-80718
2018-03-18,0.5474,0.5770000000000001,0.515,0.062000000000000055,-0.05499999999999994,0.5544,0.58,0.53,0.04999999999999993,-0.04999999999999993,0.5274,0.55,0.51,0.040000000000000036,-0.03500000000000003,0.5466,0.573,0.525,0.04799999999999993,-0.04499999999999993,91992,145078,25228,119850,-84187
