Date,BKEAY_Open_average,BKEAY_Open_max,BKEAY_Open_min,BKEAY_Open_volatility,BKEAY_Open_change,BKEAY_High_average,BKEAY_High_max,BKEAY_High_min,BKEAY_High_volatility,BKEAY_High_change,BKEAY_Low_average,BKEAY_Low_max,BKEAY_Low_min,BKEAY_Low_volatility,BKEAY_Low_change,BKEAY_Close_average,BKEAY_Close_max,BKEAY_Close_min,BKEAY_Close_volatility,BKEAY_Close_change,BKEAY_Volume_average,BKEAY_Volume_max,BKEAY_Volume_min,BKEAY_Volume_volatility,BKEAY_Volume_change
2016-01-03,3.335,3.43,3.22,0.20999999999999996,-0.20999999999999996,3.3527500000000003,3.43,3.261,0.16900000000000004,-0.14000000000000012,3.3112500000000002,3.43,3.22,0.20999999999999996,-0.20999999999999996,3.3287500000000003,3.43,3.22,0.20999999999999996,-0.14000000000000012,2814,6078,1255,4823,-727
2016-01-10,3.1316,3.24,3.02,0.2200000000000002,-0.1379999999999999,3.1316,3.24,3.02,0.2200000000000002,-0.1379999999999999,3.1036,3.158,3.02,0.1379999999999999,-0.1379999999999999,3.1036,3.158,3.02,0.1379999999999999,-0.1379999999999999,1432,3016,367,2649,117
2016-01-17,2.7933333333333334,2.88,2.75,0.1299999999999999,0.1299999999999999,2.83,2.94,2.76,0.18000000000000016,0.18000000000000016,2.783333333333333,2.88,2.72,0.1599999999999997,0.1299999999999999,2.8266666666666667,2.94,2.75,0.18999999999999995,0.18999999999999995,2858,4523,455,4068,-3142
2016-01-24,2.81,2.88,2.75,0.1299999999999999,0.1299999999999999,2.81625,2.895,2.75,0.14500000000000002,0.14500000000000002,2.7925,2.85,2.75,0.10000000000000009,0.10000000000000009,2.7925,2.85,2.75,0.10000000000000009,0.10000000000000009,5796,18220,124,18096,4176
2016-01-31,2.7640000000000002,2.91,2.68,0.22999999999999998,0.16000000000000014,2.7640000000000002,2.91,2.68,0.22999999999999998,0.16000000000000014,2.724,2.91,2.59,0.3200000000000003,0.20999999999999996,2.738,2.91,2.61,0.30000000000000027,0.16000000000000014,2769,6103,179,5924,3791
2016-02-07,2.8475,2.94,2.76,0.18000000000000016,0.18000000000000016,2.8875,2.94,2.86,0.08000000000000007,0.08000000000000007,2.8,2.89,2.72,0.16999999999999993,0.07000000000000028,2.8575,2.93,2.75,0.18000000000000016,0.07000000000000028,5346,8230,338,7892,-501
2016-02-14,2.8815,2.946,2.83,0.1160000000000001,0.1160000000000001,2.8815,2.946,2.83,0.1160000000000001,0.1160000000000001,2.8715,2.946,2.79,0.15600000000000014,0.15600000000000014,2.8715,2.946,2.79,0.15600000000000014,0.15600000000000014,957,1772,263,1509,-710
2016-02-21,3.13,3.19,3.07,0.1200000000000001,-0.1200000000000001,3.1966666666666668,3.34,3.12,0.21999999999999975,-0.21999999999999975,3.13,3.19,3.07,0.1200000000000001,-0.1200000000000001,3.1966666666666668,3.34,3.12,0.21999999999999975,-0.21999999999999975,9968,18651,1489,17162,8885
2016-02-28,3.2600000000000002,3.46,3.1,0.3599999999999999,0.3599999999999999,3.263333333333333,3.46,3.11,0.3500000000000001,0.3500000000000001,3.2600000000000002,3.46,3.1,0.3599999999999999,0.3599999999999999,3.263333333333333,3.46,3.11,0.3500000000000001,0.3500000000000001,371,645,200,445,375
2016-03-06,3.5,3.5,3.5,0.0,0.0,3.5,3.5,3.5,0.0,0.0,3.5,3.5,3.5,0.0,0.0,3.5,3.5,3.5,0.0,0.0,515,515,515,0,0
2016-03-13,3.6500000000000004,3.68,3.62,0.06000000000000005,0.06000000000000005,3.675,3.73,3.62,0.10999999999999988,0.10999999999999988,3.6500000000000004,3.68,3.62,0.06000000000000005,0.06000000000000005,3.675,3.73,3.62,0.10999999999999988,0.10999999999999988,819,1208,431,777,777
