Date,Credit Suisse X-Links Monthly Pay 2xLeveraged Aler_Open_average,Credit Suisse X-Links Monthly Pay 2xLeveraged Aler_Open_max,Credit Suisse X-Links Monthly Pay 2xLeveraged Aler_Open_min,Credit Suisse X-Links Monthly Pay 2xLeveraged Aler_Open_volatility,Credit Suisse X-Links Monthly Pay 2xLeveraged Aler_Open_change,Credit Suisse X-Links Monthly Pay 2xLeveraged Aler_High_average,Credit Suisse X-Links Monthly Pay 2xLeveraged Aler_High_max,Credit Suisse X-Links Monthly Pay 2xLeveraged Aler_High_min,Credit Suisse X-Links Monthly Pay 2xLeveraged Aler_High_volatility,Credit Suisse X-Links Monthly Pay 2xLeveraged Aler_High_change,Credit Suisse X-Links Monthly Pay 2xLeveraged Aler_Low_average,Credit Suisse X-Links Monthly Pay 2xLeveraged Aler_Low_max,Credit Suisse X-Links Monthly Pay 2xLeveraged Aler_Low_min,Credit Suisse X-Links Monthly Pay 2xLeveraged Aler_Low_volatility,Credit Suisse X-Links Monthly Pay 2xLeveraged Aler_Low_change,Credit Suisse X-Links Monthly Pay 2xLeveraged Aler_Close_average,Credit Suisse X-Links Monthly Pay 2xLeveraged Aler_Close_max,Credit Suisse X-Links Monthly Pay 2xLeveraged Aler_Close_min,Credit Suisse X-Links Monthly Pay 2xLeveraged Aler_Close_volatility,Credit Suisse X-Links Monthly Pay 2xLeveraged Aler_Close_change
2018-01-14,22.43,22.43,22.43,0.0,0.0,23.1,23.1,23.1,0.0,0.0,22.43,22.43,22.43,0.0,0.0,23.07,23.07,23.07,0.0,0.0
2018-01-21,23.13,23.13,23.13,0.0,0.0,23.13,23.13,23.13,0.0,0.0,22.61,22.61,22.61,0.0,0.0,22.61,22.61,22.61,0.0,0.0
2018-01-28,20.27,20.27,20.27,0.0,0.0,20.54,20.54,20.54,0.0,0.0,19.42,19.42,19.42,0.0,0.0,19.67,19.67,19.67,0.0,0.0
2018-02-04,19.6,19.6,19.6,0.0,0.0,19.61,19.61,19.61,0.0,0.0,18.86,18.86,18.86,0.0,0.0,19.61,19.61,19.61,0.0,0.0
2018-02-11,17.58,17.58,17.58,0.0,0.0,19.54,19.54,19.54,0.0,0.0,17.58,17.58,17.58,0.0,0.0,19.54,19.54,19.54,0.0,0.0
2018-02-18,18.3,18.3,18.3,0.0,0.0,18.3,18.3,18.3,0.0,0.0,18.21,18.21,18.21,0.0,0.0,18.21,18.21,18.21,0.0,0.0
2018-02-25,17.08,17.08,17.08,0.0,0.0,17.17,17.17,17.17,0.0,0.0,17.08,17.08,17.08,0.0,0.0,17.17,17.17,17.17,0.0,0.0
2018-03-04,17.2,17.2,17.2,0.0,0.0,17.61,17.61,17.61,0.0,0.0,17.2,17.2,17.2,0.0,0.0,17.2,17.2,17.2,0.0,0.0
2018-03-11,16.0,16.0,16.0,0.0,0.0,16.0,16.0,16.0,0.0,0.0,14.7,14.7,14.7,0.0,0.0,14.8,14.8,14.8,0.0,0.0
2018-03-18,14.17,14.17,14.17,0.0,0.0,14.17,14.17,14.17,0.0,0.0,13.82,13.82,13.82,0.0,0.0,13.97,13.97,13.97,0.0,0.0
