Date,DISCK_Open_average,DISCK_Open_max,DISCK_Open_min,DISCK_Open_volatility,DISCK_Open_change,DISCK_High_average,DISCK_High_max,DISCK_High_min,DISCK_High_volatility,DISCK_High_change,DISCK_Low_average,DISCK_Low_max,DISCK_Low_min,DISCK_Low_volatility,DISCK_Low_change,DISCK_Close_average,DISCK_Close_max,DISCK_Close_min,DISCK_Close_volatility,DISCK_Close_change,DISCK_Volume_average,DISCK_Volume_max,DISCK_Volume_min,DISCK_Volume_volatility,DISCK_Volume_change
2018-01-14,23.71,24.48,23.21,1.2699999999999996,1.2699999999999996,24.286,25.26,23.57,1.6900000000000013,1.6900000000000013,23.466,24.32,22.95,1.370000000000001,1.3200000000000003,24.07,25.09,23.2,1.8900000000000006,1.8900000000000006,3964738,4772946,3376282,1396664,-817125
2018-01-21,24.68,24.9,24.44,0.4599999999999973,-0.16000000000000014,24.874,24.99,24.78,0.2099999999999973,-0.0799999999999983,24.296,24.45,24.15,0.3000000000000007,0.3000000000000007,24.626,24.82,24.44,0.379999999999999,0.1999999999999993,2425727,3227654,1583654,1644000,41952
2018-01-28,23.804000000000002,24.66,22.69,1.9699999999999989,-1.9699999999999989,24.106,24.89,22.8,2.09,-2.09,23.054000000000002,23.72,21.69,2.0299999999999976,-2.0299999999999976,23.282,24.17,21.71,2.460000000000001,-2.16,3137644,3897540,1870159,2027381,494171
2018-02-04,21.874,22.69,21.34,1.3500000000000014,0.3099999999999987,22.560000000000002,23.26,21.76,1.5,-0.6400000000000006,21.246,21.78,20.29,1.490000000000002,0.46000000000000085,21.89,22.66,21.39,1.2699999999999996,-0.7899999999999991,3779385,5478171,2532720,2945451,-1654772
2018-02-11,22.377499999999998,22.89,21.75,1.1400000000000006,0.9899999999999984,22.72,22.91,22.34,0.5700000000000003,0.5700000000000003,22.165,22.51,21.67,0.8399999999999999,0.8399999999999999,22.605,22.82,22.27,0.5500000000000007,0.379999999999999,1607757,1829513,1391872,437641,348235
2018-02-18,22.844,23.04,22.57,0.46999999999999886,0.3299999999999983,23.314,23.89,22.88,1.0100000000000016,0.46000000000000085,22.612,22.84,22.39,0.4499999999999993,0.129999999999999,23.02,23.83,22.6,1.2299999999999969,0.7899999999999991,2491054,3376795,1955243,1421552,873276
2018-02-25,23.206,23.75,22.65,1.1000000000000014,-0.6799999999999997,23.79,25.27,23.22,2.0500000000000007,-1.9299999999999997,22.702,23.0,22.4,0.6000000000000014,-0.23999999999999844,23.318,24.75,22.7,2.0500000000000007,-1.7399999999999984,11595254,21477758,7409542,14068216,-2749250
2018-03-04,22.708000000000002,23.11,22.51,0.5999999999999979,-0.5700000000000003,22.872,23.3,22.6,0.6999999999999993,-0.41000000000000014,22.218,22.7,21.45,1.25,-0.16999999999999815,22.564,22.86,22.39,0.46999999999999886,-0.23999999999999844,8740247,16387209,5059444,11327765,-11265163
2018-03-11,22.084,22.76,21.55,1.2100000000000009,-1.2100000000000009,22.266,23.0,21.66,1.3399999999999999,-1.3399999999999999,21.692,22.33,21.02,1.3099999999999987,-1.3099999999999987,21.826,22.45,21.24,1.2100000000000009,-1.2100000000000009,6583891,8913321,5106231,3807090,-292239
2018-03-18,20.288,21.23,19.74,1.490000000000002,-1.490000000000002,20.504,21.31,19.98,1.3299999999999983,-1.3299999999999983,19.766000000000002,20.2,19.3,0.8999999999999986,-0.8099999999999987,20.0,20.5,19.42,1.0799999999999983,-0.41999999999999815,6432299,8365874,4746019,3619855,2758843
2018-03-25,19.6675,19.89,19.27,0.620000000000001,-0.26000000000000156,20.0475,20.32,19.71,0.6099999999999994,-0.23000000000000043,19.314999999999998,19.64,19.08,0.5600000000000023,-0.28000000000000114,19.5225,19.73,19.27,0.46000000000000085,-0.16000000000000014,6429450,8062517,4535990,3526527,1733087
2018-04-01,20.354,20.86,19.7,1.1600000000000001,1.1600000000000001,20.764,21.1,20.19,0.9100000000000001,0.7799999999999976,20.182,20.58,19.45,1.129999999999999,1.129999999999999,20.592000000000002,20.73,20.17,0.5599999999999987,0.5,3680072,4601869,2350138,2251731,-2200250
2018-04-08,20.919999999999998,21.38,20.61,0.7699999999999996,0.240000000000002,21.204,21.53,20.66,0.870000000000001,0.5800000000000018,20.622,20.9,20.35,0.5499999999999972,0.020000000000003126,21.022,21.49,20.55,0.9399999999999977,0.8099999999999987,3955290,6226310,3006434,3219876,-1203316
2018-04-15,21.742,22.04,21.48,0.5599999999999987,-0.23999999999999844,22.104,22.26,21.96,0.3000000000000007,0.19000000000000128,21.448,21.71,21.23,0.4800000000000004,-0.3100000000000023,21.786,22.14,21.46,0.6799999999999997,0.17999999999999972,3726267,5260507,2197299,3063208,-475889
2018-04-22,22.544,22.69,22.31,0.38000000000000256,0.10999999999999943,22.736,22.95,22.62,0.3299999999999983,-0.3299999999999983,22.148,22.33,21.78,0.5499999999999972,-0.05000000000000071,22.454,22.64,22.22,0.4200000000000017,-0.13000000000000256,5817615,11457558,3971520,7486038,79991
2018-04-29,22.16,22.58,21.54,1.0399999999999991,-0.6099999999999994,22.43,22.85,22.14,0.7100000000000009,-0.509999999999998,21.834,22.26,21.35,0.9100000000000001,-0.379999999999999,22.094,22.55,21.63,0.9200000000000017,-0.4200000000000017,4171010,6047858,3050555,2997303,-310338
2018-05-06,22.222,22.81,21.21,1.5999999999999979,0.13999999999999702,22.766,23.36,22.08,1.2800000000000011,-0.5500000000000007,21.658,22.37,21.05,1.3200000000000003,0.6900000000000013,22.172,22.84,21.11,1.7300000000000004,0.6800000000000033,5433090,7006157,4916240,2089917,1622853
2018-05-13,21.982,22.5,21.6,0.8999999999999986,-0.8999999999999986,22.208,22.61,21.74,0.870000000000001,-0.8100000000000023,21.438,21.59,21.21,0.379999999999999,-0.17999999999999972,21.766000000000002,22.45,21.42,1.0299999999999976,-0.259999999999998,3979621,5125652,3283431,1842221,-401277
2018-05-20,21.475,21.92,21.23,0.6900000000000013,-0.23000000000000043,21.6925,22.16,21.24,0.9200000000000017,-0.9200000000000017,21.035,21.35,20.83,0.5200000000000031,-0.5200000000000031,21.3825,22.0,20.95,1.0500000000000007,-1.0500000000000007,2647125,2887115,2258077,629038,-327310
2018-05-27,20.24,20.77,19.82,0.9499999999999993,-0.7800000000000011,20.346,20.87,19.92,0.9499999999999993,-0.5500000000000007,19.7,20.25,19.25,1.0,-0.6600000000000001,19.988,20.41,19.77,0.6400000000000006,-0.4400000000000013,4696710,6264614,3637427,2627187,-847069
2018-06-03,21.044,21.75,20.2,1.5500000000000007,1.5500000000000007,21.733999999999998,22.98,21.11,1.870000000000001,1.870000000000001,20.908,21.75,20.16,1.5899999999999999,1.5500000000000007,21.544,22.63,20.65,1.9800000000000004,1.9800000000000004,3891007,5204254,2541921,2662333,130953
2018-06-10,23.768,25.05,22.68,2.370000000000001,2.370000000000001,24.37,25.48,22.83,2.650000000000002,2.650000000000002,23.498,24.45,22.39,2.0599999999999987,2.0599999999999987,24.152,25.34,22.82,2.5199999999999996,2.5199999999999996,5415084,8791303,4204598,4586705,82029
2018-06-17,25.858,26.2,25.02,1.1799999999999997,1.1799999999999997,26.34,26.64,25.76,0.879999999999999,0.7999999999999972,25.604,25.96,24.97,0.990000000000002,0.870000000000001,26.03,26.25,25.68,0.5700000000000003,0.4200000000000017,4492101,7441055,2684519,4756536,-2004866
2018-06-24,25.983999999999998,26.3,25.48,0.8200000000000003,-0.629999999999999,26.27,26.63,25.6,1.0299999999999976,-0.5399999999999991,25.564,25.93,25.06,0.870000000000001,-0.46000000000000085,25.862,26.3,25.5,0.8000000000000007,-0.2700000000000031,3096662,4579659,2511629,2068030,-1539651
2018-07-01,25.595,25.75,25.41,0.33999999999999986,0.14999999999999858,25.9025,26.2,25.62,0.5799999999999983,0.4299999999999997,25.3075,25.48,25.07,0.41000000000000014,0.1999999999999993,25.7025,26.14,25.34,0.8000000000000007,0.8000000000000007,1656331,1940721,1087440,853281,741054
2018-07-08,25.828,26.16,25.52,0.6400000000000006,-0.5,26.016000000000002,26.35,25.71,0.6400000000000006,-0.5899999999999999,25.418,25.59,25.13,0.46000000000000085,-0.4499999999999993,25.642,26.22,25.35,0.8699999999999974,-0.8699999999999974,1550123,1858443,1230012,628431,-415284
2018-07-15,24.8,25.18,24.5,0.6799999999999997,-0.6799999999999997,25.028,25.38,24.72,0.6600000000000001,-0.6600000000000001,24.442,24.64,24.22,0.4200000000000017,0.23000000000000043,24.652,24.77,24.59,0.17999999999999972,0.0,1628067,2290192,1167293,1122899,-887268
2018-07-22,24.33,24.7,24.06,0.6400000000000006,-0.41000000000000014,24.692,24.89,24.41,0.4800000000000004,-0.17999999999999972,23.997999999999998,24.15,23.84,0.3099999999999987,0.16000000000000014,24.238,24.44,24.06,0.38000000000000256,0.1700000000000017,1691952,2052477,1497254,555223,-439201
2018-07-29,24.472,24.89,24.16,0.7300000000000004,0.4299999999999997,24.776,25.11,24.49,0.620000000000001,0.4499999999999993,24.212,24.66,23.92,0.7399999999999984,0.5500000000000007,24.588,24.94,24.2,0.740000000000002,0.259999999999998,1418156,1921872,1015651,906221,-311161
2018-08-05,23.914,24.17,23.54,0.6300000000000026,0.6300000000000026,24.387999999999998,24.7,24.13,0.5700000000000003,0.370000000000001,23.596,23.94,22.87,1.0700000000000003,1.0700000000000003,24.074,24.31,23.8,0.509999999999998,0.3299999999999983,1814904,3496980,1029893,2467087,-2332095
2018-08-12,24.466,24.91,24.21,0.6999999999999993,0.6999999999999993,24.95,25.87,24.5,1.370000000000001,1.1400000000000006,24.394000000000002,24.91,24.11,0.8000000000000007,0.6999999999999993,24.804,25.82,24.23,1.5899999999999999,1.2600000000000016,1365923,1673102,935152,737950,103672
