Date,Deep Value_Open_average,Deep Value_Open_max,Deep Value_Open_min,Deep Value_Open_volatility,Deep Value_Open_change,Deep Value_High_average,Deep Value_High_max,Deep Value_High_min,Deep Value_High_volatility,Deep Value_High_change,Deep Value_Low_average,Deep Value_Low_max,Deep Value_Low_min,Deep Value_Low_volatility,Deep Value_Low_change,Deep Value_Close_average,Deep Value_Close_max,Deep Value_Close_min,Deep Value_Close_volatility,Deep Value_Close_change
2018-01-14,36.24,36.24,36.24,0.0,0.0,36.48,36.48,36.48,0.0,0.0,36.05,36.05,36.05,0.0,0.0,36.48,36.48,36.48,0.0,0.0
2018-01-21,36.6,36.6,36.6,0.0,0.0,36.9,36.9,36.9,0.0,0.0,36.04,36.04,36.04,0.0,0.0,36.77,36.77,36.77,0.0,0.0
2018-01-28,34.1,34.1,34.1,0.0,0.0,34.6,34.6,34.6,0.0,0.0,33.24,33.24,33.24,0.0,0.0,33.26,33.26,33.26,0.0,0.0
2018-02-04,33.25,33.25,33.25,0.0,0.0,33.41,33.41,33.41,0.0,0.0,33.03,33.03,33.03,0.0,0.0,33.15,33.15,33.15,0.0,0.0
2018-02-11,34.75,34.75,34.75,0.0,0.0,35.08,35.08,35.08,0.0,0.0,34.7,34.7,34.7,0.0,0.0,34.87,34.87,34.87,0.0,0.0
2018-02-18,35.26,35.26,35.26,0.0,0.0,35.26,35.26,35.26,0.0,0.0,34.8,34.8,34.8,0.0,0.0,35.14,35.14,35.14,0.0,0.0
2018-02-25,34.37,34.37,34.37,0.0,0.0,34.86,34.86,34.86,0.0,0.0,34.37,34.37,34.37,0.0,0.0,34.86,34.86,34.86,0.0,0.0
2018-03-04,34.67,34.67,34.67,0.0,0.0,34.84,34.84,34.84,0.0,0.0,34.65,34.65,34.65,0.0,0.0,34.76,34.76,34.76,0.0,0.0
2018-03-11,34.49,34.49,34.49,0.0,0.0,34.49,34.49,34.49,0.0,0.0,34.12,34.12,34.12,0.0,0.0,34.14,34.14,34.14,0.0,0.0
2018-03-18,33.25,33.25,33.25,0.0,0.0,33.7,33.7,33.7,0.0,0.0,33.03,33.03,33.03,0.0,0.0,33.66,33.66,33.66,0.0,0.0
