Date,EMKR_stock_Open_average,EMKR_stock_Open_max,EMKR_stock_Open_min,EMKR_stock_Open_volatility,EMKR_stock_Open_change,EMKR_stock_High_average,EMKR_stock_High_max,EMKR_stock_High_min,EMKR_stock_High_volatility,EMKR_stock_High_change,EMKR_stock_Low_average,EMKR_stock_Low_max,EMKR_stock_Low_min,EMKR_stock_Low_volatility,EMKR_stock_Low_change,EMKR_stock_Close_average,EMKR_stock_Close_max,EMKR_stock_Close_min,EMKR_stock_Close_volatility,EMKR_stock_Close_change,EMKR_stock_Volume_average,EMKR_stock_Volume_max,EMKR_stock_Volume_min,EMKR_stock_Volume_volatility,EMKR_stock_Volume_change
2018-01-14,6.7625,6.9,6.65,0.25,0.10000000000000053,6.9,7.05,6.75,0.2999999999999998,0.25,6.645,6.8,6.55,0.25,0.25,6.8,7.05,6.55,0.5,0.5,314347,470760,208201,262559,87083
2018-01-21,6.95,6.95,6.95,0.0,0.0,7.01,7.05,6.95,0.09999999999999964,-0.09999999999999964,6.87,6.9,6.8,0.10000000000000053,-0.05000000000000071,6.94,6.95,6.9,0.04999999999999982,0.0,169088,212986,132757,80229,-70381
2018-01-28,6.8100000000000005,6.95,6.65,0.2999999999999998,-0.2999999999999998,6.89,7.0,6.75,0.25,-0.20000000000000018,6.672,6.85,6.51,0.33999999999999986,-0.33999999999999986,6.76,6.95,6.55,0.40000000000000036,-0.40000000000000036,143439,183109,113581,69528,24034
2018-02-04,5.52,6.5,5.05,1.4500000000000002,-1.4500000000000002,5.688,6.65,5.25,1.4000000000000004,-1.4000000000000004,5.28,6.25,4.9,1.3499999999999996,-1.25,5.49,6.3,5.0,1.2999999999999998,-1.0999999999999996,622989,1161178,154287,1006891,361379
2018-02-11,5.16,5.25,5.05,0.20000000000000018,-0.09999999999999964,5.306,5.6,5.15,0.4499999999999993,0.27999999999999936,5.06,5.15,4.95,0.20000000000000018,-0.05000000000000071,5.25,5.6,5.1,0.5,0.39999999999999947,319690,393193,228438,164755,77028
2018-02-18,5.475,5.55,5.35,0.20000000000000018,-0.15000000000000036,5.525,5.6,5.4,0.1999999999999993,-0.1999999999999993,5.32,5.4,5.25,0.15000000000000036,-0.0699999999999994,5.4325,5.53,5.3,0.23000000000000043,-0.1299999999999999,345469,419187,248683,170504,-170504
2018-02-25,5.32,5.45,5.1,0.35000000000000053,-0.25,5.41,5.5,5.3,0.20000000000000018,-0.15000000000000036,5.194,5.4,4.95,0.4500000000000002,-0.3700000000000001,5.29,5.45,5.1,0.35000000000000053,-0.2999999999999998,271395,489853,152431,337422,272868
2018-03-04,5.36,5.55,5.15,0.39999999999999947,0.34999999999999964,5.522,5.65,5.3,0.35000000000000053,0.2999999999999998,5.304,5.45,5.1,0.35000000000000053,0.35000000000000053,5.4399999999999995,5.55,5.3,0.25,0.20000000000000018,178281,237553,96109,141444,84286
2018-03-11,5.63,5.75,5.45,0.2999999999999998,0.2999999999999998,5.81,6.0,5.7,0.2999999999999998,0.25,5.57,5.7,5.45,0.25,0.25,5.724,5.95,5.6,0.35000000000000053,0.35000000000000053,242179,369207,115165,254042,-136209
2018-03-18,6.09,6.2,5.9,0.2999999999999998,-0.15000000000000036,6.25,6.3,6.15,0.14999999999999947,-0.14999999999999947,5.864,5.97,5.8,0.16999999999999993,-0.04999999999999982,6.05,6.2,5.85,0.35000000000000053,-0.35000000000000053,238256,395174,136660,258514,-145603
