Date,EXPR_Open_average,EXPR_Open_max,EXPR_Open_min,EXPR_Open_volatility,EXPR_Open_change,EXPR_High_average,EXPR_High_max,EXPR_High_min,EXPR_High_volatility,EXPR_High_change,EXPR_Low_average,EXPR_Low_max,EXPR_Low_min,EXPR_Low_volatility,EXPR_Low_change,EXPR_Close_average,EXPR_Close_max,EXPR_Close_min,EXPR_Close_volatility,EXPR_Close_change,EXPR_Volume_average,EXPR_Volume_max,EXPR_Volume_min,EXPR_Volume_volatility,EXPR_Volume_change
2018-01-14,7.354,7.48,7.25,0.23000000000000043,0.20000000000000018,7.486,7.6,7.38,0.21999999999999975,0.21999999999999975,7.264,7.4,7.18,0.22000000000000064,0.22000000000000064,7.386,7.53,7.21,0.3200000000000003,0.3200000000000003,2312933,3394254,1785049,1609205,-1609205
2018-01-21,7.396,7.54,7.26,0.28000000000000025,-0.28000000000000025,7.462,7.62,7.35,0.27000000000000046,-0.23000000000000043,7.23,7.35,7.17,0.17999999999999972,-0.15999999999999925,7.326,7.5,7.26,0.2400000000000002,-0.2400000000000002,1563674,2244852,817274,1427578,-834473
2018-01-28,6.95,7.24,6.58,0.6600000000000001,-0.6600000000000001,7.074,7.3,6.83,0.46999999999999975,-0.46999999999999975,6.756,6.98,6.42,0.5600000000000005,-0.5600000000000005,6.82,7.12,6.42,0.7000000000000002,-0.7000000000000002,2058976,3104553,1425404,1679149,1088923
2018-02-04,6.784,7.16,6.26,0.9000000000000004,0.9000000000000004,7.056,7.22,6.7,0.5199999999999996,0.5199999999999996,6.594,6.8,6.17,0.6299999999999999,0.6299999999999999,6.88,7.14,6.56,0.5800000000000001,0.33000000000000007,2313572,3186846,1490807,1696039,-932730
2018-02-11,6.9925,7.21,6.81,0.40000000000000036,0.25,7.1850000000000005,7.41,6.91,0.5,0.5,6.875,7.08,6.77,0.3100000000000005,0.3100000000000005,7.0575,7.14,6.87,0.2699999999999996,0.2400000000000002,1294909,1429113,1198280,230833,-27393
2018-02-18,7.168,7.43,6.96,0.46999999999999975,0.3199999999999994,7.33,7.63,7.13,0.5,0.5,7.048,7.37,6.84,0.5300000000000002,0.5300000000000002,7.21,7.54,6.91,0.6299999999999999,0.6299999999999999,1419043,2037115,942173,1094942,155931
2018-02-25,7.336,7.61,7.08,0.5300000000000002,-0.1200000000000001,7.526,7.77,7.29,0.47999999999999954,-0.14999999999999947,7.14,7.38,6.93,0.4500000000000002,0.20000000000000018,7.318,7.5,7.18,0.3200000000000003,0.29000000000000004,1906866,2808687,1429651,1379036,29846
2018-03-04,7.474,7.58,7.36,0.21999999999999975,-0.1200000000000001,7.6419999999999995,7.77,7.54,0.22999999999999954,-0.1299999999999999,7.284,7.47,7.16,0.3099999999999996,-0.08000000000000007,7.43,7.6,7.3,0.2999999999999998,-0.23999999999999932,2439775,2855370,2021444,833926,833926
2018-03-11,7.402,7.89,7.17,0.7199999999999998,-0.2400000000000002,7.474,7.91,7.17,0.7400000000000002,-0.2999999999999998,7.108,7.27,6.93,0.33999999999999986,-0.33999999999999986,7.232,7.4,6.98,0.41999999999999993,-0.41999999999999993,4037323,6995034,1697073,5297961,-2537946
2018-03-18,6.952,6.99,6.88,0.11000000000000032,0.009999999999999787,7.118,7.33,7.0,0.33000000000000007,0.29000000000000004,6.89,6.99,6.78,0.20999999999999996,0.07000000000000028,7.0,7.28,6.84,0.4400000000000004,0.29000000000000004,1770546,2215002,1561249,653753,572786
