Date,FLEX_Open_average,FLEX_Open_max,FLEX_Open_min,FLEX_Open_volatility,FLEX_Open_change,FLEX_High_average,FLEX_High_max,FLEX_High_min,FLEX_High_volatility,FLEX_High_change,FLEX_Low_average,FLEX_Low_max,FLEX_Low_min,FLEX_Low_volatility,FLEX_Low_change,FLEX_Close_average,FLEX_Close_max,FLEX_Close_min,FLEX_Close_volatility,FLEX_Close_change,FLEX_Volume_average,FLEX_Volume_max,FLEX_Volume_min,FLEX_Volume_volatility,FLEX_Volume_change
2018-01-14,19.35,19.66,19.15,0.5100000000000016,0.46999999999999886,19.5475,19.71,19.31,0.40000000000000213,0.38000000000000256,19.2025,19.47,18.87,0.5999999999999979,0.5999999999999979,19.42,19.61,19.02,0.5899999999999999,0.5899999999999999,3029437,3741873,2164306,1577567,786108
2018-01-21,19.308,19.52,19.11,0.41000000000000014,0.19000000000000128,19.404,19.53,19.25,0.28000000000000114,0.030000000000001137,18.902,19.07,18.76,0.3099999999999987,-0.3099999999999987,19.13,19.44,18.81,0.6300000000000026,-0.08999999999999986,5511873,7040189,3576577,3463612,-44892
2018-01-28,18.48,19.35,18.0,1.3500000000000014,-1.3500000000000014,18.576,19.52,18.04,1.4800000000000004,-1.4800000000000004,18.038,18.52,17.71,0.8099999999999987,-0.8099999999999987,18.21,18.86,17.78,1.0799999999999983,-1.0799999999999983,6631027,10603700,4263506,6340194,-6244343
2018-02-04,17.182,17.55,16.83,0.7200000000000024,-0.620000000000001,17.438,17.71,16.96,0.75,-0.75,16.742,17.12,16.27,0.8500000000000014,-0.740000000000002,17.018,17.35,16.69,0.6600000000000001,-0.28000000000000114,4954866,6192215,3795549,2396666,-348353
2018-02-11,17.116,17.73,16.82,0.9100000000000001,0.870000000000001,17.422,18.05,16.98,1.0700000000000003,0.9299999999999997,17.018,17.65,16.67,0.9799999999999969,0.9799999999999969,17.336,17.84,16.92,0.9199999999999982,0.8200000000000003,4172677,7844166,1937545,5906621,-64587
2018-02-18,17.8,17.92,17.69,0.23000000000000043,0.0,18.0,18.1,17.95,0.15000000000000213,-0.13000000000000256,17.622500000000002,17.69,17.51,0.17999999999999972,0.17999999999999972,17.83,17.96,17.66,0.3000000000000007,0.05000000000000071,3524765,4893779,2183550,2710229,-1812611
2018-02-25,18.0,18.19,17.68,0.5100000000000016,-0.3099999999999987,18.286,18.42,18.19,0.23000000000000043,0.0,17.864,18.01,17.6,0.41000000000000014,-0.3099999999999987,18.096,18.26,17.89,0.370000000000001,0.05000000000000071,3618878,4385781,2622694,1763087,427204
2018-03-04,18.406,18.75,18.09,0.6600000000000001,0.6600000000000001,18.586000000000002,18.96,18.23,0.7300000000000004,0.7300000000000004,18.240000000000002,18.61,17.89,0.7199999999999989,0.7199999999999989,18.506,18.93,18.12,0.8099999999999987,0.8099999999999987,5085150,8988506,2529933,6458573,-297109
2018-03-11,18.702,19.0,18.19,0.8099999999999987,-0.8099999999999987,18.794,19.09,18.39,0.6999999999999993,-0.6999999999999993,18.41,18.74,18.08,0.6600000000000001,-0.5599999999999987,18.524,18.92,18.18,0.740000000000002,-0.5900000000000034,4355222,7791547,2690393,5101154,-925509
2018-03-18,17.82,18.17,17.36,0.8100000000000023,-0.8100000000000023,17.919999999999998,18.25,17.43,0.8200000000000003,-0.8200000000000003,17.424,17.72,16.66,1.0599999999999987,-1.0500000000000007,17.54,17.94,16.66,1.2800000000000011,-1.2100000000000009,4956215,6710012,3714341,2995671,-618539
2018-03-25,16.8175,17.31,16.41,0.8999999999999986,-0.5,16.86,17.31,16.49,0.8200000000000003,-0.5,16.3825,16.6,16.19,0.41000000000000014,-0.21999999999999886,16.57,16.98,16.31,0.6700000000000017,-0.6500000000000021,4955361,7071723,3131570,3940153,1464968
2018-04-01,16.214,16.48,16.0,0.4800000000000004,0.05999999999999872,16.434,16.57,16.3,0.2699999999999996,0.09999999999999787,16.038,16.33,15.89,0.4399999999999977,0.009999999999999787,16.240000000000002,16.42,15.99,0.4300000000000015,0.0,3664082,5854651,1696278,4158373,-2633636
2018-04-08,16.44,16.8,16.14,0.6600000000000001,0.6600000000000001,16.648,17.02,16.36,0.6600000000000001,0.6600000000000001,16.386,16.75,16.04,0.7100000000000009,0.7100000000000009,16.512,16.87,16.04,0.8300000000000018,0.8300000000000018,2622209,3862587,2058798,1803789,1786957
2018-04-15,17.224,17.3,17.03,0.2699999999999996,0.2699999999999996,17.348,17.5,17.07,0.4299999999999997,0.3200000000000003,17.05,17.2,16.79,0.41000000000000014,0.28000000000000114,17.222,17.46,17.03,0.4299999999999997,0.18999999999999773,3787430,4626486,2250661,2375825,563597
2018-04-22,16.266,17.28,13.44,3.8400000000000016,-3.7500000000000018,16.626,17.33,14.98,2.349999999999998,-2.210000000000001,15.896,16.82,12.93,3.8900000000000006,-3.8900000000000006,16.01,17.03,13.03,4.000000000000002,-4.000000000000002,11765430,35786264,3861965,31924299,31613203
2018-04-29,13.47,13.95,12.99,0.9599999999999991,0.9299999999999997,13.93,14.19,13.74,0.4499999999999993,0.40000000000000036,13.402,13.87,12.96,0.9099999999999984,0.9099999999999984,13.698,14.11,13.0,1.1099999999999994,1.1099999999999994,10417319,20266368,4963605,15302763,-15302763
2018-05-06,14.35,14.66,14.18,0.4800000000000004,0.4800000000000004,14.478,14.88,14.19,0.6900000000000013,0.6900000000000013,14.218,14.62,13.93,0.6899999999999995,0.6899999999999995,14.408,14.8,14.08,0.7200000000000006,0.7200000000000006,5045623,7472435,3901867,3570568,2523841
2018-05-13,14.526,14.79,14.35,0.4399999999999995,-0.4399999999999995,14.666,14.9,14.47,0.4299999999999997,-0.4299999999999997,14.42,14.67,14.31,0.35999999999999943,-0.35999999999999943,14.458,14.69,14.35,0.33999999999999986,-0.33999999999999986,4434905,6708393,3132428,3575965,663416
2018-05-20,14.19,14.5,13.88,0.6199999999999992,-0.6199999999999992,14.268,14.52,14.07,0.4499999999999993,-0.4499999999999993,14.054,14.33,13.73,0.5999999999999996,-0.5999999999999996,14.122,14.36,13.92,0.4399999999999995,-0.3699999999999992,3701053,5425380,2038194,3387186,3143045
2018-05-27,14.045,14.15,13.95,0.20000000000000107,0.08000000000000007,14.1875,14.28,14.14,0.1399999999999988,-0.009999999999999787,13.91,14.03,13.81,0.21999999999999886,0.11999999999999922,14.015,14.11,13.89,0.21999999999999886,-0.16000000000000014,4255323,5071971,3860657,1211314,145007
2018-06-03,14.062,14.23,13.87,0.3600000000000012,0.08999999999999986,14.202,14.35,13.98,0.3699999999999992,0.16999999999999993,13.954,14.09,13.82,0.2699999999999996,0.1899999999999995,14.106,14.23,13.88,0.34999999999999964,0.1899999999999995,5182455,8979838,2339769,6640069,-4396337
