Date,FNLC_Open_average,FNLC_Open_max,FNLC_Open_min,FNLC_Open_volatility,FNLC_Open_change,FNLC_High_average,FNLC_High_max,FNLC_High_min,FNLC_High_volatility,FNLC_High_change,FNLC_Low_average,FNLC_Low_max,FNLC_Low_min,FNLC_Low_volatility,FNLC_Low_change,FNLC_Close_average,FNLC_Close_max,FNLC_Close_min,FNLC_Close_volatility,FNLC_Close_change,FNLC_Volume_average,FNLC_Volume_max,FNLC_Volume_min,FNLC_Volume_volatility,FNLC_Volume_change
2018-01-14,29.208,29.74,28.79,0.9499999999999993,-0.389999999999997,29.692,29.92,29.57,0.3500000000000014,-0.120000000000001,29.054,29.32,28.76,0.5599999999999987,0.10000000000000142,29.432,29.75,29.19,0.5599999999999987,0.41000000000000014,10019,14598,3469,11129,-9951
2018-01-21,28.856,29.5,27.84,1.6600000000000001,-1.6600000000000001,28.978,29.5,28.33,1.1700000000000017,-1.1700000000000017,28.278,29.12,27.34,1.7800000000000011,-1.3200000000000003,28.59,29.47,27.87,1.5999999999999979,-1.3900000000000006,17935,26288,6133,20155,8249
2018-01-28,28.226,28.51,28.08,0.43000000000000327,0.0,28.502,28.68,28.38,0.3000000000000007,0.120000000000001,27.766,28.07,27.0,1.0700000000000003,-0.9699999999999989,27.962,28.32,27.13,1.1900000000000013,-0.9100000000000001,11938,15977,9802,6175,5601
2018-02-04,26.956,27.32,26.5,0.8200000000000003,0.4800000000000004,27.483999999999998,27.67,27.31,0.360000000000003,-0.23000000000000043,26.598,27.11,26.35,0.759999999999998,-0.07000000000000028,26.982,27.16,26.6,0.5599999999999987,-0.08999999999999986,21998,27188,17904,9284,2334
2018-02-11,27.0625,27.47,26.85,0.6199999999999974,0.18999999999999773,27.4575,27.69,27.11,0.5800000000000018,0.5800000000000018,26.94,27.06,26.8,0.259999999999998,0.259999999999998,27.23,27.32,27.03,0.28999999999999915,0.28999999999999915,12415,17367,8098,9269,4896
2018-02-18,27.169999999999998,27.49,26.7,0.7899999999999991,0.17999999999999972,27.506,27.91,27.32,0.5899999999999999,0.5899999999999999,26.818,27.26,26.49,0.7700000000000031,0.7700000000000031,27.168,27.86,26.6,1.259999999999998,1.259999999999998,10266,12695,6980,5715,-3353
2018-02-25,27.509999999999998,27.9,26.83,1.0700000000000003,-0.33999999999999986,28.087999999999997,28.38,27.81,0.5700000000000003,0.17999999999999972,27.032,27.56,26.6,0.9599999999999973,0.25,27.462,28.13,26.96,1.1699999999999982,0.7699999999999996,14860,27502,6172,21330,1872
2018-03-04,28.456,28.79,27.92,0.8699999999999974,0.46999999999999886,29.066,29.49,28.69,0.7999999999999972,-0.05000000000000071,27.952,28.06,27.87,0.18999999999999773,0.16000000000000014,28.552,29.08,28.15,0.9299999999999997,0.7099999999999973,9980,12223,7161,5062,-1816
2018-03-11,28.724,29.1,28.26,0.8399999999999999,-0.41000000000000014,29.02,29.13,28.93,0.1999999999999993,-0.14000000000000057,28.428,28.67,28.26,0.41000000000000014,0.28000000000000114,28.728,28.87,28.55,0.3200000000000003,0.19000000000000128,12725,35411,3337,32074,-6649
2018-03-18,28.242,28.92,27.64,1.2800000000000011,-0.6900000000000013,28.72,28.97,28.31,0.6600000000000001,-0.19000000000000128,28.044,28.5,27.59,0.9100000000000001,-0.8399999999999999,28.262,28.72,27.59,1.129999999999999,-0.26000000000000156,8755,14520,2397,12123,11213
