Date,First Trust NASDAQ Technology Dividend_Open_average,First Trust NASDAQ Technology Dividend_Open_max,First Trust NASDAQ Technology Dividend_Open_min,First Trust NASDAQ Technology Dividend_Open_volatility,First Trust NASDAQ Technology Dividend_Open_change,First Trust NASDAQ Technology Dividend_High_average,First Trust NASDAQ Technology Dividend_High_max,First Trust NASDAQ Technology Dividend_High_min,First Trust NASDAQ Technology Dividend_High_volatility,First Trust NASDAQ Technology Dividend_High_change,First Trust NASDAQ Technology Dividend_Low_average,First Trust NASDAQ Technology Dividend_Low_max,First Trust NASDAQ Technology Dividend_Low_min,First Trust NASDAQ Technology Dividend_Low_volatility,First Trust NASDAQ Technology Dividend_Low_change,First Trust NASDAQ Technology Dividend_Close_average,First Trust NASDAQ Technology Dividend_Close_max,First Trust NASDAQ Technology Dividend_Close_min,First Trust NASDAQ Technology Dividend_Close_volatility,First Trust NASDAQ Technology Dividend_Close_change
2018-01-14,37.04,37.04,37.04,0.0,0.0,37.31,37.31,37.31,0.0,0.0,36.93,36.93,36.93,0.0,0.0,37.29,37.29,37.29,0.0,0.0
2018-01-21,37.62,37.62,37.62,0.0,0.0,37.72,37.72,37.72,0.0,0.0,37.43,37.43,37.43,0.0,0.0,37.54,37.54,37.54,0.0,0.0
2018-01-28,36.0,36.0,36.0,0.0,0.0,36.41,36.41,36.41,0.0,0.0,34.8,34.8,34.8,0.0,0.0,34.8,34.8,34.8,0.0,0.0
2018-02-04,34.66,34.66,34.66,0.0,0.0,35.37,35.37,35.37,0.0,0.0,34.66,34.66,34.66,0.0,0.0,35.17,35.17,35.17,0.0,0.0
2018-02-11,36.43,36.43,36.43,0.0,0.0,36.83,36.83,36.83,0.0,0.0,36.36,36.36,36.36,0.0,0.0,36.46,36.46,36.46,0.0,0.0
2018-02-18,36.95,36.95,36.95,0.0,0.0,37.43,37.43,37.43,0.0,0.0,36.95,36.95,36.95,0.0,0.0,37.36,37.36,37.36,0.0,0.0
2018-02-25,36.57,36.57,36.57,0.0,0.0,37.17,37.17,37.17,0.0,0.0,36.53,36.53,36.53,0.0,0.0,37.09,37.09,37.09,0.0,0.0
2018-03-04,38.1,38.1,38.1,0.0,0.0,38.21,38.21,38.21,0.0,0.0,37.93,37.93,37.93,0.0,0.0,38.16,38.16,38.16,0.0,0.0
2018-03-11,37.42,37.42,37.42,0.0,0.0,37.42,37.42,37.42,0.0,0.0,36.75,36.75,36.75,0.0,0.0,37.05,37.05,37.05,0.0,0.0
2018-03-18,35.52,35.52,35.52,0.0,0.0,36.25,36.25,36.25,0.0,0.0,35.38,35.38,35.38,0.0,0.0,36.22,36.22,36.22,0.0,0.0
2018-03-25,35.74,35.74,35.74,0.0,0.0,35.75,35.75,35.75,0.0,0.0,34.42,34.42,34.42,0.0,0.0,34.8,34.8,34.8,0.0,0.0
2018-04-01,35.17,35.17,35.17,0.0,0.0,35.75,35.75,35.75,0.0,0.0,35.07,35.07,35.07,0.0,0.0,35.07,35.07,35.07,0.0,0.0
2018-04-08,36.2,36.2,36.2,0.0,0.0,36.37,36.37,36.37,0.0,0.0,36.03,36.03,36.03,0.0,0.0,36.28,36.28,36.28,0.0,0.0
2018-04-15,35.63,35.63,35.63,0.0,0.0,35.71,35.71,35.71,0.0,0.0,35.25,35.25,35.25,0.0,0.0,35.39,35.39,35.39,0.0,0.0
2018-04-22,35.66,35.66,35.66,0.0,0.0,35.84,35.84,35.84,0.0,0.0,35.32,35.32,35.32,0.0,0.0,35.34,35.34,35.34,0.0,0.0
2018-04-29,35.93,35.93,35.93,0.0,0.0,36.13,36.13,36.13,0.0,0.0,35.9,35.9,35.9,0.0,0.0,35.99,35.99,35.99,0.0,0.0
2018-05-06,36.77,36.77,36.77,0.0,0.0,37.0,37.0,37.0,0.0,0.0,36.7,36.7,36.7,0.0,0.0,36.76,36.76,36.76,0.0,0.0
2018-05-13,36.43,36.43,36.43,0.0,0.0,36.65,36.65,36.65,0.0,0.0,36.36,36.36,36.36,0.0,0.0,36.49,36.49,36.49,0.0,0.0
2018-05-20,36.41,36.41,36.41,0.0,0.0,36.65,36.65,36.65,0.0,0.0,36.4,36.4,36.4,0.0,0.0,36.52,36.52,36.52,0.0,0.0
2018-05-27,37.0,37.0,37.0,0.0,0.0,37.07,37.07,37.07,0.0,0.0,36.92,36.92,36.92,0.0,0.0,37.02,37.02,37.02,0.0,0.0
