Date,Global X SuperDividend REIT_etf_Open_average,Global X SuperDividend REIT_etf_Open_max,Global X SuperDividend REIT_etf_Open_min,Global X SuperDividend REIT_etf_Open_volatility,Global X SuperDividend REIT_etf_Open_change,Global X SuperDividend REIT_etf_High_average,Global X SuperDividend REIT_etf_High_max,Global X SuperDividend REIT_etf_High_min,Global X SuperDividend REIT_etf_High_volatility,Global X SuperDividend REIT_etf_High_change,Global X SuperDividend REIT_etf_Low_average,Global X SuperDividend REIT_etf_Low_max,Global X SuperDividend REIT_etf_Low_min,Global X SuperDividend REIT_etf_Low_volatility,Global X SuperDividend REIT_etf_Low_change,Global X SuperDividend REIT_etf_Close_average,Global X SuperDividend REIT_etf_Close_max,Global X SuperDividend REIT_etf_Close_min,Global X SuperDividend REIT_etf_Close_volatility,Global X SuperDividend REIT_etf_Close_change
2018-01-14,15.29,15.29,15.29,0.0,0.0,15.31,15.31,15.31,0.0,0.0,15.28,15.28,15.28,0.0,0.0,15.3,15.3,15.3,0.0,0.0
2018-01-21,15.46,15.46,15.46,0.0,0.0,15.46,15.46,15.46,0.0,0.0,15.38,15.38,15.38,0.0,0.0,15.4,15.4,15.4,0.0,0.0
2018-01-28,14.89,14.89,14.89,0.0,0.0,14.89,14.89,14.89,0.0,0.0,14.65,14.65,14.65,0.0,0.0,14.66,14.66,14.66,0.0,0.0
2018-02-04,14.0,14.0,14.0,0.0,0.0,14.14,14.14,14.14,0.0,0.0,13.87,13.87,13.87,0.0,0.0,14.1,14.1,14.1,0.0,0.0
2018-02-11,14.47,14.47,14.47,0.0,0.0,14.57,14.57,14.57,0.0,0.0,14.43,14.43,14.43,0.0,0.0,14.56,14.56,14.56,0.0,0.0
2018-02-18,14.16,14.16,14.16,0.0,0.0,14.32,14.32,14.32,0.0,0.0,14.16,14.16,14.16,0.0,0.0,14.29,14.29,14.29,0.0,0.0
2018-02-25,13.73,13.73,13.73,0.0,0.0,13.84,13.84,13.84,0.0,0.0,13.72,13.72,13.72,0.0,0.0,13.84,13.84,13.84,0.0,0.0
2018-03-04,14.17,14.17,14.17,0.0,0.0,14.17,14.17,14.17,0.0,0.0,14.09,14.09,14.09,0.0,0.0,14.15,14.15,14.15,0.0,0.0
2018-03-11,14.27,14.27,14.27,0.0,0.0,14.33,14.33,14.33,0.0,0.0,14.22,14.22,14.22,0.0,0.0,14.33,14.33,14.33,0.0,0.0
2018-03-18,14.13,14.13,14.13,0.0,0.0,14.14,14.14,14.14,0.0,0.0,13.9,13.9,13.9,0.0,0.0,13.9,13.9,13.9,0.0,0.0
2018-03-25,14.34,14.34,14.34,0.0,0.0,14.39,14.39,14.39,0.0,0.0,14.32,14.32,14.32,0.0,0.0,14.37,14.37,14.37,0.0,0.0
2018-04-01,14.31,14.31,14.31,0.0,0.0,14.4,14.4,14.4,0.0,0.0,14.28,14.28,14.28,0.0,0.0,14.32,14.32,14.32,0.0,0.0
2018-04-08,14.27,14.27,14.27,0.0,0.0,14.27,14.27,14.27,0.0,0.0,14.16,14.16,14.16,0.0,0.0,14.16,14.16,14.16,0.0,0.0
2018-04-15,14.25,14.25,14.25,0.0,0.0,14.26,14.26,14.26,0.0,0.0,14.18,14.18,14.18,0.0,0.0,14.19,14.19,14.19,0.0,0.0
2018-04-22,14.35,14.35,14.35,0.0,0.0,14.5,14.5,14.5,0.0,0.0,14.35,14.35,14.35,0.0,0.0,14.49,14.49,14.49,0.0,0.0
2018-04-29,14.54,14.54,14.54,0.0,0.0,14.68,14.68,14.68,0.0,0.0,14.52,14.52,14.52,0.0,0.0,14.68,14.68,14.68,0.0,0.0
2018-05-06,14.95,14.95,14.95,0.0,0.0,14.96,14.96,14.96,0.0,0.0,14.9,14.9,14.9,0.0,0.0,14.91,14.91,14.91,0.0,0.0
2018-05-13,14.72,14.72,14.72,0.0,0.0,14.79,14.79,14.79,0.0,0.0,14.67,14.67,14.67,0.0,0.0,14.79,14.79,14.79,0.0,0.0
2018-05-20,15.02,15.02,15.02,0.0,0.0,15.03,15.03,15.03,0.0,0.0,14.98,14.98,14.98,0.0,0.0,15.03,15.03,15.03,0.0,0.0
2018-05-27,15.14,15.14,15.14,0.0,0.0,15.14,15.14,15.14,0.0,0.0,15.09,15.09,15.09,0.0,0.0,15.12,15.12,15.12,0.0,0.0
2018-06-03,15.06,15.06,15.06,0.0,0.0,15.1,15.1,15.1,0.0,0.0,15.05,15.05,15.05,0.0,0.0,15.09,15.09,15.09,0.0,0.0
2018-06-10,15.1,15.1,15.1,0.0,0.0,15.11,15.11,15.11,0.0,0.0,15.07,15.07,15.07,0.0,0.0,15.08,15.08,15.08,0.0,0.0
2018-06-17,15.29,15.29,15.29,0.0,0.0,15.34,15.34,15.34,0.0,0.0,15.23,15.23,15.23,0.0,0.0,15.3,15.3,15.3,0.0,0.0
2018-06-24,15.31,15.31,15.31,0.0,0.0,15.33,15.33,15.33,0.0,0.0,15.23,15.23,15.23,0.0,0.0,15.3,15.3,15.3,0.0,0.0
2018-07-01,15.53,15.53,15.53,0.0,0.0,15.56,15.56,15.56,0.0,0.0,15.47,15.47,15.47,0.0,0.0,15.55,15.55,15.55,0.0,0.0
2018-07-08,15.42,15.42,15.42,0.0,0.0,15.5,15.5,15.5,0.0,0.0,15.4,15.4,15.4,0.0,0.0,15.43,15.43,15.43,0.0,0.0
2018-07-15,15.42,15.42,15.42,0.0,0.0,15.48,15.48,15.48,0.0,0.0,15.37,15.37,15.37,0.0,0.0,15.42,15.42,15.42,0.0,0.0
2018-07-22,15.52,15.52,15.52,0.0,0.0,15.52,15.52,15.52,0.0,0.0,15.23,15.23,15.23,0.0,0.0,15.29,15.29,15.29,0.0,0.0
2018-07-29,15.48,15.48,15.48,0.0,0.0,15.5,15.5,15.5,0.0,0.0,15.41,15.41,15.41,0.0,0.0,15.46,15.46,15.46,0.0,0.0
2018-08-05,15.39,15.39,15.39,0.0,0.0,15.39,15.39,15.39,0.0,0.0,15.33,15.33,15.33,0.0,0.0,15.33,15.33,15.33,0.0,0.0
