Date,Guggenheim Solar_Open_average,Guggenheim Solar_Open_max,Guggenheim Solar_Open_min,Guggenheim Solar_Open_volatility,Guggenheim Solar_Open_change,Guggenheim Solar_High_average,Guggenheim Solar_High_max,Guggenheim Solar_High_min,Guggenheim Solar_High_volatility,Guggenheim Solar_High_change,Guggenheim Solar_Low_average,Guggenheim Solar_Low_max,Guggenheim Solar_Low_min,Guggenheim Solar_Low_volatility,Guggenheim Solar_Low_change,Guggenheim Solar_Close_average,Guggenheim Solar_Close_max,Guggenheim Solar_Close_min,Guggenheim Solar_Close_volatility,Guggenheim Solar_Close_change
2018-01-14,25.74,25.74,25.74,0.0,0.0,25.86,25.86,25.86,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.75,25.75,25.75,0.0,0.0
2018-01-21,25.53,25.53,25.53,0.0,0.0,25.67,25.67,25.67,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.58,25.58,25.58,0.0,0.0
2018-01-28,23.94,23.94,23.94,0.0,0.0,24.17,24.17,24.17,0.0,0.0,23.16,23.16,23.16,0.0,0.0,23.19,23.19,23.19,0.0,0.0
2018-02-04,22.74,22.74,22.74,0.0,0.0,23.15,23.15,23.15,0.0,0.0,22.74,22.74,22.74,0.0,0.0,23.02,23.02,23.02,0.0,0.0
2018-02-11,24.61,24.61,24.61,0.0,0.0,24.96,24.96,24.96,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.84,24.84,24.84,0.0,0.0
2018-02-18,24.79,24.79,24.79,0.0,0.0,25.07,25.07,25.07,0.0,0.0,24.74,24.74,24.74,0.0,0.0,25.07,25.07,25.07,0.0,0.0
2018-02-25,24.3,24.3,24.3,0.0,0.0,24.68,24.68,24.68,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.65,24.65,24.65,0.0,0.0
2018-03-04,25.24,25.24,25.24,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.21,25.21,25.21,0.0,0.0,25.41,25.41,25.41,0.0,0.0
2018-03-11,25.24,25.24,25.24,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.09,25.09,25.09,0.0,0.0,25.26,25.26,25.26,0.0,0.0
2018-03-18,25.37,25.37,25.37,0.0,0.0,25.68,25.68,25.68,0.0,0.0,25.14,25.14,25.14,0.0,0.0,25.67,25.67,25.67,0.0,0.0
2018-03-25,24.44,24.44,24.44,0.0,0.0,24.52,24.52,24.52,0.0,0.0,24.11,24.11,24.11,0.0,0.0,24.36,24.36,24.36,0.0,0.0
2018-04-01,24.65,24.65,24.65,0.0,0.0,24.92,24.92,24.92,0.0,0.0,24.61,24.61,24.61,0.0,0.0,24.61,24.61,24.61,0.0,0.0
2018-04-08,24.72,24.72,24.72,0.0,0.0,24.76,24.76,24.76,0.0,0.0,24.44,24.44,24.44,0.0,0.0,24.53,24.53,24.53,0.0,0.0
2018-04-15,25.37,25.37,25.37,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.06,25.06,25.06,0.0,0.0,25.14,25.14,25.14,0.0,0.0
2018-04-22,25.19,25.19,25.19,0.0,0.0,25.19,25.19,25.19,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.62,24.62,24.62,0.0,0.0
2018-04-29,24.27,24.27,24.27,0.0,0.0,24.74,24.74,24.74,0.0,0.0,24.27,24.27,24.27,0.0,0.0,24.64,24.64,24.64,0.0,0.0
2018-05-06,26.12,26.12,26.12,0.0,0.0,26.65,26.65,26.65,0.0,0.0,26.12,26.12,26.12,0.0,0.0,26.38,26.38,26.38,0.0,0.0
2018-05-13,26.9,26.9,26.9,0.0,0.0,27.03,27.03,27.03,0.0,0.0,26.84,26.84,26.84,0.0,0.0,26.93,26.93,26.93,0.0,0.0
2018-05-20,25.8,25.8,25.8,0.0,0.0,25.98,25.98,25.98,0.0,0.0,25.62,25.62,25.62,0.0,0.0,25.91,25.91,25.91,0.0,0.0
2018-05-27,24.98,24.98,24.98,0.0,0.0,24.98,24.98,24.98,0.0,0.0,23.69,23.69,23.69,0.0,0.0,24.03,24.03,24.03,0.0,0.0
2018-06-03,23.2,23.2,23.2,0.0,0.0,23.32,23.32,23.32,0.0,0.0,23.11,23.11,23.11,0.0,0.0,23.17,23.17,23.17,0.0,0.0
2018-06-10,23.23,23.23,23.23,0.0,0.0,23.46,23.46,23.46,0.0,0.0,23.01,23.01,23.01,0.0,0.0,23.38,23.38,23.38,0.0,0.0
2018-06-17,23.66,23.66,23.66,0.0,0.0,23.7,23.7,23.7,0.0,0.0,23.13,23.13,23.13,0.0,0.0,23.31,23.31,23.31,0.0,0.0
2018-06-24,22.84,22.84,22.84,0.0,0.0,23.3,23.3,23.3,0.0,0.0,22.75,22.75,22.75,0.0,0.0,23.26,23.26,23.26,0.0,0.0
2018-07-01,23.73,23.73,23.73,0.0,0.0,23.95,23.95,23.95,0.0,0.0,23.57,23.57,23.57,0.0,0.0,23.93,23.93,23.93,0.0,0.0
2018-07-08,23.35,23.35,23.35,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.13,23.13,23.13,0.0,0.0,23.26,23.26,23.26,0.0,0.0
2018-07-15,22.75,22.75,22.75,0.0,0.0,22.86,22.86,22.86,0.0,0.0,22.65,22.65,22.65,0.0,0.0,22.75,22.75,22.75,0.0,0.0
2018-07-22,22.63,22.63,22.63,0.0,0.0,22.81,22.81,22.81,0.0,0.0,22.34,22.34,22.34,0.0,0.0,22.45,22.45,22.45,0.0,0.0
2018-07-29,22.06,22.06,22.06,0.0,0.0,22.46,22.46,22.46,0.0,0.0,22.06,22.06,22.06,0.0,0.0,22.42,22.42,22.42,0.0,0.0
2018-08-05,22.19,22.19,22.19,0.0,0.0,22.19,22.19,22.19,0.0,0.0,21.72,21.72,21.72,0.0,0.0,21.8,21.8,21.8,0.0,0.0
2018-08-12,21.19,21.19,21.19,0.0,0.0,21.47,21.47,21.47,0.0,0.0,21.18,21.18,21.18,0.0,0.0,21.43,21.43,21.43,0.0,0.0
2018-08-19,21.96,21.96,21.96,0.0,0.0,22.14,22.14,22.14,0.0,0.0,21.92,21.92,21.92,0.0,0.0,21.95,21.95,21.95,0.0,0.0
2018-08-26,21.66,21.66,21.66,0.0,0.0,21.83,21.83,21.83,0.0,0.0,21.63,21.63,21.63,0.0,0.0,21.83,21.83,21.83,0.0,0.0
2018-09-02,20.82,20.82,20.82,0.0,0.0,20.82,20.82,20.82,0.0,0.0,20.67,20.67,20.67,0.0,0.0,20.72,20.72,20.72,0.0,0.0
2018-09-09,20.82,20.82,20.82,0.0,0.0,20.89,20.89,20.89,0.0,0.0,20.62,20.62,20.62,0.0,0.0,20.67,20.67,20.67,0.0,0.0
2018-09-16,21.46,21.46,21.46,0.0,0.0,21.53,21.53,21.53,0.0,0.0,21.4,21.4,21.4,0.0,0.0,21.43,21.43,21.43,0.0,0.0
2018-09-23,20.83,20.83,20.83,0.0,0.0,20.89,20.89,20.89,0.0,0.0,20.7,20.7,20.7,0.0,0.0,20.74,20.74,20.74,0.0,0.0
2018-09-30,19.8,19.8,19.8,0.0,0.0,19.93,19.93,19.93,0.0,0.0,19.63,19.63,19.63,0.0,0.0,19.91,19.91,19.91,0.0,0.0
2018-10-07,19.1,19.1,19.1,0.0,0.0,19.56,19.56,19.56,0.0,0.0,19.1,19.1,19.1,0.0,0.0,19.44,19.44,19.44,0.0,0.0
2018-10-14,19.0,19.0,19.0,0.0,0.0,19.18,19.18,19.18,0.0,0.0,18.78,18.78,18.78,0.0,0.0,18.92,18.92,18.92,0.0,0.0
