Date,IBA_Open_average,IBA_Open_max,IBA_Open_min,IBA_Open_volatility,IBA_Open_change,IBA_High_average,IBA_High_max,IBA_High_min,IBA_High_volatility,IBA_High_change,IBA_Low_average,IBA_Low_max,IBA_Low_min,IBA_Low_volatility,IBA_Low_change,IBA_Close_average,IBA_Close_max,IBA_Close_min,IBA_Close_volatility,IBA_Close_change,IBA_Volume_average,IBA_Volume_max,IBA_Volume_min,IBA_Volume_volatility,IBA_Volume_change
2018-01-14,61.120000000000005,61.5,60.17,1.3299999999999983,1.2800000000000011,61.6175,61.8,61.37,0.4299999999999997,0.4299999999999997,61.015,61.34,60.17,1.1700000000000017,1.1700000000000017,61.5475,61.79,61.37,0.4200000000000017,0.4200000000000017,6247,12043,2424,9619,6695
2018-01-21,61.72,62.23,61.26,0.9699999999999989,0.9699999999999989,62.576,64.44,61.63,2.809999999999995,2.530000000000001,61.602,62.23,61.06,1.1699999999999946,1.1699999999999946,62.174,63.83,61.28,2.549999999999997,2.269999999999996,9055,14705,4991,9714,-5097
2018-01-28,62.152,63.34,61.34,2.0,-2.0,62.386,63.41,61.34,2.069999999999993,-2.069999999999993,61.184,62.42,60.01,2.4100000000000037,-2.4100000000000037,61.75,62.99,60.01,2.980000000000004,-2.980000000000004,7971,17689,2905,14784,-2420
2018-02-04,58.636,60.0,57.7,2.299999999999997,-2.1300000000000026,59.748,60.5,58.73,1.7700000000000031,-1.1499999999999986,57.39,58.41,56.52,1.8899999999999935,-1.5399999999999991,58.298,59.37,57.38,1.9899999999999949,-0.25,11499,15859,7190,8669,1085
2018-02-11,59.274,59.9,58.42,1.4799999999999969,1.3999999999999986,60.252,60.79,59.7,1.0899999999999963,0.5399999999999991,58.846000000000004,59.34,58.0,1.3400000000000034,1.1199999999999974,59.717999999999996,60.06,59.41,0.6500000000000057,-0.19000000000000483,19717,32807,4186,28621,11361
2018-02-18,58.8025,59.27,57.93,1.3400000000000034,-1.2999999999999972,59.2975,60.04,58.62,1.4200000000000017,-0.6099999999999994,57.8775,58.31,57.46,0.8500000000000014,-0.6600000000000037,58.715,59.16,58.41,0.75,-0.75,8338,10418,5528,4890,-4676
2018-02-25,58.126,58.55,57.21,1.3399999999999963,0.17999999999999972,58.798,59.37,58.0,1.3699999999999974,0.46999999999999886,57.646,58.55,56.61,1.9399999999999977,0.5,58.274,59.03,57.45,1.5799999999999983,0.980000000000004,5093,8195,2536,5659,-5659
2018-03-04,59.769999999999996,60.78,58.62,2.1600000000000037,2.1600000000000037,60.424,61.86,59.54,2.3200000000000003,2.3200000000000003,59.002,60.49,57.73,2.760000000000005,2.469999999999999,60.147999999999996,61.16,59.49,1.6699999999999946,1.6699999999999946,6749,14317,3499,10818,1576
2018-03-11,61.846,62.13,61.37,0.7600000000000051,0.28000000000000114,62.544000000000004,62.76,62.27,0.4899999999999949,-0.10000000000000142,61.232,61.45,61.07,0.38000000000000256,0.35999999999999943,61.562,61.87,61.45,0.4199999999999946,-0.37999999999999545,5333,7626,3919,3707,1614
2018-03-18,61.480000000000004,62.17,61.04,1.1300000000000026,0.5,61.984,62.27,61.32,0.9500000000000028,-0.1699999999999946,60.788,61.35,59.8,1.5500000000000043,-1.2800000000000011,61.275999999999996,62.17,59.83,2.3400000000000034,-2.1499999999999986,5028,10327,1545,8782,3686
2018-03-25,62.045,62.94,60.4,2.539999999999999,2.539999999999999,63.0075,63.8,61.96,1.8399999999999963,1.1799999999999997,61.3025,61.95,59.87,2.0800000000000054,2.0800000000000054,62.2575,62.67,61.95,0.7199999999999989,0.0,4887,10216,1950,8266,3211
2018-04-01,62.372,63.25,61.26,1.990000000000002,0.9299999999999997,63.314,64.38,62.08,2.299999999999997,0.6000000000000014,61.674,63.13,61.07,2.0600000000000023,0.5499999999999972,62.576,63.84,61.65,2.190000000000005,-0.10999999999999943,4817,9099,2299,6800,4047
2018-04-08,61.524,62.69,60.99,1.6999999999999957,-1.269999999999996,62.02,62.69,61.38,1.3099999999999952,-1.0700000000000003,60.726,61.31,60.22,1.0900000000000034,1.0900000000000034,61.296,61.62,60.96,0.6599999999999966,0.6599999999999966,5297,12210,1632,10578,-2205
2018-04-15,62.676,64.0,61.82,2.1799999999999997,-0.00999999999999801,63.422,64.05,62.32,1.7299999999999969,-1.1400000000000006,62.006,62.74,61.29,1.4500000000000028,-0.6099999999999994,62.674,63.02,61.77,1.25,-0.1600000000000037,7413,17756,1095,16661,-1288
2018-04-22,60.954,62.09,60.16,1.9300000000000068,-0.39000000000000057,61.812,63.25,60.18,3.0700000000000003,0.8099999999999952,60.234,61.7,59.21,2.490000000000002,1.3100000000000023,60.79,62.56,59.8,2.760000000000005,2.1099999999999994,8564,24428,2299,22129,-1810
2018-04-29,60.806,62.87,59.4,3.469999999999999,-3.469999999999999,61.36,62.87,60.01,2.8599999999999994,-2.8599999999999994,59.728,61.44,58.22,3.219999999999999,-3.219999999999999,60.826,62.07,59.2,2.8699999999999974,-2.4100000000000037,5604,7025,4066,2959,1800
2018-05-06,58.71,59.68,57.88,1.7999999999999972,-0.36999999999999744,59.412,60.33,58.4,1.9299999999999997,-0.8399999999999963,58.066,58.48,57.81,0.6699999999999946,0.6699999999999946,58.604,59.63,57.96,1.6700000000000017,0.519999999999996,3564,8364,1501,6863,-984
2018-05-13,58.078,59.1,57.39,1.7100000000000009,-1.7100000000000009,58.49,59.58,58.01,1.5700000000000003,-1.5499999999999972,57.202,57.8,56.67,1.1299999999999955,-1.1299999999999955,57.612,58.22,56.85,1.3699999999999974,-1.3699999999999974,5586,12438,1732,10706,-7787
2018-05-20,57.306,57.45,57.11,0.3400000000000034,0.22999999999999687,57.82,58.06,57.4,0.6600000000000037,-0.20000000000000284,57.072,57.4,56.8,0.6000000000000014,0.05000000000000426,57.476,57.99,56.85,1.1400000000000006,-0.4200000000000017,2783,3931,1275,2656,-788
2018-05-27,55.8625,56.68,55.03,1.6499999999999986,-1.6499999999999986,56.2375,56.85,55.48,1.3700000000000045,-1.3700000000000045,54.86,55.15,54.46,0.6899999999999977,0.5700000000000003,55.315,56.12,54.86,1.259999999999998,0.35999999999999943,6377,11779,1867,9912,-8033
2018-06-03,54.124,55.71,53.0,2.710000000000001,-2.3000000000000043,54.955999999999996,55.97,54.16,1.8100000000000023,-1.3699999999999974,53.542,55.71,53.0,2.710000000000001,-2.710000000000001,54.128,55.89,53.0,2.8900000000000006,-1.6899999999999977,10651,24400,2032,22368,8169
2018-06-10,53.81,54.5,53.27,1.2299999999999969,-0.1700000000000017,54.55,55.0,54.1,0.8999999999999986,0.39000000000000057,53.272,53.58,53.0,0.5799999999999983,0.0799999999999983,53.754,54.56,53.3,1.2600000000000051,-0.490000000000002,6504,11979,3054,8925,2543
2018-06-17,54.978,56.3,53.77,2.529999999999994,1.220000000000006,55.867999999999995,56.6,55.16,1.4400000000000048,1.3700000000000045,54.348,55.52,53.71,1.8100000000000023,1.8100000000000023,55.366,56.2,54.45,1.75,1.75,9063,21385,2595,18790,-2263
2018-06-24,56.978,58.06,56.04,2.020000000000003,0.5799999999999983,58.172,58.7,56.76,1.9400000000000048,1.740000000000002,56.37,57.48,54.92,2.559999999999995,1.6999999999999957,57.484,58.3,55.81,2.489999999999995,1.9399999999999977,11569,20527,5104,15423,-9118
2018-07-01,57.7025,58.84,56.6,2.240000000000002,1.4000000000000057,58.865,61.0,57.44,3.5600000000000023,3.5600000000000023,56.865,58.84,54.87,3.970000000000006,3.970000000000006,58.7175,60.82,57.07,3.75,3.75,11744,16694,5141,11553,-7310
2018-07-08,60.578,61.54,59.92,1.6199999999999974,-0.23999999999999488,61.034,61.59,60.12,1.470000000000006,-0.6600000000000037,59.534,60.0,58.63,1.3699999999999974,0.6699999999999946,60.333999999999996,61.54,59.32,2.219999999999999,-0.6000000000000014,12984,25568,6402,19166,-12831
2018-07-15,59.958,61.25,58.75,2.5,-0.5300000000000011,61.02,61.65,60.03,1.6199999999999974,-0.4399999999999977,59.69,60.86,58.75,2.1099999999999994,-0.030000000000001137,60.75,61.65,59.9,1.75,-1.1299999999999955,6353,14287,1970,12317,-4169
2018-07-22,60.314,61.23,59.85,1.3799999999999955,0.9799999999999969,60.762,61.23,60.25,0.9799999999999969,0.3299999999999983,59.476,60.24,58.79,1.4500000000000028,-1.1700000000000017,60.08,60.68,58.79,1.8900000000000006,-1.5500000000000043,6170,11688,641,11047,8023
2018-07-29,59.412,59.7,58.67,1.0300000000000011,0.13000000000000256,60.382,61.38,59.96,1.4200000000000017,0.7800000000000011,59.32,59.7,58.67,1.0300000000000011,0.13000000000000256,59.824,60.85,59.32,1.5300000000000011,1.2100000000000009,7874,15779,2557,13222,-6447
2018-08-05,61.012,62.5,59.93,2.5700000000000003,-2.5700000000000003,61.614,62.5,61.03,1.4699999999999989,-1.4099999999999966,60.108,61.17,58.08,3.0900000000000034,-2.0600000000000023,60.618,61.73,58.43,3.299999999999997,-1.9500000000000028,4908,9618,2080,7538,3051
2018-08-12,57.97,58.45,57.29,1.1600000000000037,-0.9399999999999977,58.712,59.59,58.01,1.5800000000000054,-1.5800000000000054,57.38,57.92,56.73,1.1900000000000048,-0.3299999999999983,57.794,58.45,57.23,1.220000000000006,0.030000000000001137,7206,17031,3801,13230,-408
