Date,IDN_Open_average,IDN_Open_max,IDN_Open_min,IDN_Open_volatility,IDN_Open_change,IDN_High_average,IDN_High_max,IDN_High_min,IDN_High_volatility,IDN_High_change,IDN_Low_average,IDN_Low_max,IDN_Low_min,IDN_Low_volatility,IDN_Low_change,IDN_Close_average,IDN_Close_max,IDN_Close_min,IDN_Close_volatility,IDN_Close_change,IDN_Volume_average,IDN_Volume_max,IDN_Volume_min,IDN_Volume_volatility,IDN_Volume_change
2018-01-14,2.41,2.54,2.27,0.27,-0.27,2.456,2.54,2.4,0.14000000000000012,-0.14000000000000012,2.318,2.42,2.27,0.1499999999999999,-0.1499999999999999,2.386,2.47,2.31,0.16000000000000014,-0.16000000000000014,5724,9564,3594,5970,4696
2018-01-21,2.448,2.58,2.33,0.25,0.10999999999999988,2.506,2.59,2.39,0.19999999999999973,0.04999999999999982,2.372,2.46,2.29,0.16999999999999993,0.009999999999999787,2.398,2.46,2.32,0.14000000000000012,-0.010000000000000231,7193,12437,2126,10311,5864
2018-01-28,2.428,2.68,2.14,0.54,0.33000000000000007,2.622,2.88,2.38,0.5,0.26000000000000023,2.2560000000000002,2.45,2.11,0.3400000000000003,0.20000000000000018,2.388,2.6,2.13,0.4700000000000002,0.1499999999999999,24648,45649,10197,35452,-2466
2018-02-04,2.442,2.61,2.31,0.2999999999999998,0.029999999999999805,2.546,2.62,2.48,0.14000000000000012,0.020000000000000018,2.352,2.42,2.31,0.10999999999999988,0.040000000000000036,2.466,2.61,2.33,0.2799999999999998,0.040000000000000036,6813,22294,693,21601,-1006
2018-02-11,2.49,2.5,2.47,0.029999999999999805,0.0,2.5425,2.6,2.5,0.10000000000000009,0.10000000000000009,2.4325,2.5,2.35,0.1499999999999999,0.020000000000000018,2.48,2.56,2.4,0.16000000000000014,0.08000000000000007,15005,42580,1113,41467,41467
2018-02-18,2.724,2.87,2.5,0.3700000000000001,0.2799999999999998,2.818,2.87,2.75,0.1200000000000001,0.029999999999999805,2.66,2.72,2.5,0.2200000000000002,0.18000000000000016,2.7560000000000002,2.87,2.7,0.16999999999999993,0.04999999999999982,23903,57844,4919,52925,-38522
2018-02-25,2.754,2.85,2.59,0.26000000000000023,0.03000000000000025,2.828,2.87,2.75,0.1200000000000001,0.07000000000000028,2.634,2.74,2.56,0.18000000000000016,0.040000000000000036,2.754,2.87,2.56,0.31000000000000005,0.1499999999999999,4882,6714,3505,3209,448
2018-03-04,2.692,2.8,2.6,0.19999999999999973,-0.1299999999999999,2.79,2.86,2.72,0.13999999999999968,-0.009999999999999787,2.618,2.66,2.58,0.08000000000000007,0.08000000000000007,2.688,2.85,2.58,0.27,0.27,3381,5154,1643,3511,-2256
2018-03-11,2.7,2.83,2.59,0.2400000000000002,-0.03000000000000025,2.77,2.86,2.66,0.19999999999999973,-0.03000000000000025,2.602,2.68,2.58,0.10000000000000009,-0.10000000000000009,2.68,2.86,2.6,0.2599999999999998,-0.06000000000000005,5930,10519,235,10284,7732
2018-03-18,2.324,2.64,1.99,0.6500000000000001,-0.6500000000000001,2.3360000000000003,2.64,1.99,0.6500000000000001,-0.6500000000000001,2.088,2.4,1.58,0.8199999999999998,-0.8199999999999998,2.142,2.45,1.65,0.8000000000000003,-0.8000000000000003,24330,42157,5930,36227,26027
