Date,Janus SmallMid Cap Growth Alpha_etf_Open_average,Janus SmallMid Cap Growth Alpha_etf_Open_max,Janus SmallMid Cap Growth Alpha_etf_Open_min,Janus SmallMid Cap Growth Alpha_etf_Open_volatility,Janus SmallMid Cap Growth Alpha_etf_Open_change,Janus SmallMid Cap Growth Alpha_etf_High_average,Janus SmallMid Cap Growth Alpha_etf_High_max,Janus SmallMid Cap Growth Alpha_etf_High_min,Janus SmallMid Cap Growth Alpha_etf_High_volatility,Janus SmallMid Cap Growth Alpha_etf_High_change,Janus SmallMid Cap Growth Alpha_etf_Low_average,Janus SmallMid Cap Growth Alpha_etf_Low_max,Janus SmallMid Cap Growth Alpha_etf_Low_min,Janus SmallMid Cap Growth Alpha_etf_Low_volatility,Janus SmallMid Cap Growth Alpha_etf_Low_change,Janus SmallMid Cap Growth Alpha_etf_Close_average,Janus SmallMid Cap Growth Alpha_etf_Close_max,Janus SmallMid Cap Growth Alpha_etf_Close_min,Janus SmallMid Cap Growth Alpha_etf_Close_volatility,Janus SmallMid Cap Growth Alpha_etf_Close_change
2018-01-14,40.43,40.43,40.43,0.0,0.0,40.55,40.55,40.55,0.0,0.0,40.2,40.2,40.2,0.0,0.0,40.55,40.55,40.55,0.0,0.0
2018-01-21,41.37,41.37,41.37,0.0,0.0,41.49,41.49,41.49,0.0,0.0,41.29,41.29,41.29,0.0,0.0,41.41,41.41,41.41,0.0,0.0
2018-01-28,40.25,40.25,40.25,0.0,0.0,41.19,41.19,41.19,0.0,0.0,40.25,40.25,40.25,0.0,0.0,40.39,40.39,40.39,0.0,0.0
2018-02-04,37.93,37.93,37.93,0.0,0.0,37.98,37.98,37.98,0.0,0.0,37.4,37.4,37.4,0.0,0.0,37.89,37.89,37.89,0.0,0.0
2018-02-11,40.73,40.73,40.73,0.0,0.0,40.73,40.73,40.73,0.0,0.0,40.2,40.2,40.2,0.0,0.0,40.29,40.29,40.29,0.0,0.0
2018-02-18,39.71,39.71,39.71,0.0,0.0,40.04,40.04,40.04,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.89,39.89,39.89,0.0,0.0
2018-02-25,38.5,38.5,38.5,0.0,0.0,39.84,39.84,39.84,0.0,0.0,38.5,38.5,38.5,0.0,0.0,39.84,39.84,39.84,0.0,0.0
2018-03-04,41.5,41.5,41.5,0.0,0.0,41.72,41.72,41.72,0.0,0.0,41.5,41.5,41.5,0.0,0.0,41.71,41.71,41.71,0.0,0.0
2018-03-11,41.45,41.45,41.45,0.0,0.0,41.69,41.69,41.69,0.0,0.0,41.45,41.45,41.45,0.0,0.0,41.69,41.69,41.69,0.0,0.0
2018-03-18,40.67,40.67,40.67,0.0,0.0,40.67,40.67,40.67,0.0,0.0,39.93,39.93,39.93,0.0,0.0,39.98,39.98,39.98,0.0,0.0
