Date,NICK_Open_average,NICK_Open_max,NICK_Open_min,NICK_Open_volatility,NICK_Open_change,NICK_High_average,NICK_High_max,NICK_High_min,NICK_High_volatility,NICK_High_change,NICK_Low_average,NICK_Low_max,NICK_Low_min,NICK_Low_volatility,NICK_Low_change,NICK_Close_average,NICK_Close_max,NICK_Close_min,NICK_Close_volatility,NICK_Close_change,NICK_Volume_average,NICK_Volume_max,NICK_Volume_min,NICK_Volume_volatility,NICK_Volume_change
2018-01-14,8.932,9.18,8.8,0.379999999999999,0.379999999999999,9.112,9.25,8.83,0.41999999999999993,0.34999999999999964,8.862,8.94,8.8,0.1399999999999988,0.11999999999999922,8.926,9.03,8.81,0.21999999999999886,0.21999999999999886,21206,34406,4306,30100,16173
2018-01-21,9.016,9.14,8.9,0.2400000000000002,0.2400000000000002,9.182,9.38,9.07,0.3100000000000005,0.3100000000000005,8.948,9.05,8.79,0.26000000000000156,0.26000000000000156,9.054,9.13,9.0,0.13000000000000078,0.13000000000000078,9879,15831,3498,12333,-7066
2018-01-28,9.202,9.33,9.09,0.2400000000000002,0.09999999999999964,9.288,9.39,9.2,0.19000000000000128,-0.010000000000001563,9.104000000000001,9.14,9.05,0.08999999999999986,0.08000000000000007,9.16,9.18,9.15,0.02999999999999936,-0.02999999999999936,12020,19483,2136,17347,12591
2018-02-04,8.975999999999999,9.16,8.79,0.370000000000001,-0.1800000000000015,9.174,9.38,9.05,0.33000000000000007,-0.0600000000000005,8.911999999999999,9.03,8.79,0.2400000000000002,-0.1800000000000015,8.998,9.14,8.84,0.3000000000000007,-0.16999999999999993,13934,21978,5618,16360,-9862
2018-02-11,9.135,9.31,8.97,0.33999999999999986,0.33999999999999986,9.185,9.4,8.97,0.4299999999999997,0.4299999999999997,9.057500000000001,9.15,8.97,0.17999999999999972,0.17999999999999972,9.1025,9.18,8.97,0.20999999999999908,0.1899999999999995,7439,15438,0,15438,5086
2018-02-18,9.104,9.33,8.9,0.4299999999999997,-0.22000000000000064,9.192,9.45,9.07,0.379999999999999,-0.33999999999999986,8.916,9.12,8.81,0.3099999999999987,-0.3099999999999987,8.982,9.13,8.9,0.23000000000000043,-0.23000000000000043,17633,31071,6893,24178,5450
2018-02-25,9.114,9.25,9.02,0.23000000000000043,-0.15000000000000036,9.244,9.4,9.1,0.3000000000000007,-0.22000000000000064,8.89,8.93,8.8,0.129999999999999,-0.11999999999999922,8.988,9.17,8.8,0.3699999999999992,-0.22999999999999865,18876,29957,12087,17870,-6516
2018-03-04,9.012,9.24,8.88,0.35999999999999943,0.11999999999999922,9.2,9.49,9.02,0.47000000000000064,0.27000000000000135,8.944,9.02,8.8,0.21999999999999886,0.21999999999999886,8.996,9.2,8.8,0.3999999999999986,0.3999999999999986,6707,11915,462,11453,-6461
2018-03-11,9.11,9.18,9.03,0.15000000000000036,-0.08999999999999986,9.216,9.27,9.18,0.08999999999999986,0.0600000000000005,9.033999999999999,9.07,9.0,0.07000000000000028,0.02999999999999936,9.084,9.1,9.06,0.03999999999999915,0.0,11424,21738,5705,16033,-131
2018-03-18,9.134,9.22,9.06,0.16000000000000014,-0.019999999999999574,9.228,9.46,9.11,0.3500000000000014,-0.05000000000000071,9.066,9.1,9.0,0.09999999999999964,-0.08000000000000007,9.102,9.15,9.02,0.13000000000000078,-0.13000000000000078,4106,6502,1490,5012,-84
2018-03-25,9.125,9.25,8.98,0.2699999999999996,0.0600000000000005,9.1625,9.25,9.1,0.15000000000000036,0.0600000000000005,9.045,9.15,8.98,0.16999999999999993,-0.09999999999999964,9.07,9.15,9.01,0.14000000000000057,-0.09999999999999964,1890,3711,576,3135,3135
2018-04-01,9.0,9.15,8.91,0.2400000000000002,-0.13000000000000078,9.07,9.15,8.99,0.16000000000000014,-0.07000000000000028,8.81,8.98,8.7,0.28000000000000114,-0.11000000000000121,8.962,9.02,8.91,0.10999999999999943,-0.08000000000000007,9123,17746,4359,13387,-402
2018-04-08,8.78,8.97,8.48,0.4900000000000002,-0.14999999999999858,8.91,8.98,8.83,0.15000000000000036,-0.13000000000000078,8.73,8.95,8.48,0.46999999999999886,-0.1899999999999995,8.85,8.97,8.75,0.22000000000000064,-0.21000000000000085,4306,6070,2097,3973,2611
2018-04-15,8.72,8.9,8.48,0.41999999999999993,-0.41999999999999993,8.878,8.92,8.82,0.09999999999999964,-0.08000000000000007,8.68,8.75,8.43,0.3200000000000003,-0.3200000000000003,8.788,8.9,8.71,0.1899999999999995,-0.05999999999999872,2195,5492,250,5242,3279
2018-04-22,8.6175,8.69,8.48,0.20999999999999908,-0.20999999999999908,8.8025,9.0,8.69,0.3100000000000005,0.2400000000000002,8.51,8.69,8.36,0.33000000000000007,-0.25,8.682500000000001,8.74,8.55,0.1899999999999995,0.040000000000000924,9588,21906,941,20965,12383
2018-04-29,8.61,8.75,8.46,0.28999999999999915,-0.28999999999999915,8.762,8.88,8.58,0.3000000000000007,-0.3000000000000007,8.522,8.64,8.39,0.25,-0.019999999999999574,8.644,8.75,8.57,0.17999999999999972,0.009999999999999787,6349,18404,696,17708,-14496
2018-05-06,8.765,8.89,8.6,0.2900000000000009,0.2900000000000009,8.8625,9.04,8.65,0.3899999999999988,0.2400000000000002,8.66,8.76,8.58,0.17999999999999972,0.16000000000000014,8.6975,8.8,8.58,0.22000000000000064,0.10999999999999943,3816,10135,383,9752,2270
2018-05-13,8.83,9.1,8.7,0.40000000000000036,-0.15000000000000036,8.896,9.1,8.7,0.40000000000000036,-0.3000000000000007,8.724,8.79,8.63,0.15999999999999837,-0.08999999999999986,8.756,8.84,8.7,0.14000000000000057,-0.08999999999999986,2821,6405,103,6302,-1723
2018-05-20,8.7225,8.8,8.63,0.16999999999999993,0.02000000000000135,8.7375,8.86,8.63,0.22999999999999865,0.08000000000000007,8.6875,8.8,8.62,0.1800000000000015,0.10000000000000142,8.7025,8.86,8.62,0.2400000000000002,0.16000000000000014,636,1268,213,1055,899
2018-05-27,8.71,8.77,8.65,0.11999999999999922,-0.11999999999999922,8.7575,8.78,8.73,0.049999999999998934,-0.049999999999998934,8.655,8.7,8.6,0.09999999999999964,0.05000000000000071,8.69,8.72,8.65,0.07000000000000028,-0.07000000000000028,3737,6931,894,6037,6037
2018-06-03,8.68,8.76,8.61,0.15000000000000036,0.10999999999999943,8.736,8.76,8.72,0.03999999999999915,0.03999999999999915,8.636,8.68,8.6,0.08000000000000007,0.02999999999999936,8.676,8.72,8.6,0.120000000000001,-0.040000000000000924,2926,7083,983,6100,513
2018-06-10,8.69,8.74,8.65,0.08999999999999986,0.019999999999999574,8.724,8.74,8.7,0.040000000000000924,0.009999999999999787,8.59,8.65,8.51,0.14000000000000057,-0.009999999999999787,8.716000000000001,8.73,8.7,0.030000000000001137,0.009999999999999787,4961,8467,1081,7386,2683
2018-06-17,8.702,8.84,8.64,0.1999999999999993,0.1899999999999995,8.84,9.27,8.69,0.5800000000000001,0.15000000000000036,8.597999999999999,8.62,8.57,0.049999999999998934,0.02999999999999936,8.67,8.69,8.65,0.03999999999999915,-0.019999999999999574,8511,20677,2138,18539,-4444
2018-06-24,8.772,9.26,8.6,0.6600000000000001,0.6600000000000001,8.992,9.5,8.64,0.8599999999999994,0.8499999999999996,8.722,9.2,8.5,0.6999999999999993,0.5999999999999996,8.928,9.47,8.64,0.8300000000000001,0.8300000000000001,31793,121889,145,121744,28900
2018-07-01,9.6525,9.97,9.42,0.5500000000000007,0.5,10.155,10.7,9.75,0.9499999999999993,0.9499999999999993,9.5375,9.91,9.41,0.5,0.5,10.004999999999999,10.7,9.42,1.2799999999999994,0.9899999999999984,28465,45206,14068,31138,31138
2018-07-08,9.934,10.35,9.54,0.8100000000000005,-0.8100000000000005,10.134,10.66,9.62,1.040000000000001,-1.040000000000001,9.684,10.23,9.2,1.0300000000000011,-1.0300000000000011,9.768,10.23,9.28,0.9500000000000011,-0.9500000000000011,11706,25353,5745,19608,-19304
2018-07-15,9.202,9.31,9.1,0.21000000000000085,-0.040000000000000924,9.4,10.0,9.19,0.8100000000000005,-0.8100000000000005,9.154,9.22,9.1,0.120000000000001,-0.07000000000000028,9.208,9.32,9.1,0.22000000000000064,-0.16999999999999993,12148,24807,2431,22376,-21139
2018-07-22,9.098,9.2,9.01,0.1899999999999995,-0.1899999999999995,9.168,9.2,9.14,0.05999999999999872,-0.05999999999999872,9.046,9.09,9.01,0.08000000000000007,-0.040000000000000924,9.09,9.12,9.05,0.06999999999999851,0.06999999999999851,12675,31151,5154,25997,-5170
2018-07-29,9.462,9.74,9.05,0.6899999999999995,0.5099999999999998,9.68,10.05,9.2,0.8500000000000014,0.6100000000000012,9.332,9.55,9.01,0.5400000000000009,0.5400000000000009,9.442,9.6,9.2,0.40000000000000036,0.40000000000000036,10762,22810,2142,20668,-14339
2018-08-05,10.568,11.0,9.6,1.4000000000000004,1.2400000000000002,10.952,11.1,10.84,0.2599999999999998,-0.02999999999999936,10.459999999999999,10.87,9.6,1.2699999999999996,0.870000000000001,10.814,11.03,10.61,0.41999999999999993,0.030000000000001137,32140,72400,6387,66013,-60224
2018-08-12,10.826,11.0,10.66,0.33999999999999986,-0.15000000000000036,11.01,11.05,10.87,0.1800000000000015,0.1800000000000015,10.698,10.86,10.61,0.25,-0.02999999999999936,10.916,11.05,10.67,0.3800000000000008,0.25,10612,17308,3819,13489,-5130
2018-08-19,11.238,11.83,10.95,0.8800000000000008,0.3600000000000012,11.548,11.9,11.1,0.8000000000000007,0.6099999999999994,11.036,11.17,10.9,0.2699999999999996,0.2699999999999996,11.298,11.88,10.94,0.9400000000000013,0.20000000000000107,26534,46415,2637,43778,18994
2018-08-26,11.4125,11.43,11.39,0.03999999999999915,0.03999999999999915,11.5925,11.77,11.44,0.33000000000000007,0.10999999999999943,11.2625,11.39,11.13,0.2599999999999998,-0.040000000000000924,11.395,11.77,11.13,0.6399999999999988,0.2699999999999996,1732,2823,565,2258,-375
2018-09-02,11.086,11.7,10.54,1.1600000000000001,-1.1600000000000001,11.148,11.7,10.8,0.8999999999999986,-0.8999999999999986,10.686,11.04,10.25,0.7899999999999991,-0.7899999999999991,10.862,11.04,10.64,0.3999999999999986,-0.28999999999999915,4827,10235,1874,8361,813
2018-09-09,10.894,11.75,10.2,1.5500000000000007,1.5500000000000007,11.290000000000001,12.15,10.4,1.75,1.75,10.664,11.6,10.15,1.4499999999999993,1.4000000000000004,11.208,11.91,10.4,1.5099999999999998,1.5099999999999998,24686,74401,763,73638,29240
2018-09-16,12.106,12.4,11.6,0.8000000000000007,-0.3800000000000008,12.406,12.5,12.35,0.15000000000000036,-0.15000000000000036,11.56,11.92,10.93,0.9900000000000002,-0.5399999999999991,12.146,12.38,11.96,0.41999999999999993,0.06999999999999851,17583,30924,3091,27833,-15411
2018-09-23,12.07,12.49,11.75,0.7400000000000002,-0.27999999999999936,12.324,12.49,12.07,0.41999999999999993,-0.16999999999999993,11.882,12.2,11.7,0.5,-0.25,12.144,12.41,11.81,0.5999999999999996,-0.41000000000000014,11192,30486,2445,28041,-20846
2018-09-30,12.124,12.28,11.83,0.4499999999999993,0.40000000000000036,12.28,12.42,12.05,0.3699999999999992,0.2699999999999996,11.6,11.87,10.95,0.9199999999999999,-0.8800000000000008,12.136,12.33,12.0,0.33000000000000007,0.009999999999999787,5595,8052,3497,4555,2845
2018-10-07,11.62,11.85,11.37,0.4800000000000004,-0.17999999999999972,11.954,12.12,11.84,0.27999999999999936,0.1999999999999993,11.462,11.67,11.26,0.41000000000000014,0.03999999999999915,11.714,11.9,11.48,0.41999999999999993,-0.11000000000000121,20976,35521,3718,31803,22227
2018-10-14,11.898,12.15,11.69,0.46000000000000085,-0.15000000000000036,12.204,12.29,12.15,0.1399999999999988,0.07000000000000028,11.716,11.82,11.63,0.1899999999999995,-0.1899999999999995,11.906,12.1,11.63,0.46999999999999886,-0.46999999999999886,6910,12617,4391,8226,-1847
2018-10-21,11.828000000000001,12.06,11.63,0.4299999999999997,-0.4299999999999997,12.03,12.19,11.89,0.29999999999999893,-0.25,11.566,11.66,11.5,0.16000000000000014,-0.16000000000000014,11.724,11.88,11.53,0.3500000000000014,-0.3500000000000014,14502,19981,10893,9088,-553
