Date,NXST_stock_Open_average,NXST_stock_Open_max,NXST_stock_Open_min,NXST_stock_Open_volatility,NXST_stock_Open_change,NXST_stock_High_average,NXST_stock_High_max,NXST_stock_High_min,NXST_stock_High_volatility,NXST_stock_High_change,NXST_stock_Low_average,NXST_stock_Low_max,NXST_stock_Low_min,NXST_stock_Low_volatility,NXST_stock_Low_change,NXST_stock_Close_average,NXST_stock_Close_max,NXST_stock_Close_min,NXST_stock_Close_volatility,NXST_stock_Close_change,NXST_stock_Volume_average,NXST_stock_Volume_max,NXST_stock_Volume_min,NXST_stock_Volume_volatility,NXST_stock_Volume_change
2018-01-14,80.1375,80.75,79.75,1.0,0.5499999999999972,81.1,82.05,80.35,1.7000000000000028,1.0999999999999943,79.4075,80.15,78.9,1.25,1.25,80.525,81.75,79.7,2.049999999999997,2.049999999999997,515416,569427,379086,190341,12889
2018-01-21,79.99,81.75,78.8,2.950000000000003,-2.6500000000000057,80.728,82.95,79.25,3.700000000000003,-2.5400000000000063,79.01,80.95,78.2,2.75,-2.5,79.36,81.0,78.55,2.450000000000003,-1.7999999999999972,440422,587350,333174,254176,34770
2018-01-28,77.45,79.25,75.1,4.150000000000006,-3.049999999999997,78.06,79.6,76.2,3.3999999999999915,-3.3999999999999915,75.732,78.65,73.51,5.140000000000001,-4.650000000000006,76.50999999999999,78.85,74.6,4.25,-4.25,545805,762303,304363,457940,219338
2018-02-04,72.62,74.0,71.85,2.1500000000000057,-2.0,73.88000000000001,74.9,73.25,1.6500000000000057,-1.5,71.30199999999999,72.91,69.4,3.509999999999991,-3.509999999999991,72.11,73.15,71.05,2.1000000000000085,-2.0,701406,889544,505124,384420,234107
2018-02-11,73.35000000000001,74.45,71.15,3.299999999999997,2.75,74.58,75.2,73.95,1.25,0.5499999999999972,72.74,74.05,71.05,3.0,2.1000000000000085,73.87,74.5,73.25,1.25,-0.04999999999999716,510498,635176,324227,310949,55983
2018-02-18,73.7,74.75,72.9,1.8499999999999943,-0.04999999999999716,74.8375,75.75,74.1,1.6500000000000057,-0.5500000000000114,72.6625,73.3,72.35,0.9500000000000028,0.09999999999999432,73.625,74.6,72.7,1.8999999999999915,-0.7999999999999972,495959,601484,334386,267098,-267098
2018-02-25,73.57000000000001,79.95,68.9,11.049999999999997,-4.75,74.71,80.45,71.7,8.75,-1.7999999999999972,70.206,72.78,68.15,4.6299999999999955,-4.6299999999999955,72.18,73.75,69.5,4.25,-1.0999999999999943,1131884,1633125,461459,1171666,559791
2018-03-04,70.92,72.3,70.5,1.7999999999999972,-1.7999999999999972,72.32600000000001,74.25,71.15,3.0999999999999943,-0.6499999999999915,70.26,70.75,69.95,0.7999999999999972,-0.25,70.91,71.65,70.3,1.3500000000000085,0.75,471531,571539,332443,239096,-183198
2018-03-11,71.07000000000001,72.9,70.05,2.8500000000000085,-1.5,71.88,73.55,70.55,3.0,-2.200000000000003,70.22,71.15,69.95,1.2000000000000028,-1.2000000000000028,70.44,71.55,70.05,1.5,-1.5,510670,1132284,202746,929538,642098
2018-03-18,68.28,69.75,66.45,3.299999999999997,-3.299999999999997,68.554,70.2,66.75,3.450000000000003,-3.450000000000003,67.08,69.1,64.92,4.179999999999993,-4.179999999999993,67.35000000000001,69.5,64.95,4.549999999999997,-4.549999999999997,592470,754297,420872,333425,-172943
2018-03-25,66.2125,66.8,65.8,1.0,0.5499999999999972,67.2125,67.8,65.8,2.0,1.7999999999999972,65.275,65.75,64.1,1.6500000000000057,1.6500000000000057,66.2375,66.95,65.6,1.3500000000000085,0.9000000000000057,599269,756608,375987,380621,-380621
2018-04-01,64.64,66.15,63.5,2.6500000000000057,-1.8000000000000114,66.23,67.97,65.25,2.719999999999999,-2.6200000000000045,63.6,64.0,62.9,1.1000000000000014,0.3500000000000014,64.64,65.25,64.05,1.2000000000000028,1.2000000000000028,443744,601484,328377,273107,-138251
