Date,Teucrium SugarEtf_Open_average,Teucrium SugarEtf_Open_max,Teucrium SugarEtf_Open_min,Teucrium SugarEtf_Open_volatility,Teucrium SugarEtf_Open_change,Teucrium SugarEtf_High_average,Teucrium SugarEtf_High_max,Teucrium SugarEtf_High_min,Teucrium SugarEtf_High_volatility,Teucrium SugarEtf_High_change,Teucrium SugarEtf_Low_average,Teucrium SugarEtf_Low_max,Teucrium SugarEtf_Low_min,Teucrium SugarEtf_Low_volatility,Teucrium SugarEtf_Low_change,Teucrium SugarEtf_Close_average,Teucrium SugarEtf_Close_max,Teucrium SugarEtf_Close_min,Teucrium SugarEtf_Close_volatility,Teucrium SugarEtf_Close_change
2018-01-14,8.82,8.82,8.82,0.0,0.0,8.98,8.98,8.98,0.0,0.0,8.76,8.76,8.76,0.0,0.0,8.92,8.92,8.92,0.0,0.0
2018-01-21,8.97,8.97,8.97,0.0,0.0,9.06,9.06,9.06,0.0,0.0,8.97,8.97,8.97,0.0,0.0,9.02,9.02,9.02,0.0,0.0
2018-01-28,9.04,9.04,9.04,0.0,0.0,9.15,9.15,9.15,0.0,0.0,9.03,9.03,9.03,0.0,0.0,9.08,9.08,9.08,0.0,0.0
2018-02-04,9.02,9.02,9.02,0.0,0.0,9.08,9.08,9.08,0.0,0.0,8.97,8.97,8.97,0.0,0.0,9.04,9.04,9.04,0.0,0.0
2018-02-11,8.84,8.84,8.84,0.0,0.0,8.84,8.84,8.84,0.0,0.0,8.76,8.76,8.76,0.0,0.0,8.8,8.8,8.8,0.0,0.0
2018-02-18,8.92,8.92,8.92,0.0,0.0,8.95,8.95,8.95,0.0,0.0,8.9,8.9,8.9,0.0,0.0,8.94,8.94,8.94,0.0,0.0
2018-02-25,9.05,9.05,9.05,0.0,0.0,9.05,9.05,9.05,0.0,0.0,8.82,8.82,8.82,0.0,0.0,8.92,8.92,8.92,0.0,0.0
2018-03-04,8.62,8.62,8.62,0.0,0.0,8.64,8.64,8.64,0.0,0.0,8.52,8.52,8.52,0.0,0.0,8.62,8.62,8.62,0.0,0.0
2018-03-11,8.48,8.48,8.48,0.0,0.0,8.51,8.51,8.51,0.0,0.0,8.46,8.46,8.46,0.0,0.0,8.5,8.5,8.5,0.0,0.0
2018-03-18,8.48,8.48,8.48,0.0,0.0,8.49,8.49,8.49,0.0,0.0,8.38,8.38,8.38,0.0,0.0,8.43,8.43,8.43,0.0,0.0
2018-03-25,8.27,8.27,8.27,0.0,0.0,8.31,8.31,8.31,0.0,0.0,8.25,8.25,8.25,0.0,0.0,8.31,8.31,8.31,0.0,0.0
2018-04-01,8.28,8.28,8.28,0.0,0.0,8.28,8.28,8.28,0.0,0.0,8.16,8.16,8.16,0.0,0.0,8.19,8.19,8.19,0.0,0.0
2018-04-08,8.09,8.09,8.09,0.0,0.0,8.1,8.1,8.1,0.0,0.0,8.03,8.03,8.03,0.0,0.0,8.06,8.06,8.06,0.0,0.0
2018-04-15,7.82,7.82,7.82,0.0,0.0,7.91,7.91,7.91,0.0,0.0,7.81,7.81,7.81,0.0,0.0,7.88,7.88,7.88,0.0,0.0
2018-04-22,7.51,7.51,7.51,0.0,0.0,7.68,7.68,7.68,0.0,0.0,7.46,7.46,7.46,0.0,0.0,7.67,7.67,7.67,0.0,0.0
2018-04-29,7.67,7.67,7.67,0.0,0.0,7.67,7.67,7.67,0.0,0.0,7.59,7.59,7.59,0.0,0.0,7.62,7.62,7.62,0.0,0.0
2018-05-06,7.46,7.46,7.46,0.0,0.0,7.46,7.46,7.46,0.0,0.0,7.42,7.42,7.42,0.0,0.0,7.46,7.46,7.46,0.0,0.0
